iso3c,country,date,SNAU
AFG,Afghanistan,2016,1993
AFG,Afghanistan,2017,1993
AFG,Afghanistan,2018,1993
AGO,Angola,2016,1993
AGO,Angola,2017,1993
AGO,Angola,2018,1993
ALB,Albania,2016,1993
ALB,Albania,2017,1993
ALB,Albania,2018,2008
ARE,United Arab Emirates,2016,1993
ARE,United Arab Emirates,2017,1993
ARE,United Arab Emirates,2018,1993
ARG,Argentina,2016,2008
ARG,Argentina,2017,2008
ARG,Argentina,2018,2008
ARM,Armenia,2016,1993
ARM,Armenia,2017,1993
ARM,Armenia,2018,2008
ATG,Antigua and Barbuda,2016,1993
ATG,Antigua and Barbuda,2017,1993
ATG,Antigua and Barbuda,2018,1993
AUS,Australia,2016,2008
AUS,Australia,2017,2008
AUS,Australia,2018,2008
AUT,Austria,2016,2008
AUT,Austria,2017,2008
AUT,Austria,2018,2008
AZE,Azerbaijan,2016,1993
AZE,Azerbaijan,2017,1993
AZE,Azerbaijan,2018,1993
BDI,Burundi,2016,1993
BDI,Burundi,2017,1993
BDI,Burundi,2018,1993
BEL,Belgium,2016,2008
BEL,Belgium,2017,2008
BEL,Belgium,2018,2008
BEN,Benin,2016,1968
BEN,Benin,2017,1968
BEN,Benin,2018,1993
BFA,Burkina Faso,2016,1993
BFA,Burkina Faso,2017,1993
BFA,Burkina Faso,2018,1993
BGD,Bangladesh,2016,1993
BGD,Bangladesh,2017,1993
BGD,Bangladesh,2018,1993
BGR,Bulgaria,2016,1993
BGR,Bulgaria,2017,1993
BGR,Bulgaria,2018,2008
BHR,Bahrain,2016,1993
BHR,Bahrain,2017,1993
BHR,Bahrain,2018,1993
BHS,"Bahamas, The",2016,1993
BHS,"Bahamas, The",2017,1993
BHS,"Bahamas, The",2018,2008
BIH,Bosnia and Herzegovina,2016,1993
BIH,Bosnia and Herzegovina,2017,1993
BIH,Bosnia and Herzegovina,2018,1993
BLR,Belarus,2016,1993
BLR,Belarus,2017,1993
BLR,Belarus,2018,2008
BLZ,Belize,2016,1993
BLZ,Belize,2017,1993
BLZ,Belize,2018,1993
BOL,Bolivia,2016,1968
BOL,Bolivia,2017,1968
BOL,Bolivia,2018,1968
BRA,Brazil,2016,2008
BRA,Brazil,2017,2008
BRA,Brazil,2018,2008
BRB,Barbados,2016,1993
BRB,Barbados,2017,1993
BRB,Barbados,2018,1993
BRN,Brunei Darussalam,2016,1993
BRN,Brunei Darussalam,2017,1993
BRN,Brunei Darussalam,2018,2008
BTN,Bhutan,2016,1993
BTN,Bhutan,2017,1993
BTN,Bhutan,2018,1993
BWA,Botswana,2016,1993
BWA,Botswana,2017,1993
BWA,Botswana,2018,1993
CAF,Central African Republic,2016,1968
CAF,Central African Republic,2017,1968
CAF,Central African Republic,2018,1968
CAN,Canada,2016,2008
CAN,Canada,2017,2008
CAN,Canada,2018,2008
CHE,Switzerland,2016,2008
CHE,Switzerland,2017,2008
CHE,Switzerland,2018,2008
CHL,Chile,2016,1993
CHL,Chile,2017,1993
CHL,Chile,2018,2008
CHN,China,2016,1993
