iso3c,country,date,IDDS
AFG,Afghanistan,2016,e-GDDS
AFG,Afghanistan,2017,e-GDDS
AFG,Afghanistan,2018,e-GDDS
AFG,Afghanistan,2019,e-GDDS
AGO,Angola,2016,e-GDDS
AGO,Angola,2017,e-GDDS
AGO,Angola,2018,e-GDDS
AGO,Angola,2019,e-GDDS
ALB,Albania,2016,e-GDDS
ALB,Albania,2017,e-GDDS
ALB,Albania,2018,e-GDDS
ALB,Albania,2019,e-GDDS
ARE,United Arab Emirates,2016,e-GDDS
ARE,United Arab Emirates,2017,e-GDDS
ARE,United Arab Emirates,2018,e-GDDS
ARG,Argentina,2016,SDDS
ARG,Argentina,2017,SDDS
ARG,Argentina,2018,SDDS
ARG,Argentina,2019,SDDS
ARM,Armenia,2016,SDDS
ARM,Armenia,2017,SDDS
ARM,Armenia,2018,SDDS
ARM,Armenia,2019,SDDS
ATG,Antigua and Barbuda,2016,e-GDDS
ATG,Antigua and Barbuda,2017,e-GDDS
ATG,Antigua and Barbuda,2018,e-GDDS
ATG,Antigua and Barbuda,2019,e-GDDS
AUS,Australia,2016,SDDS
AUS,Australia,2017,SDDS
AUS,Australia,2018,SDDS
AUT,Austria,2016,SDDS Plus
AUT,Austria,2017,SDDS Plus
AUT,Austria,2018,SDDS Plus
AZE,Azerbaijan,2016,e-GDDS
AZE,Azerbaijan,2017,e-GDDS
AZE,Azerbaijan,2018,e-GDDS
AZE,Azerbaijan,2019,e-GDDS
BDI,Burundi,2016,e-GDDS
BDI,Burundi,2017,e-GDDS
BDI,Burundi,2018,e-GDDS
BDI,Burundi,2019,e-GDDS
BEL,Belgium,2016,SDDS
BEL,Belgium,2017,SDDS
BEL,Belgium,2018,SDDS
BEN,Benin,2016,e-GDDS
BEN,Benin,2017,e-GDDS
BEN,Benin,2018,e-GDDS
BEN,Benin,2019,e-GDDS
BFA,Burkina Faso,2016,e-GDDS
BFA,Burkina Faso,2017,e-GDDS
BFA,Burkina Faso,2018,e-GDDS
BFA,Burkina Faso,2019,e-GDDS
BGD,Bangladesh,2016,e-GDDS
BGD,Bangladesh,2017,e-GDDS
BGD,Bangladesh,2018,e-GDDS
BGD,Bangladesh,2019,e-GDDS
BGR,Bulgaria,2016,SDDS Plus
BGR,Bulgaria,2017,SDDS Plus
BGR,Bulgaria,2018,SDDS Plus
BGR,Bulgaria,2019,SDDS Plus
BHR,Bahrain,2016,e-GDDS
BHR,Bahrain,2017,e-GDDS
BHR,Bahrain,2018,e-GDDS
BHS,"Bahamas, The",2016,e-GDDS
BHS,"Bahamas, The",2017,e-GDDS
BHS,"Bahamas, The",2018,e-GDDS
BIH,Bosnia and Herzegovina,2016,e-GDDS
BIH,Bosnia and Herzegovina,2017,e-GDDS
BIH,Bosnia and Herzegovina,2018,e-GDDS
BIH,Bosnia and Herzegovina,2019,e-GDDS
BLR,Belarus,2016,SDDS
BLR,Belarus,2017,SDDS
BLR,Belarus,2018,SDDS
BLR,Belarus,2019,SDDS
BLZ,Belize,2016,e-GDDS
BLZ,Belize,2017,e-GDDS
BLZ,Belize,2018,e-GDDS
BLZ,Belize,2019,e-GDDS
BOL,Bolivia,2016,e-GDDS
BOL,Bolivia,2017,e-GDDS
BOL,Bolivia,2018,e-GDDS
BOL,Bolivia,2019,e-GDDS
BRA,Brazil,2016,SDDS
BRA,Brazil,2017,SDDS
BRA,Brazil,2018,SDDS
BRA,Brazil,2019,SDDS Plus
BRB,Barbados,2016,e-GDDS
BRB,Barbados,2017,e-GDDS
BRB,Barbados,2018,e-GDDS
BRN,Brunei Darussalam,2016,e-GDDS
BRN,Brunei Darussalam,2017,e-GDDS
BRN,Brunei Darussalam,2018,e-GDDS
BTN,Bhutan,2016,e-GDDS
BTN,Bhutan,2017,e-GDDS
BTN,Bhutan,2018,e-GDDS
BTN,Bhutan,2019,e-GDDS
BWA,Botswana,2016,e-GDDS
BWA,Botswana,2017,e-GDDS
BWA,Botswana,2018,e-GDDS
BWA,Botswana,2019,e-GDDS
CAF,Central African Republic,2016,e-GDDS
CAF,Central African Republic,2017,e-GDDS
CAF,Central African Republic,2018,e-GDDS
CAF,Central African Republic,2019,e-GDDS
CAN,Canada,2016,SDDS Plus
CAN,Canada,2017,SDDS Plus
CAN,Canada,2018,SDDS Plus
CHE,Switzerland,2016,SDDS
CHE,Switzerland,2017,SDDS
CHE,Switzerland,2018,SDDS
CHL,Chile,2016,SDDS
CHL,Chile,2017,SDDS
CHL,Chile,2018,SDDS
CHL,Chile,2019,SDDS
CHN,China,2016,SDDS
CHN,China,2017,SDDS
CHN,China,2018,SDDS
CHN,China,2019,SDDS
CIV,Côte d'Ivoire,2016,e-GDDS
CIV,Côte d'Ivoire,2017,e-GDDS
CIV,Côte d'Ivoire,2018,e-GDDS
CIV,Côte d'Ivoire,2019,e-GDDS
CMR,Cameroon,2016,e-GDDS
CMR,Cameroon,2017,e-GDDS
CMR,Cameroon,2018,e-GDDS
CMR,Cameroon,2019,e-GDDS
COD,"Congo, Dem. Rep.",2016,e-GDDS
COD,"Congo, Dem. Rep.",2017,e-GDDS
COD,"Congo, Dem. Rep.",2018,e-GDDS
COD,"Congo, Dem. Rep.",2019,e-GDDS
COG,"Congo, Rep.",2016,e-GDDS
COG,"Congo, Rep.",2017,e-GDDS
COG,"Congo, Rep.",2018,e-GDDS
COG,"Congo, Rep.",2019,e-GDDS
COL,Colombia,2016,SDDS
COL,Colombia,2017,SDDS
COL,Colombia,2018,SDDS
COL,Colombia,2019,SDDS
COM,Comoros,2016,e-GDDS
COM,Comoros,2017,e-GDDS
COM,Comoros,2018,e-GDDS
COM,Comoros,2019,e-GDDS
CPV,Cabo Verde,2016,e-GDDS
CPV,Cabo Verde,2017,e-GDDS
CPV,Cabo Verde,2018,e-GDDS
CPV,Cabo Verde,2019,e-GDDS
CRI,Costa Rica,2016,SDDS
CRI,Costa Rica,2017,SDDS
CRI,Costa Rica,2018,SDDS
CRI,Costa Rica,2019,SDDS
CYP,Cyprus,2016,SDDS
CYP,Cyprus,2017,SDDS
CYP,Cyprus,2018,SDDS
CZE,Czech Republic,2016,SDDS Plus
CZE,Czech Republic,2017,SDDS Plus
CZE,Czech Republic,2018,SDDS Plus
DEU,Germany,2016,SDDS Plus
DEU,Germany,2017,SDDS Plus
DEU,Germany,2018,SDDS Plus
DJI,Djibouti,2016,e-GDDS
DJI,Djibouti,2017,e-GDDS
DJI,Djibouti,2018,e-GDDS
DJI,Djibouti,2019,e-GDDS
DMA,Dominica,2016,e-GDDS
DMA,Dominica,2017,e-GDDS
DMA,Dominica,2018,e-GDDS
