iso3c,country,date,NABY
AFG,Afghanistan,2016,2003
AFG,Afghanistan,2017,2003
AFG,Afghanistan,2018,2003
AGO,Angola,2016,2002
AGO,Angola,2017,2002
AGO,Angola,2018,2002
ALB,Albania,2016,Original chained constant price data are rescaled.
ALB,Albania,2017,Original chained constant price data are rescaled.
ALB,Albania,2018,Original chained constant price data are rescaled.
ARE,United Arab Emirates,2016,2007
ARE,United Arab Emirates,2017,2010
ARE,United Arab Emirates,2018,2010
ARG,Argentina,2016,2004
ARG,Argentina,2017,2004
ARG,Argentina,2018,2004
ARM,Armenia,2016,Original chained constant price data are rescaled.
ARM,Armenia,2017,Original chained constant price data are rescaled.
ARM,Armenia,2018,Original chained constant price data are rescaled.
ATG,Antigua and Barbuda,2016,2006
ATG,Antigua and Barbuda,2017,2006
ATG,Antigua and Barbuda,2018,2006
AUS,Australia,2016,Original chained constant price data are rescaled.
AUS,Australia,2017,Original chained constant price data are rescaled.
AUS,Australia,2018,Original chained constant price data are rescaled.
AUT,Austria,2016,Original chained constant price data are rescaled.
AUT,Austria,2017,Original chained constant price data are rescaled.
AUT,Austria,2018,Original chained constant price data are rescaled.
AZE,Azerbaijan,2016,2000
AZE,Azerbaijan,2017,2000
AZE,Azerbaijan,2018,Original chained constant price data are rescaled.
BDI,Burundi,2016,2005
BDI,Burundi,2017,2005
BDI,Burundi,2018,2005
BEL,Belgium,2016,Original chained constant price data are rescaled.
BEL,Belgium,2017,Original chained constant price data are rescaled.
BEL,Belgium,2018,Original chained constant price data are rescaled.
BEN,Benin,2016,2007
BEN,Benin,2017,2007
BEN,Benin,2018,2007
BFA,Burkina Faso,2016,1999
BFA,Burkina Faso,2017,1999
BFA,Burkina Faso,2018,1999
BGD,Bangladesh,2016,2006
BGD,Bangladesh,2017,2006
BGD,Bangladesh,2018,2006
BGR,Bulgaria,2016,Original chained constant price data are rescaled.
BGR,Bulgaria,2017,Original chained constant price data are rescaled.
BGR,Bulgaria,2018,Original chained constant price data are rescaled.
BHR,Bahrain,2016,2010
BHR,Bahrain,2017,2010
BHR,Bahrain,2018,2010
BHS,"Bahamas, The",2016,2006
BHS,"Bahamas, The",2017,2006
BHS,"Bahamas, The",2018,2012
BIH,Bosnia and Herzegovina,2016,Original chained constant price data are rescaled.
BIH,Bosnia and Herzegovina,2017,Original chained constant price data are rescaled.
BIH,Bosnia and Herzegovina,2018,Original chained constant price data are rescaled.
BLR,Belarus,2016,Original chained constant price data are rescaled.
BLR,Belarus,2017,Original chained constant price data are rescaled.
BLR,Belarus,2018,Original chained constant price data are rescaled.
BLZ,Belize,2016,2000
BLZ,Belize,2017,2000
BLZ,Belize,2018,2000
BOL,Bolivia,2016,1990
BOL,Bolivia,2017,1990
BOL,Bolivia,2018,1990
BRA,Brazil,2016,1995
BRA,Brazil,2017,1995
BRA,Brazil,2018,Original chained constant price data are rescaled.
BRB,Barbados,2016,1974
BRB,Barbados,2017,1974
BRB,Barbados,2018,1974
BRN,Brunei Darussalam,2016,2000
BRN,Brunei Darussalam,2017,2010
BRN,Brunei Darussalam,2018,2010
BTN,Bhutan,2016,2000
BTN,Bhutan,2017,2000
BTN,Bhutan,2018,2000
BWA,Botswana,2016,2006
BWA,Botswana,2017,2006
BWA,Botswana,2018,2006
CAF,Central African Republic,2016,1985
CAF,Central African Republic,2017,1985
CAF,Central African Republic,2018,2005
CAN,Canada,2016,Original chained constant price data are rescaled.
CAN,Canada,2017,Original chained constant price data are rescaled.
CAN,Canada,2018,Original chained constant price data are rescaled.
CHE,Switzerland,2016,Original chained constant price data are rescaled.
CHE,Switzerland,2017,Original chained constant price data are rescaled.
CHE,Switzerland,2018,Original chained constant price data are rescaled.
CHL,Chile,2016,2008
CHL,Chile,2017,2013
CHL,Chile,2018,Original chained constant price data are rescaled.
CHN,China,2016,2000
CHN,China,2017,2010
CHN,China,2018,2015
CIV,Côte d'Ivoire,2016,2009
CIV,Côte d'Ivoire,2017,2009
CIV,Côte d'Ivoire,2018,2009
CMR,Cameroon,2016,2000
CMR,Cameroon,2017,2000
CMR,Cameroon,2018,2005
COD,"Congo, Dem. Rep.",2016,2005
COD,"Congo, Dem. Rep.",2017,2005
COD,"Congo, Dem. Rep.",2018,2005
COG,"Congo, Rep.",2016,1990
COG,"Congo, Rep.",2017,1990
COG,"Congo, Rep.",2018,1990
COL,Colombia,2016,2005
COL,Colombia,2017,2005
COL,Colombia,2018,2005
COM,Comoros,2016,1990
COM,Comoros,2017,1990
COM,Comoros,2018,1990
CPV,Cabo Verde,2016,2007
CPV,Cabo Verde,2017,2007
CPV,Cabo Verde,2018,2007
CRI,Costa Rica,2016,1991
CRI,Costa Rica,2017,Original chained constant price data are rescaled.
CRI,Costa Rica,2018,Original chained constant price data are rescaled.
CYP,Cyprus,2016,Original chained constant price data are rescaled.
CYP,Cyprus,2017,Original chained constant price data are rescaled.
CYP,Cyprus,2018,Original chained constant price data are rescaled.
CZE,Czech Republic,2016,Original chained constant price data are rescaled.
CZE,Czech Republic,2017,Original chained constant price data are rescaled.
CZE,Czech Republic,2018,Original chained constant price data are rescaled.
DEU,Germany,2016,Original chained constant price data are rescaled.
DEU,Germany,2017,Original chained constant price data are rescaled.
DEU,Germany,2018,Original chained constant price data are rescaled.
DJI,Djibouti,2016,1990
DJI,Djibouti,2017,1990
DJI,Djibouti,2018,1990
DMA,Dominica,2016,2006
DMA,Dominica,2017,2006
DMA,Dominica,2018,2006
DNK,Denmark,2016,Original chained constant price data are rescaled.
DNK,Denmark,2017,Original chained constant price data are rescaled.
DNK,Denmark,2018,Original chained constant price data are rescaled.
DOM,Dominican Republic,2016,2007
DOM,Dominican Republic,2017,2007
DOM,Dominican Republic,2018,2007
DZA,Algeria,2016,1980
DZA,Algeria,2017,1999
DZA,Algeria,2018,1999
ECU,Ecuador,2016,2007
ECU,Ecuador,2017,2007
ECU,Ecuador,2018,2007
EGY,"Egypt, Arab Rep.",2016,2012
EGY,"Egypt, Arab Rep.",2017,2012
EGY,"Egypt, Arab Rep.",2018,2012
ERI,Eritrea,2016,2000
ERI,Eritrea,2017,2000
ERI,Eritrea,2018,2000
ESP,Spain,2016,Original chained constant price data are rescaled.
ESP,Spain,2017,Original chained constant price data are rescaled.
ESP,Spain,2018,Original chained constant price data are rescaled.
EST,Estonia,2016,Original chained constant price data are rescaled.
EST,Estonia,2017,Original chained constant price data are rescaled.
EST,Estonia,2018,Original chained constant price data are rescaled.
ETH,Ethiopia,2016,2011
ETH,Ethiopia,2017,2011
ETH,Ethiopia,2018,2016
FIN,Finland,2016,Original chained constant price data are rescaled.
FIN,Finland,2017,Original chained constant price data are rescaled.
FIN,Finland,2018,Original chained constant price data are rescaled.
FJI,Fiji,2016,2005
FJI,Fiji,2017,2011
FJI,Fiji,2018,2011
FRA,France,2016,Original chained constant price data are rescaled.
FRA,France,2017,Original chained constant price data are rescaled.
