iso3c,country,date,CPIBY
AFG,Afghanistan,2016,1987
AFG,Afghanistan,2017,1987
AFG,Afghanistan,2018,1987
AGO,Angola,2016,2009
AGO,Angola,2017,2009
AGO,Angola,2018,2009
ALB,Albania,2016,2014
ALB,Albania,2017,2016
ALB,Albania,2018,2016
ARE,United Arab Emirates,2016,2008
ARE,United Arab Emirates,2017,2008
ARE,United Arab Emirates,2018,2008
ARG,Argentina,2016,2005
ARG,Argentina,2017,2005
ARG,Argentina,2018,2005
ARM,Armenia,2016,2010
ARM,Armenia,2017,2010
ARM,Armenia,2018,2010
ATG,Antigua and Barbuda,2016,2001
ATG,Antigua and Barbuda,2017,2001
ATG,Antigua and Barbuda,2018,2001
AUS,Australia,2016,annual chained
AUS,Australia,2017,annual chained
AUS,Australia,2018,annual chained
AUT,Austria,2016,annual chained
AUT,Austria,2017,annual chained
AUT,Austria,2018,annual chained
AZE,Azerbaijan,2016,annual chained
AZE,Azerbaijan,2017,annual chained
AZE,Azerbaijan,2018,annual chained
BDI,Burundi,2016,2008
BDI,Burundi,2017,2014
BDI,Burundi,2018,2014
BEL,Belgium,2016,2014
BEL,Belgium,2017,2014
BEL,Belgium,2018,2014
BEN,Benin,2016,2008
BEN,Benin,2017,2008
BEN,Benin,2018,2008
BFA,Burkina Faso,2016,2008
BFA,Burkina Faso,2017,2008
BFA,Burkina Faso,2018,2008
BGD,Bangladesh,2016,2006
BGD,Bangladesh,2017,2006
BGD,Bangladesh,2018,2006
BGR,Bulgaria,2016,annual chained
BGR,Bulgaria,2017,annual chained
BGR,Bulgaria,2018,annual chained
BHR,Bahrain,2016,2006
BHR,Bahrain,2017,2006
BHR,Bahrain,2018,2006
BHS,"Bahamas, The",2016,2006
BHS,"Bahamas, The",2017,2006
BHS,"Bahamas, The",2018,2006
BIH,Bosnia and Herzegovina,2016,2007
BIH,Bosnia and Herzegovina,2017,2007
BIH,Bosnia and Herzegovina,2018,2007
BLR,Belarus,2016,annual chained
BLR,Belarus,2017,annual chained
BLR,Belarus,2018,annual chained
BLZ,Belize,2016,1991
BLZ,Belize,2017,1991
BLZ,Belize,2018,1991
BOL,Bolivia,2016,2004
BOL,Bolivia,2017,2004
BOL,Bolivia,2018,2004
BRA,Brazil,2016,2009
BRA,Brazil,2017,2009
BRA,Brazil,2018,2009
BRB,Barbados,2016,1999
BRB,Barbados,2017,1999
BRB,Barbados,2018,1999
BRN,Brunei Darussalam,2016,2005
BRN,Brunei Darussalam,2017,2005
BRN,Brunei Darussalam,2018,2005
BTN,Bhutan,2016,2003
BTN,Bhutan,2017,2003
BTN,Bhutan,2018,2003
BWA,Botswana,2016,2003
BWA,Botswana,2017,2003
BWA,Botswana,2018,2003
CAF,Central African Republic,2016,1975
CAF,Central African Republic,2017,1975
CAF,Central African Republic,2018,1975
CAN,Canada,2016,2015
CAN,Canada,2017,2015
CAN,Canada,2018,2015
CHE,Switzerland,2016,annual chained
CHE,Switzerland,2017,annual chained
CHE,Switzerland,2018,annual chained
CHL,Chile,2016,2007
CHL,Chile,2017,2012
CHL,Chile,2018,2012
CHN,China,2016,annual chained
CHN,China,2017,annual chained
CHN,China,2018,annual chained
CIV,Côte d'Ivoire,2016,2008
CIV,Côte d'Ivoire,2017,2008
CIV,Côte d'Ivoire,2018,2008
CMR,Cameroon,2016,1996
CMR,Cameroon,2017,1996
CMR,Cameroon,2018,1996
COD,"Congo, Dem. Rep.",2016,1995
COD,"Congo, Dem. Rep.",2017,1995
COD,"Congo, Dem. Rep.",2018,1995
COG,"Congo, Rep.",2016,1997
COG,"Congo, Rep.",2017,1997
