iso3c,country,date,HOUS
AFG,Afghanistan,2016,COICOP
AFG,Afghanistan,2017,COICOP
AFG,Afghanistan,2018,COICOP
AGO,Angola,2016,COICOP
AGO,Angola,2017,COICOP
AGO,Angola,2018,COICOP
ALB,Albania,2016,COICOP
ALB,Albania,2017,COICOP
ALB,Albania,2018,COICOP
ARE,United Arab Emirates,2016,COICOP
ARE,United Arab Emirates,2017,COICOP
ARE,United Arab Emirates,2018,COICOP
ARG,Argentina,2016,COICOP
ARG,Argentina,2017,COICOP
ARG,Argentina,2018,COICOP
ARM,Armenia,2016,COICOP
ARM,Armenia,2017,COICOP
ARM,Armenia,2018,COICOP
ATG,Antigua and Barbuda,2016,na
ATG,Antigua and Barbuda,2017,"NA"
ATG,Antigua and Barbuda,2018,"NA"
AUS,Australia,2016,COICOP
AUS,Australia,2017,COICOP
AUS,Australia,2018,COICOP
AUT,Austria,2016,COICOP
AUT,Austria,2017,COICOP
AUT,Austria,2018,COICOP
AZE,Azerbaijan,2016,COICOP
AZE,Azerbaijan,2017,COICOP
AZE,Azerbaijan,2018,COICOP
BDI,Burundi,2016,COICOP
BDI,Burundi,2017,COICOP
BDI,Burundi,2018,COICOP
BEL,Belgium,2016,COICOP
BEL,Belgium,2017,COICOP
BEL,Belgium,2018,COICOP
BEN,Benin,2016,na
BEN,Benin,2017,"NA"
BEN,Benin,2018,"NA"
BFA,Burkina Faso,2016,COICOP
BFA,Burkina Faso,2017,COICOP
BFA,Burkina Faso,2018,COICOP
BGD,Bangladesh,2016,na
BGD,Bangladesh,2017,"NA"
BGD,Bangladesh,2018,"NA"
BGR,Bulgaria,2016,COICOP
BGR,Bulgaria,2017,COICOP
BGR,Bulgaria,2018,COICOP
BHR,Bahrain,2016,COICOP
BHR,Bahrain,2017,COICOP
BHR,Bahrain,2018,COICOP
BHS,"Bahamas, The",2016,na
BHS,"Bahamas, The",2017,"NA"
BHS,"Bahamas, The",2018,"NA"
BIH,Bosnia and Herzegovina,2016,COICOP
BIH,Bosnia and Herzegovina,2017,COICOP
BIH,Bosnia and Herzegovina,2018,COICOP
BLR,Belarus,2016,COICOP
BLR,Belarus,2017,COICOP
BLR,Belarus,2018,COICOP
BLZ,Belize,2016,COICOP
BLZ,Belize,2017,COICOP
BLZ,Belize,2018,COICOP
BOL,Bolivia,2016,na
BOL,Bolivia,2017,"NA"
BOL,Bolivia,2018,"NA"
BRA,Brazil,2016,COICOP
BRA,Brazil,2017,COICOP
BRA,Brazil,2018,COICOP
BRB,Barbados,2016,na
BRB,Barbados,2017,"NA"
BRB,Barbados,2018,"NA"
BRN,Brunei Darussalam,2016,COICOP
BRN,Brunei Darussalam,2017,COICOP
BRN,Brunei Darussalam,2018,COICOP
BTN,Bhutan,2016,na
BTN,Bhutan,2017,"NA"
BTN,Bhutan,2018,"NA"
BWA,Botswana,2016,COICOP
BWA,Botswana,2017,COICOP
BWA,Botswana,2018,COICOP
CAF,Central African Republic,2016,na
CAF,Central African Republic,2017,"NA"
CAF,Central African Republic,2018,"NA"
CAN,Canada,2016,COICOP
CAN,Canada,2017,COICOP
CAN,Canada,2018,COICOP
CHE,Switzerland,2016,COICOP
CHE,Switzerland,2017,COICOP
CHE,Switzerland,2018,COICOP
CHL,Chile,2016,COICOP
CHL,Chile,2017,COICOP
CHL,Chile,2018,COICOP
CHN,China,2016,COICOP
CHN,China,2017,COICOP
CHN,China,2018,COICOP
CIV,Côte d'Ivoire,2016,na
CIV,Côte d'Ivoire,2017,"NA"
CIV,Côte d'Ivoire,2018,"NA"
CMR,Cameroon,2016,COICOP
CMR,Cameroon,2017,COICOP
CMR,Cameroon,2018,COICOP
COD,"Congo, Dem. Rep.",2016,na
COD,"Congo, Dem. Rep.",2017,"NA"
COD,"Congo, Dem. Rep.",2018,"NA"
COG,"Congo, Rep.",2016,COICOP
COG,"Congo, Rep.",2017,COICOP
COG,"Congo, Rep.",2018,COICOP
COL,Colombia,2016,na
COL,Colombia,2017,"NA"
COL,Colombia,2018,"NA"
COM,Comoros,2016,COICOP
COM,Comoros,2017,COICOP
COM,Comoros,2018,COICOP
CPV,Cabo Verde,2016,na
CPV,Cabo Verde,2017,"NA"
CPV,Cabo Verde,2018,"NA"
CRI,Costa Rica,2016,COICOP
CRI,Costa Rica,2017,COICOP
CRI,Costa Rica,2018,COICOP
CYP,Cyprus,2016,COICOP
CYP,Cyprus,2017,COICOP
CYP,Cyprus,2018,COICOP
CZE,Czech Republic,2016,COICOP
CZE,Czech Republic,2017,COICOP
CZE,Czech Republic,2018,COICOP
DEU,Germany,2016,COICOP
DEU,Germany,2017,COICOP
DEU,Germany,2018,COICOP
DJI,Djibouti,2016,na
DJI,Djibouti,2017,"NA"
DJI,Djibouti,2018,"NA"
DMA,Dominica,2016,COICOP
DMA,Dominica,2017,COICOP
DMA,Dominica,2018,COICOP
DNK,Denmark,2016,COICOP
DNK,Denmark,2017,COICOP
DNK,Denmark,2018,COICOP
DOM,Dominican Republic,2016,COICOP
DOM,Dominican Republic,2017,COICOP
DOM,Dominican Republic,2018,COICOP
DZA,Algeria,2016,COICOP
DZA,Algeria,2017,COICOP
DZA,Algeria,2018,COICOP
ECU,Ecuador,2016,COICOP
ECU,Ecuador,2017,COICOP
ECU,Ecuador,2018,COICOP
EGY,"Egypt, Arab Rep.",2016,COICOP
EGY,"Egypt, Arab Rep.",2017,COICOP
EGY,"Egypt, Arab Rep.",2018,COICOP
ERI,Eritrea,2016,0
ERI,Eritrea,2017,0
ERI,Eritrea,2018,0
ESP,Spain,2016,COICOP
ESP,Spain,2017,COICOP
ESP,Spain,2018,COICOP
EST,Estonia,2016,COICOP
EST,Estonia,2017,COICOP
EST,Estonia,2018,COICOP
ETH,Ethiopia,2016,na
ETH,Ethiopia,2017,"NA"
ETH,Ethiopia,2018,"NA"
FIN,Finland,2016,COICOP
FIN,Finland,2017,COICOP
FIN,Finland,2018,COICOP
FJI,Fiji,2016,na
FJI,Fiji,2017,COICOP
FJI,Fiji,2018,COICOP
FRA,France,2016,COICOP
FRA,France,2017,COICOP
FRA,France,2018,COICOP
FSM,"Micronesia, Fed. Sts.",2016,COICOP
FSM,"Micronesia, Fed. Sts.",2017,COICOP
FSM,"Micronesia, Fed. Sts.",2018,COICOP
GAB,Gabon,2016,na
GAB,Gabon,2017,"NA"
GAB,Gabon,2018,"NA"
GBR,United Kingdom,2016,na
GBR,United Kingdom,2017,COICOP
GBR,United Kingdom,2018,COICOP
GEO,Georgia,2016,COICOP
GEO,Georgia,2017,COICOP
GEO,Georgia,2018,COICOP
GHA,Ghana,2016,COICOP
GHA,Ghana,2017,COICOP
GHA,Ghana,2018,COICOP
GIN,Guinea,2016,na
GIN,Guinea,2017,"NA"
GIN,Guinea,2018,"NA"
GMB,"Gambia, The",2016,na
GMB,"Gambia, The",2017,"NA"
GMB,"Gambia, The",2018,"NA"
GNB,Guinea-Bissau,2016,na
GNB,Guinea-Bissau,2017,"NA"
GNB,Guinea-Bissau,2018,"NA"
GNQ,Equatorial Guinea,2016,0
GNQ,Equatorial Guinea,2017,COICOP
GNQ,Equatorial Guinea,2018,COICOP
GRC,Greece,2016,COICOP
GRC,Greece,2017,COICOP
GRC,Greece,2018,COICOP
GRD,Grenada,2016,na
GRD,Grenada,2017,"NA"
GRD,Grenada,2018,"NA"
GTM,Guatemala,2016,na
GTM,Guatemala,2017,"NA"
GTM,Guatemala,2018,"NA"
GUY,Guyana,2016,na
GUY,Guyana,2017,"NA"
GUY,Guyana,2018,"NA"
HND,Honduras,2016,COICOP
HND,Honduras,2017,COICOP
