iso3c,country,date,FINA
AFG,Afghanistan,2016,2001
AFG,Afghanistan,2017,2001
AFG,Afghanistan,2018,2001
AGO,Angola,2016,1986
AGO,Angola,2017,1986
AGO,Angola,2018,1986
ALB,Albania,2016,2014
ALB,Albania,2017,2014
ALB,Albania,2018,2014
ARE,United Arab Emirates,2016,2014
ARE,United Arab Emirates,2017,2014
ARE,United Arab Emirates,2018,2014
ARG,Argentina,2016,1986
ARG,Argentina,2017,1986
ARG,Argentina,2018,1986
ARM,Armenia,2016,2001
ARM,Armenia,2017,2001
ARM,Armenia,2018,2001
ATG,Antigua and Barbuda,2016,"NA"
ATG,Antigua and Barbuda,2017,"NA"
ATG,Antigua and Barbuda,2018,"NA"
AUS,Australia,2016,2001
AUS,Australia,2017,2014
AUS,Australia,2018,2014
AUT,Austria,2016,ESA 2010
AUT,Austria,2017,ESA 2010
AUT,Austria,2018,ESA 2010
AZE,Azerbaijan,2016,"NA"
AZE,Azerbaijan,2017,"NA"
AZE,Azerbaijan,2018,"NA"
BDI,Burundi,2016,1986
BDI,Burundi,2017,1986
BDI,Burundi,2018,1986
BEL,Belgium,2016,ESA 2010
BEL,Belgium,2017,ESA 2010
BEL,Belgium,2018,ESA 2010
BEN,Benin,2016,2001
BEN,Benin,2017,2001
BEN,Benin,2018,2001
BFA,Burkina Faso,2016,1986
BFA,Burkina Faso,2017,1986
BFA,Burkina Faso,2018,1986
BGD,Bangladesh,2016,"NA"
BGD,Bangladesh,2017,"NA"
BGD,Bangladesh,2018,"NA"
BGR,Bulgaria,2016,ESA 2010
BGR,Bulgaria,2017,ESA 2010
BGR,Bulgaria,2018,ESA 2010
BHR,Bahrain,2016,2001
BHR,Bahrain,2017,2001
BHR,Bahrain,2018,2001
BHS,"Bahamas, The",2016,2001
BHS,"Bahamas, The",2017,2001
BHS,"Bahamas, The",2018,2014
BIH,Bosnia and Herzegovina,2016,2001
BIH,Bosnia and Herzegovina,2017,2001
BIH,Bosnia and Herzegovina,2018,2001
BLR,Belarus,2016,2001
BLR,Belarus,2017,2001
BLR,Belarus,2018,2001
BLZ,Belize,2016,1986
BLZ,Belize,2017,1986
BLZ,Belize,2018,1986
BOL,Bolivia,2016,1986
BOL,Bolivia,2017,1986
BOL,Bolivia,2018,1986
BRA,Brazil,2016,1986
BRA,Brazil,2017,1986
BRA,Brazil,2018,1986
BRB,Barbados,2016,2001
BRB,Barbados,2017,2001
BRB,Barbados,2018,2001
BRN,Brunei Darussalam,2016,1986
BRN,Brunei Darussalam,2017,1986
BRN,Brunei Darussalam,2018,1986
BTN,Bhutan,2016,1986
BTN,Bhutan,2017,1986
BTN,Bhutan,2018,1986
BWA,Botswana,2016,1986
BWA,Botswana,2017,1986
BWA,Botswana,2018,1986
