iso3c,country,date,MONY
AFG,Afghanistan,2016,MFSM 2000
AFG,Afghanistan,2017,MFSM 2000
AFG,Afghanistan,2018,MFSM 2000
AGO,Angola,2016,MFSM 2000
AGO,Angola,2017,MFSM 2000
AGO,Angola,2018,MFSM 2000
ALB,Albania,2016,MFSM 2000
ALB,Albania,2017,MFSM 2000
ALB,Albania,2018,MFSM 2000
ARE,United Arab Emirates,2016,0
ARE,United Arab Emirates,2017,MFSM 2000
ARE,United Arab Emirates,2018,MFSM 2000
ARG,Argentina,2016,0
ARG,Argentina,2017,NM
ARG,Argentina,2018,NM
ARM,Armenia,2016,MFSM 2000
ARM,Armenia,2017,MFSM 2000
ARM,Armenia,2018,MFSM 2000
ATG,Antigua and Barbuda,2016,MFSM 2000
ATG,Antigua and Barbuda,2017,MFSM 2000
ATG,Antigua and Barbuda,2018,MFSM 2000
AUS,Australia,2016,MFSM 2000
AUS,Australia,2017,MFSM 2000
AUS,Australia,2018,MFSM 2000
AUT,Austria,2016,MFSM 2000
AUT,Austria,2017,MFSM 2000
AUT,Austria,2018,MFSM 2000
AZE,Azerbaijan,2016,MFSM 2000
AZE,Azerbaijan,2017,MFSM 2000
AZE,Azerbaijan,2018,MFSM 2000
BDI,Burundi,2016,MFSM 2000
BDI,Burundi,2017,MFSM 2000
BDI,Burundi,2018,MFSM 2000
BEL,Belgium,2016,MFSM 2000
BEL,Belgium,2017,MFSM 2000
BEL,Belgium,2018,MFSM 2000
BEN,Benin,2016,0
BEN,Benin,2017,MFSM 2000
BEN,Benin,2018,MFSM 2000
BFA,Burkina Faso,2016,0
BFA,Burkina Faso,2017,MFSM 2000
BFA,Burkina Faso,2018,MFSM 2000
BGD,Bangladesh,2016,MFSM 2000
BGD,Bangladesh,2017,MFSM 2000
BGD,Bangladesh,2018,MFSM 2000
BGR,Bulgaria,2016,MFSM 2000
BGR,Bulgaria,2017,MFSM 2000
BGR,Bulgaria,2018,MFSM 2000
BHR,Bahrain,2016,0
BHR,Bahrain,2017,NM
BHR,Bahrain,2018,NM
BHS,"Bahamas, The",2016,0
BHS,"Bahamas, The",2017,NM
BHS,"Bahamas, The",2018,NM
BIH,Bosnia and Herzegovina,2016,MFSM 2000
BIH,Bosnia and Herzegovina,2017,MFSM 2000
BIH,Bosnia and Herzegovina,2018,MFSM 2000
BLR,Belarus,2016,MFSM 2000
BLR,Belarus,2017,MFSM 2000
BLR,Belarus,2018,MFSM 2000
BLZ,Belize,2016,MFSM 2000
BLZ,Belize,2017,MFSM 2000
BLZ,Belize,2018,MFSM 2000
BOL,Bolivia,2016,MFSM 2000
BOL,Bolivia,2017,MFSM 2000
BOL,Bolivia,2018,MFSM 2000
BRA,Brazil,2016,MFSM 2000
BRA,Brazil,2017,MFSM 2000
BRA,Brazil,2018,MFSM 2000
BRB,Barbados,2016,MFSM 2000
BRB,Barbados,2017,MFSM 2000
BRB,Barbados,2018,MFSM 2000
BRN,Brunei Darussalam,2016,MFSM 2000
BRN,Brunei Darussalam,2017,MFSM 2000
BRN,Brunei Darussalam,2018,MFSM 2000
BTN,Bhutan,2016,MFSM 2000
BTN,Bhutan,2017,MFSM 2000
BTN,Bhutan,2018,MFSM 2000
BWA,Botswana,2016,MFSM 2000
BWA,Botswana,2017,MFSM 2000
BWA,Botswana,2018,MFSM 2000
CAF,Central African Republic,2016,MFSM 2000
