iso3c,country,database_last_updated,POPU.CENSUS
ARE,United Arab Emirates,2018," 2005, 2010"
AUS,Australia,2018," 2001, 2006, 2011, 2016"
AUT,Austria,2018," 2001, 2011"
BEL,Belgium,2018," 2001, 2011"
BHR,Bahrain,2018," 2001, 2011"
BHS,"Bahamas, The",2018," 2000, 2010"
BRB,Barbados,2018," 2000, 2010"
BRN,Brunei Darussalam,2018," 2001, 2011"
CAN,Canada,2018," 2006, 2016"
CHE,Switzerland,2018," 2000, 2010"
CYP,Cyprus,2018," 2001, 2011"
CZE,Czech Republic,2018," 2001, 2011"
DEU,Germany,2018, 2011
DNK,Denmark,2018," 2001, 2011"
ESP,Spain,2018," 2001, 2011"
EST,Estonia,2018," 2000, 2012"
FIN,Finland,2018," 2000, 2010"
FRA,France,2018," 1999, 2006, 2015"
GBR,United Kingdom,2018," 2001, 2011"
GRC,Greece,2018," 2001, 2011"
HUN,Hungary,2018," 2001, 2011"
IRL,Ireland,2018," 1996, 2002, 2006, 2011, 2016"
ISL,Iceland,2018, 2011
ISR,Israel,2018, 2009
ITA,Italy,2018," 2001, 2012"
JPN,Japan,2018," 2000, 2005, 2010, 2015"
KOR,"Korea, Rep.",2018," 2000, 2005, 2010, 2015"
KWT,Kuwait,2018," 2005, 2011"
LTU,Lithuania,2018," 2001, 2011"
LUX,Luxembourg,2018," 2001, 2011"
LVA,Latvia,2018," 2000, 2011"
MLT,Malta,2018," 2005, 2011"
NLD,Netherlands,2018," 2001, 2011"
NOR,Norway,2018," 2001, 2011"
NZL,New Zealand,2018," 2001, 2006, 2013"
OMN,Oman,2018," 2003, 2010"
PRT,Portugal,2018," 2001, 2011"
QAT,Qatar,2018," 2010, 2015"
SAU,Saudi Arabia,2018," 2004, 2010"
SGP,Singapore,2018," 2000, 2010"
SMR,San Marino,2018, 2010
SVK,Slovak Republic,2018," 2001, 2011"
SVN,Slovenia,2018," 2002, 2011, 2015"
SWE,Sweden,2018, 2011
SWZ,Swaziland,2018," 2007, 2017"
USA,United States,2018," 2000, 2010"
AFG,Afghanistan,2019,NA
ALB,Albania,2019,"2001, 2011"
DZA,Algeria,2019,"1998, 2008"
AGO,Angola,2019,2014
ATG,Antigua and Barbuda,2019,"2001, 2011"
ARG,Argentina,2019,"2001, 2010"
ARM,Armenia,2019,"2001, 2011"
AZE,Azerbaijan,2019,"1999, 2009, 2019"
BGD,Bangladesh,2019,"2001, 2011"
BLR,Belarus,2019,"1999, 2009, 2019"
BLZ,Belize,2019,"2000, 2010"
BEN,Benin,2019,"2002, 2013"
BTN,Bhutan,2019,"2005, 2017"
BOL,Bolivia,2019,"2001, 2012"
BIH,Bosnia and Herzegovina,2019,2013
BWA,Botswana,2019,"2001, 2011"
BRA,Brazil,2019,"1996, 2000, 2010"
