iso3c,country,database_last_updated,AGRI.CENSUS
AFG,Afghanistan,2018,
ALB,Albania,2018," 1998, 2012"
DZA,Algeria,2018, 2008
AGO,Angola,2018, 2014
ATG,Antigua and Barbuda,2018," 2007, 2011"
ARG,Argentina,2018," 2002, 2008"
ARM,Armenia,2018," 2011, 2014"
AUS,Australia,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
AUT,Austria,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
AZE,Azerbaijan,2018," 2005, 2015"
BHS,"Bahamas, The",2018, 2010
BHR,Bahrain,2018, 2010
BGD,Bangladesh,2018," 2008, 2011"
BRB,Barbados,2018, 2010
BLR,Belarus,2018, 2009
BEL,Belgium,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
BLZ,Belize,2018, 2011
BEN,Benin,2018, 2013
BTN,Bhutan,2018," 2005, 2009"
BOL,Bolivia,2018, 2013
BIH,Bosnia and Herzegovina,2018, 2013
BWA,Botswana,2018," 2004, 2015"
BRA,Brazil,2018," , 1996, 2006, 2017"
BRN,Brunei Darussalam,2018, 2011
BGR,Bulgaria,2018, 2010
BFA,Burkina Faso,2018," 2007, 2010"
BDI,Burundi,2018, 2008
CPV,Cabo Verde,2018," 2010, 2015"
KHM,Cambodia,2018," 2008, 2013"
CMR,Cameroon,2018, 2005
CAN,Canada,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
CAF,Central African Republic,2018, 2003
TCD,Chad,2018, 2009
CHL,Chile,2018," 2007, 2009"
CHN,China,2018, 2007
COL,Colombia,2018," , 2014, 2017"
COM,Comoros,2018, 2004
COD,"Congo, Dem. Rep.",2018,
COG,"Congo, Rep.",2018," 2007, 2015"
CRI,Costa Rica,2018," 2011, 2014"
CIV,Côte d'Ivoire,2018, 2015
HRV,Croatia,2018," 2003, 2010"
CYP,Cyprus,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
CZE,Czech Republic,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
DNK,Denmark,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
DJI,Djibouti,2018, 2009
DMA,Dominica,2018, 2015
DOM,Dominican Republic,2018," 2010, 2015"
ECU,Ecuador,2018, 1999
EGY,"Egypt, Arab Rep.",2018," 2006, 2010"
SLV,El Salvador,2018, 2008
GNQ,Equatorial Guinea,2018, 2015
ERI,Eritrea,2018,
EST,Estonia,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
SWZ,Eswatini,2018, 2007
ETH,Ethiopia,2018, 2007
FJI,Fiji,2018, 2009
FIN,Finland,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
FRA,France,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
GAB,Gabon,2018, 2013
GMB,"Gambia, The",2018," 2002, 2012"
GEO,Georgia,2018," 2004, 2005, 2014"
DEU,Germany,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
GHA,Ghana,2018, 2010
GRC,Greece,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
GRD,Grenada,2018, 2012
GTM,Guatemala,2018," 2003, 2006"
GIN,Guinea,2018, 2001
GNB,Guinea-Bissau,2018, 2009
GUY,Guyana,2018, 2012
HTI,Haiti,2018," 2003, 2009"
HND,Honduras,2018, 2013
HUN,Hungary,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
ISL,Iceland,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
IND,India,2018," 2010, 2011"
IDN,Indonesia,2018," 2010, 2013"
IRN,"Iran, Islamic Rep.",2018, 2014
IRQ,Iraq,2018, 2014
IRL,Ireland,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
ISR,Israel,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
ITA,Italy,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
JAM,Jamaica,2018," 2007, 2011"
JPN,Japan,2018," 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
JOR,Jordan,2018," 2007, 2015"
KAZ,Kazakhstan,2018, 2007
KEN,Kenya,2018, 2009
KIR,Kiribati,2018, 2015
