iso3c,country,database_last_updated,HOUS.SURVEYS
AFG,Afghanistan,2018," 2014, 2013, 2011, 2017"
ALB,Albania,2018," 2002, 2003, 2004, 2005, 2006, 2008, 2009, 2012, 2014, 2015, 2016"
DZA,Algeria,2018, 2011
AGO,Angola,2018," 2000, 2001, 2008, 2009"
ATG,Antigua and Barbuda,2018, 2006
ARG,Argentina,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
ARM,Armenia,2018," 1999, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
AUS,Australia,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017"
AUT,Austria,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017"
AZE,Azerbaijan,2018," 2001, 2002, 2003, 2004, 2005, 2008, 2011"
BHS,"Bahamas, The",2018," , 2001, 2006, 2013"
BHR,Bahrain,2018, 2006
BGD,Bangladesh,2018," 2000, 2005, 2010, 2011, 2016, 2017"
BRB,Barbados,2018, 1999
BLR,Belarus,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
BEL,Belgium,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017"
BLZ,Belize,2018," 1998, 1999, 2008, 2009"
BEN,Benin,2018," 2003, 2011, 2015, 2006, 2010, 2013"
BTN,Bhutan,2018," 2000, 2003, 2007, 2012, 2017"
BOL,Bolivia,2018," 1999, 2000, 2001, 2002, 2004, 2005, 2006, 2007, 2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
BIH,Bosnia and Herzegovina,2018," 2001, 2002, 2003, 2004, 2007, 2011, 2015"
BWA,Botswana,2018," 2002, 2003, 2009, 2015"
BRA,Brazil,2018," 1998, 1999, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
BRN,Brunei Darussalam,2018, 2011
BGR,Bulgaria,2018," 1995, 1997, 2001, 2003, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017"
BFA,Burkina Faso,2018," 1998, 2003, 2005, 2007, 2009, 2010, 2014"
BDI,Burundi,2018," 1998, 2006, 2013, 2014, 2017"
CPV,Cabo Verde,2018," 2001, 2007, 2015"
KHM,Cambodia,2018," , 1999, 2005, 2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015, 2016, 2017, 2011"
CMR,Cameroon,2018," 2001, 2007, 2014"
CAN,Canada,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017"
CAF,Central African Republic,2018," 2003, 2008"
TCD,Chad,2018," 2003, 2011"
CHL,Chile,2018," 1998, 2000, 2003, 2006, 2009, 2011, 2012, 2013, 2015, 2016, 2017"
CHN,China,2018," 1999, 2002, 2005, 2008, 2010, 2011, 2012, 2013, 2014, 2015"
COL,Colombia,2018," 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
COM,Comoros,2018," 2004, 2013"
COD,"Congo, Dem. Rep.",2018," 2004, 2012"
COG,"Congo, Rep.",2018," 2005, 2011"
CRI,Costa Rica,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
CIV,Côte d'Ivoire,2018," 1998, 2002, 2008, 2015"
HRV,Croatia,2018," 1998, 2004, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017"
CYP,Cyprus,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017"
CZE,Czech Republic,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017"
DNK,Denmark,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017"
DJI,Djibouti,2018," 2002, 2012, 2013, 2017"
DMA,Dominica,2018," 2002, 2008"
DOM,Dominican Republic,2018," 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016"
ECU,Ecuador,2018," 1998, 1999, 2000, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
EGY,"Egypt, Arab Rep.",2018," 2005, 2009, 2011, 2013, 2015"
SLV,El Salvador,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
GNQ,Equatorial Guinea,2018, 0
ERI,Eritrea,2018, 0
EST,Estonia,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017"
SWZ,Swaziland,2018," 2000, 2009, 2016"
ETH,Ethiopia,2018," 1999, 2004, 2010, 2011, 2015"
FJI,Fiji,2018," 2002, 2004, 2008, 2009, 2013"
FIN,Finland,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017"
FRA,France,2018," 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017"
GAB,Gabon,2018," 2005, 2017"
GMB,"Gambia, The",2018," 1998, 2003, 2004, 2010, 2011, 2015, 2016"
