iso3c,country,SNAU_2016,SNAU_2017,SNAU_2018,SNAU_2019,SPI.D1.1.SNAU_2016,SPI.D1.1.SNAU_2017,SPI.D1.1.SNAU_2018,SPI.D1.1.SNAU_2019
AFG,Afghanistan,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
ALB,Albania,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
DZA,Algeria,SNA 1968,SNA 1968,SNA 1993,SNA 1993,0,0,0.5,0.5
AGO,Angola,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
ATG,Antigua and Barbuda,SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
ARG,Argentina,SNA 2008,SNA 2008,SNA 2008,SNA 2008,1,1,1,1
ARM,Armenia,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
AUS,Australia,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
AUT,Austria,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
AZE,Azerbaijan,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
BHS,"Bahamas, The",SNA 1993,SNA 1993,SNA 2008,NA,0.5,0.5,1,NA
BHR,Bahrain,SNA 1993,SNA 1993,SNA 1993,NA,0.5,0.5,0.5,NA
BGD,Bangladesh,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
BRB,Barbados,SNA 1993,SNA 1993,SNA 1993,NA,0.5,0.5,0.5,NA
BLR,Belarus,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
BEL,Belgium,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
BLZ,Belize,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
BEN,Benin,SNA 1968,SNA 1968,SNA 1993,SNA 1993,0,0,0.5,0.5
BTN,Bhutan,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
BOL,Bolivia,SNA 1968,SNA 1968,SNA 1968,SNA 1993,0,0,0,0.5
BIH,Bosnia and Herzegovina,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
BWA,Botswana,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
BRA,Brazil,SNA 2008,SNA 2008,SNA 2008,SNA 2008,1,1,1,1
BRN,Brunei Darussalam,SNA 1993,SNA 1993,SNA 2008,NA,0.5,0.5,1,NA
BGR,Bulgaria,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
BFA,Burkina Faso,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
BDI,Burundi,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
CPV,Cabo Verde,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
KHM,Cambodia,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
CMR,Cameroon,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
CAN,Canada,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
CAF,Central African Republic,SNA 1968,SNA 1968,SNA 1968,SNA 1993,0,0,0,0.5
TCD,Chad,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
CHL,Chile,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
CHN,China,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
COL,Colombia,SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
COM,Comoros,SNA 1968,SNA 1968,SNA 1993,SNA 2008,0,0,0.5,1
COD,"Congo, Dem. Rep.",SNA 1968,SNA 1968,SNA 1993,SNA 1993,0,0,0.5,0.5
COG,"Congo, Rep.",SNA 1968,SNA 1968,SNA 1968,SNA 1968,0,0,0,0
CRI,Costa Rica,SNA 1993,SNA 2008,SNA 2008,SNA 2008,0.5,1,1,1
NA,Côte d'Ivoire,SNA 1968,SNA 1968,SNA 1993,SNA 1993,0,0,0.5,0.5
HRV,Croatia,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
CYP,Cyprus,SNA 1993,SNA 1993,SNA 2008,NA,0.5,0.5,1,NA
CZE,Czech Republic,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
DNK,Denmark,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
DJI,Djibouti,SNA 1968,SNA 1968,SNA 1993,SNA 1993,0,0,0.5,0.5
DMA,Dominica,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
DOM,Dominican Republic,SNA 2008,SNA 2008,SNA 2008,SNA 2008,1,1,1,1
ECU,Ecuador,SNA 2008,SNA 2008,SNA 2008,SNA 2008,1,1,1,1
EGY,"Egypt, Arab Rep.",SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
SLV,El Salvador,SNA 1968,SNA 1968,SNA 2008,SNA 2008,0,0,1,1
GNQ,Equatorial Guinea,SNA 1968,SNA 1968,SNA 1993,SNA 1993,0,0,0.5,0.5
ERI,Eritrea,SNA 1968,SNA 1968,SNA 1968,SNA 1968,0,0,0,0
EST,Estonia,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
ETH,Ethiopia,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
FJI,Fiji,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
FIN,Finland,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
FRA,France,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
GAB,Gabon,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
GMB,"Gambia, The",SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
GEO,Georgia,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
DEU,Germany,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
GHA,Ghana,SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
GRC,Greece,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
GRD,Grenada,SNA 1968,SNA 1968,SNA 1993,SNA 1993,0,0,0.5,0.5
GTM,Guatemala,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
GIN,Guinea,SNA 1993,SNA 1993,SNA 1993,SNA 2008,0.5,0.5,0.5,1
GNB,Guinea-Bissau,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
GUY,Guyana,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
HTI,Haiti,SNA 1968,SNA 1968,SNA 1968,SNA 1968,0,0,0,0
HND,Honduras,SNA 1993,SNA 1993,SNA 1993,SNA 1993,0.5,0.5,0.5,0.5
HUN,Hungary,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
ISL,Iceland,SNA 2008,SNA 2008,SNA 2008,NA,1,1,1,NA
IND,India,SNA 2008,SNA 2008,SNA 2008,SNA 2008,1,1,1,1
IDN,Indonesia,SNA 1993,SNA 1993,SNA 2008,SNA 2008,0.5,0.5,1,1
