iso3c,country,IDDS_2016,IDDS_2017,IDDS_2018,SPI.D1.10.IDDS_2016,SPI.D1.10.IDDS_2017,SPI.D1.10.IDDS_2018
AFG,Afghanistan,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
ALB,Albania,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
DZA,Algeria,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
AGO,Angola,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
ATG,Antigua and Barbuda,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
ARG,Argentina,SDDS,SDDS,SDDS,1,1,1
ARM,Armenia,SDDS,SDDS,SDDS,1,1,1
AUS,Australia,SDDS,SDDS,SDDS,1,1,1
AUT,Austria,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
AZE,Azerbaijan,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BHS,"Bahamas, The",e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BHR,Bahrain,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BGD,Bangladesh,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BRB,Barbados,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BLR,Belarus,SDDS,SDDS,SDDS,1,1,1
BEL,Belgium,SDDS,SDDS,SDDS,1,1,1
BLZ,Belize,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BEN,Benin,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BTN,Bhutan,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BOL,Bolivia,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BIH,Bosnia and Herzegovina,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BWA,Botswana,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BRA,Brazil,SDDS,SDDS,SDDS,1,1,1
BRN,Brunei Darussalam,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BGR,Bulgaria,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
BFA,Burkina Faso,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
BDI,Burundi,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
CPV,Cabo Verde,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
KHM,Cambodia,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
CMR,Cameroon,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
CAN,Canada,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
CAF,Central African Republic,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
TCD,Chad,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
CHL,Chile,SDDS,SDDS,SDDS,1,1,1
CHN,China,SDDS,SDDS,SDDS,1,1,1
COL,Colombia,SDDS,SDDS,SDDS,1,1,1
COM,Comoros,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
COD,"Congo, Dem. Rep.",e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
COG,"Congo, Rep.",e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
CRI,Costa Rica,SDDS,SDDS,SDDS,1,1,1
CIV,Côte d'Ivoire,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
HRV,Croatia,SDDS,SDDS,SDDS,1,1,1
CYP,Cyprus,SDDS,SDDS,SDDS,1,1,1
CZE,Czech Republic,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
DNK,Denmark,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
DJI,Djibouti,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
DMA,Dominica,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
DOM,Dominican Republic,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
ECU,Ecuador,SDDS,SDDS,SDDS,1,1,1
EGY,"Egypt, Arab Rep.",SDDS,SDDS,SDDS,1,1,1
SLV,El Salvador,SDDS,SDDS,SDDS,1,1,1
GNQ,Equatorial Guinea,0,e-GDDS,e-GDDS,0,0.5,0.5
ERI,Eritrea,0,0,0,0,0,0
EST,Estonia,SDDS,SDDS,SDDS,1,1,1
SWZ,Eswatini,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
ETH,Ethiopia,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
FJI,Fiji,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
FIN,Finland,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
FRA,France,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
GAB,Gabon,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
GMB,"Gambia, The",e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
GEO,Georgia,SDDS,SDDS,SDDS,1,1,1
DEU,Germany,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
GHA,Ghana,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
GRC,Greece,SDDS,SDDS,SDDS,1,1,1
GRD,Grenada,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
GTM,Guatemala,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
GIN,Guinea,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
GNB,Guinea-Bissau,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
GUY,Guyana,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
HTI,Haiti,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
HND,Honduras,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
HUN,Hungary,SDDS,SDDS,SDDS,1,1,1
ISL,Iceland,SDDS,SDDS,SDDS,1,1,1
IND,India,SDDS,SDDS,SDDS,1,1,1
IDN,Indonesia,SDDS,SDDS,SDDS,1,1,1
IRN,"Iran, Islamic Rep.",e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
IRQ,Iraq,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
IRL,Ireland,SDDS,SDDS,SDDS,1,1,1
ISR,Israel,SDDS,SDDS,SDDS,1,1,1
ITA,Italy,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
JAM,Jamaica,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
JPN,Japan,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
JOR,Jordan,SDDS,SDDS,SDDS,1,1,1
KAZ,Kazakhstan,SDDS,SDDS,SDDS,1,1,1
KEN,Kenya,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
KIR,Kiribati,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
KOR,"Korea, Rep.",SDDS,SDDS,SDDS,1,1,1
XKX,Kosovo,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
KWT,Kuwait,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
KGZ,Kyrgyz Republic,SDDS,SDDS,SDDS,1,1,1
LAO,Lao PDR,0,e-GDDS,e-GDDS,0,0.5,0.5
LVA,Latvia,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
LBN,Lebanon,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
LSO,Lesotho,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
LBR,Liberia,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
LBY,Libya,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
LTU,Lithuania,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
LUX,Luxembourg,SDDS,SDDS,SDDS,1,1,1
MKD,"Macedonia, FYR",SDDS,SDDS Plus,SDDS Plus,1,1,1
MDG,Madagascar,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
MWI,Malawi,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
MYS,Malaysia,SDDS,SDDS,SDDS,1,1,1
MDV,Maldives,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
MLI,Mali,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
MLT,Malta,SDDS,SDDS,SDDS,1,1,1
MHL,Marshall Islands,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
MRT,Mauritania,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
MUS,Mauritius,SDDS,SDDS,SDDS,1,1,1
MEX,Mexico,SDDS,SDDS,SDDS,1,1,1
FSM,"Micronesia, Fed. Sts.",e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
MDA,Moldova,SDDS,SDDS,SDDS,1,1,1
MNG,Mongolia,e-GDDS,SDDS,SDDS,0.5,1,1
MNE,Montenegro,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
MAR,Morocco,SDDS,SDDS,SDDS,1,1,1
MOZ,Mozambique,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
MMR,Myanmar,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
NAM,Namibia,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
NRU,Nauru,0,0,0,0,0,0
NPL,Nepal,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
NLD,Netherlands,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
NZL,New Zealand,0,0,0,0,0,0
NIC,Nicaragua,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
NER,Niger,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
NGA,Nigeria,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
NOR,Norway,SDDS,SDDS,SDDS,1,1,1
OMN,Oman,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
PAK,Pakistan,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
PLW,Palau,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
PAN,Panama,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
PNG,Papua New Guinea,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
PRY,Paraguay,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
PER,Peru,SDDS,SDDS,SDDS,1,1,1
PHL,Philippines,SDDS,SDDS,SDDS,1,1,1
POL,Poland,SDDS,SDDS,SDDS,1,1,1
PRT,Portugal,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
QAT,Qatar,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
ROU,Romania,SDDS,SDDS,SDDS,1,1,1
RUS,Russian Federation,SDDS,SDDS,SDDS,1,1,1
RWA,Rwanda,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
WSM,Samoa,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
SMR,San Marino,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
STP,São Tomé and Principe,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
SAU,Saudi Arabia,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
SEN,Senegal,e-GDDS,SDDS,SDDS,0.5,1,1
SRB,Serbia,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
SYC,Seychelles,SDDS,SDDS,SDDS,1,1,1
SLE,Sierra Leone,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
SGP,Singapore,SDDS,SDDS,SDDS,1,1,1
SVK,Slovak Republic,SDDS,SDDS,SDDS,1,1,1
SVN,Slovenia,SDDS,SDDS,SDDS,1,1,1
SLB,Solomon Islands,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
SOM,Somalia,0,0,0,0,0,0
ZAF,South Africa,SDDS,SDDS,SDDS,1,1,1
SSD,South Sudan,0,0,0,0,0,0
ESP,Spain,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
LKA,Sri Lanka,SDDS,SDDS,SDDS,1,1,1
KNA,St. Kitts and Nevis,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
LCA,St. Lucia,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
VCT,St. Vincent and the Grenadines,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
SDN,Sudan,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
SUR,Suriname,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
SWE,Sweden,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
CHE,Switzerland,SDDS,SDDS,SDDS,1,1,1
SYR,Syrian Arab Republic,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
TJK,Tajikistan,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
TZA,Tanzania,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
THA,Thailand,SDDS,SDDS,SDDS,1,1,1
TLS,Timor-Leste,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
TGO,Togo,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
TON,Tonga,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
TTO,Trinidad and Tobago,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
TUN,Tunisia,SDDS,SDDS,SDDS,1,1,1
TUR,Turkey,SDDS,SDDS,SDDS,1,1,1
TKM,Turkmenistan,na,0,0,0,0,0
TUV,Tuvalu,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
UGA,Uganda,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
UKR,Ukraine,SDDS,SDDS,SDDS,1,1,1
ARE,United Arab Emirates,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
GBR,United Kingdom,SDDS,SDDS,SDDS,1,1,1
USA,United States,SDDS Plus,SDDS Plus,SDDS Plus,1,1,1
URY,Uruguay,SDDS,SDDS,SDDS,1,1,1
UZB,Uzbekistan,na,e-GDDS,e-GDDS,0,0.5,0.5
VUT,Vanuatu,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
VEN,"Venezuela, RB",e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
VNM,Vietnam,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
PSE,West Bank and Gaza,SDDS,SDDS,SDDS,1,1,1
YEM,"Yemen, Rep.",e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
ZMB,Zambia,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
ZWE,Zimbabwe,e-GDDS,e-GDDS,e-GDDS,0.5,0.5,0.5
