iso3c,country,CPIBY_2016,CPIBY_2017,CPIBY_2018,SPI.D1.4.CPIBY_2016,SPI.D1.4.CPIBY_2017,SPI.D1.4.CPIBY_2018
AFG,Afghanistan,1987,1987,1987,0,0,0
ALB,Albania,2014,2016,2016,0.5,0.5,0.5
DZA,Algeria,2000,2000,2000,0,0,0
AGO,Angola,2009,2009,2009,0.5,0.5,0.5
ATG,Antigua and Barbuda,2001,2001,2001,0,0,0
ARG,Argentina,2005,2005,2005,0,0,0
ARM,Armenia,2010,2010,2010,0.5,0.5,0.5
AUS,Australia,annual chained,annual chained,annual chained,1,1,1
AUT,Austria,annual chained,annual chained,annual chained,1,1,1
AZE,Azerbaijan,annual chained,annual chained,annual chained,1,1,1
BHS,"Bahamas, The",2006,2006,2006,0.5,0,0
BHR,Bahrain,2006,2006,2006,0.5,0,0
BGD,Bangladesh,2006,2006,2006,0.5,0,0
BRB,Barbados,1999,1999,1999,0,0,0
BLR,Belarus,annual chained,annual chained,annual chained,1,1,1
BEL,Belgium,2014,2014,2014,0.5,0.5,0.5
BLZ,Belize,1991,1991,1991,0,0,0
BEN,Benin,2008,2008,2008,0.5,0.5,0.5
BTN,Bhutan,2003,2003,2003,0,0,0
BOL,Bolivia,2004,2004,2004,0,0,0
BIH,Bosnia and Herzegovina,2007,2007,2007,0.5,0.5,0
BWA,Botswana,2003,2003,2003,0,0,0
BRA,Brazil,2009,2009,2009,0.5,0.5,0.5
BRN,Brunei Darussalam,2005,2005,2005,0,0,0
BGR,Bulgaria,annual chained,annual chained,annual chained,1,1,1
BFA,Burkina Faso,2008,2008,2008,0.5,0.5,0.5
BDI,Burundi,2008,2014,2014,0.5,0.5,0.5
CPV,Cabo Verde,2002,2002,2002,0,0,0
KHM,Cambodia,2004,2004,2004,0,0,0
CMR,Cameroon,1996,1996,1996,0,0,0
CAN,Canada,2015,2015,2015,0.5,0.5,0.5
CAF,Central African Republic,1975,1975,1975,0,0,0
TCD,Chad,2004,2004,2004,0,0,0
CHL,Chile,2007,2012,2012,0.5,0.5,0.5
CHN,China,annual chained,annual chained,annual chained,1,1,1
COL,Colombia,2007,2007,2007,0.5,0.5,0
COM,Comoros,1995,1995,1995,0,0,0
COD,"Congo, Dem. Rep.",1995,1995,1995,0,0,0
COG,"Congo, Rep.",1997,1997,1997,0,0,0
CRI,Costa Rica,2013,2013,2013,0.5,0.5,0.5
CIV,Côte d'Ivoire,2008,2008,2008,0.5,0.5,0.5
HRV,Croatia,2014,2014,2014,0.5,0.5,0.5
CYP,Cyprus,2010,2016,2016,0.5,0.5,0.5
CZE,Czech Republic,2012,2016,2016,0.5,0.5,0.5
DNK,Denmark,annual chained,annual chained,annual chained,1,1,1
DJI,Djibouti,1999,1999,1999,0,0,0
DMA,Dominica,2009,2009,2009,0.5,0.5,0.5
DOM,Dominican Republic,2007,2007,2007,0.5,0.5,0
ECU,Ecuador,2004,2004,2004,0,0,0
EGY,"Egypt, Arab Rep.",2009,2009,2009,0.5,0.5,0.5
SLV,El Salvador,2006,2006,2006,0.5,0,0
GNQ,Equatorial Guinea,2006,2006,2006,0.5,0,0
ERI,Eritrea,0,0,0,0,0,0
EST,Estonia,annual chained,annual chained,annual chained,1,1,1
SWZ,Eswatini,2001,2001,2001,0,0,0
ETH,Ethiopia,2005,2005,2005,0,0,0
FJI,Fiji,2009,2009,2009,0.5,0.5,0.5
FIN,Finland,annual chained,annual chained,annual chained,1,1,1
FRA,France,annual chained,annual chained,annual chained,1,1,1
GAB,Gabon,2003,2003,2003,0,0,0
GMB,"Gambia, The",2004,2004,2004,0,0,0
GEO,Georgia,2015,2016,2016,0.5,0.5,0.5
DEU,Germany,2013,2010,2010,0.5,0.5,0.5
GHA,Ghana,2006,2006,2006,0.5,0,0
GRC,Greece,2012,2012,2012,0.5,0.5,0.5
GRD,Grenada,2010,2010,2010,0.5,0.5,0.5
GTM,Guatemala,2010,2010,2010,0.5,0.5,0.5
GIN,Guinea,1991,2003,2003,0,0,0
GNB,Guinea-Bissau,2009,2009,2009,0.5,0.5,0.5
GUY,Guyana,2006,2006,2006,0.5,0,0
HTI,Haiti,2004,2004,2004,0,0,0
HND,Honduras,1999,1999,1999,0,0,0
HUN,Hungary,annual chained,annual chained,annual chained,1,1,1
ISL,Iceland,annual chained,annual chained,annual chained,1,1,1
IND,India,2012,2012,2012,0.5,0.5,0.5
IDN,Indonesia,2012,2012,2012,0.5,0.5,0.5
IRN,"Iran, Islamic Rep.",2011,2011,2011,0.5,0.5,0.5
IRQ,Iraq,2007,2007,2007,0.5,0.5,0
IRL,Ireland,2010,2010,2010,0.5,0.5,0.5
ISR,Israel,2009,2009,2009,0.5,0.5,0.5
ITA,Italy,annual chained,annual chained,annual chained,1,1,1
JAM,Jamaica,2005,2005,2005,0,0,0
JPN,Japan,2015,2015,2015,0.5,0.5,0.5
JOR,Jordan,2007,2007,2007,0.5,0.5,0
KAZ,Kazakhstan,annual chained,annual chained,annual chained,1,1,1
KEN,Kenya,2006,2006,2006,0.5,0,0
KIR,Kiribati,1996,1996,1996,0,0,0
KOR,"Korea, Rep.",2015,2017,2017,0.5,0.5,0.5
XKX,Kosovo,2008,2012,2012,0.5,0.5,0.5
KWT,Kuwait,2000,2000,2000,0,0,0
KGZ,Kyrgyz Republic,annual chained,annual chained,annual chained,1,1,1
LAO,Lao PDR,2013,2013,2013,0.5,0.5,0.5
LVA,Latvia,annual chained,annual chained,annual chained,1,1,1
LBN,Lebanon,2007,2007,2007,0.5,0.5,0
LSO,Lesotho,2003,2003,2003,0,0,0
LBR,Liberia,1964,1964,1964,0,0,0
LBY,Libya,2003,2003,2003,0,0,0
LTU,Lithuania,annual chained,annual chained,annual chained,1,1,1
LUX,Luxembourg,annual chained,annual chained,annual chained,1,1,1
MKD,"Macedonia, FYR",annual chained,annual chained,annual chained,1,1,1
MDG,Madagascar,2008,2008,2008,0.5,0.5,0.5
MWI,Malawi,1998,1998,1998,0,0,0
MYS,Malaysia,2014,2014,2014,0.5,0.5,0.5
MDV,Maldives,2010,2016,2016,0.5,0.5,0.5
MLI,Mali,1996,1996,1996,0,0,0
MLT,Malta,2009,2009,2009,0.5,0.5,0.5
MHL,Marshall Islands,2002,2002,2002,0,0,0
MRT,Mauritania,2007,2007,2007,0.5,0.5,0
MUS,Mauritius,2012,2012,2012,0.5,0.5,0.5
MEX,Mexico,2008,2008,2008,0.5,0.5,0.5
FSM,"Micronesia, Fed. Sts.",2005,2005,2005,0,0,0
MDA,Moldova,annual chained,annual chained,annual chained,1,1,1
MNG,Mongolia,2015,2015,2015,0.5,0.5,0.5
