iso3c,country,HOUS_2016,HOUS_2017,HOUS_2018,HOUS_2019,SPI.D1.5.HOUS_2016,SPI.D1.5.HOUS_2017,SPI.D1.5.HOUS_2018,SPI.D1.5.HOUS_2019
AFG,Afghanistan,COICOP,COICOP,COICOP,COICOP,1,1,1,1
ALB,Albania,COICOP,COICOP,COICOP,COICOP,1,1,1,1
DZA,Algeria,COICOP,COICOP,COICOP,COICOP,1,1,1,1
AGO,Angola,COICOP,COICOP,COICOP,COICOP,1,1,1,1
ATG,Antigua and Barbuda,na,NA,NA,NA,0,0,0,0
ARG,Argentina,COICOP,COICOP,COICOP,COICOP,1,1,1,1
ARM,Armenia,COICOP,COICOP,COICOP,COICOP,1,1,1,1
AUS,Australia,COICOP,COICOP,COICOP,NA,1,1,1,NA
AUT,Austria,COICOP,COICOP,COICOP,NA,1,1,1,NA
AZE,Azerbaijan,COICOP,COICOP,COICOP,COICOP,1,1,1,1
BHS,"Bahamas, The",na,NA,NA,NA,0,0,0,NA
BHR,Bahrain,COICOP,COICOP,COICOP,NA,1,1,1,NA
BGD,Bangladesh,na,NA,NA,NA,0,0,0,0
BRB,Barbados,na,NA,NA,NA,0,0,0,NA
BLR,Belarus,COICOP,COICOP,COICOP,COICOP,1,1,1,1
BEL,Belgium,COICOP,COICOP,COICOP,NA,1,1,1,NA
BLZ,Belize,COICOP,COICOP,COICOP,COICOP,1,1,1,1
BEN,Benin,na,NA,NA,NA,0,0,0,0
BTN,Bhutan,na,NA,NA,NA,0,0,0,0
BOL,Bolivia,na,NA,NA,NA,0,0,0,0
BIH,Bosnia and Herzegovina,COICOP,COICOP,COICOP,COICOP,1,1,1,1
BWA,Botswana,COICOP,COICOP,COICOP,COICOP,1,1,1,1
BRA,Brazil,COICOP,COICOP,COICOP,COICOP,1,1,1,1
BRN,Brunei Darussalam,COICOP,COICOP,COICOP,NA,1,1,1,NA
BGR,Bulgaria,COICOP,COICOP,COICOP,COICOP,1,1,1,1
BFA,Burkina Faso,COICOP,COICOP,COICOP,COICOP,1,1,1,1
BDI,Burundi,COICOP,COICOP,COICOP,COICOP,1,1,1,1
CPV,Cabo Verde,na,NA,NA,NA,0,0,0,0
KHM,Cambodia,COICOP,COICOP,COICOP,COICOP,1,1,1,1
CMR,Cameroon,COICOP,COICOP,COICOP,COICOP,1,1,1,1
CAN,Canada,COICOP,COICOP,COICOP,NA,1,1,1,NA
CAF,Central African Republic,na,NA,NA,NA,0,0,0,0
TCD,Chad,na,NA,NA,NA,0,0,0,0
CHL,Chile,COICOP,COICOP,COICOP,COICOP,1,1,1,1
CHN,China,COICOP,COICOP,COICOP,COICOP,1,1,1,1
COL,Colombia,na,NA,NA,NA,0,0,0,0
COM,Comoros,COICOP,COICOP,COICOP,COICOP,1,1,1,1
COD,"Congo, Dem. Rep.",na,NA,NA,NA,0,0,0,0
COG,"Congo, Rep.",COICOP,COICOP,COICOP,COICOP,1,1,1,1
CRI,Costa Rica,COICOP,COICOP,COICOP,COICOP,1,1,1,1
CIV,Cote d'Ivoire,na,NA,NA,NA,0,0,0,0
HRV,Croatia,COICOP,COICOP,COICOP,COICOP,1,1,1,1
CYP,Cyprus,COICOP,COICOP,COICOP,NA,1,1,1,NA
CZE,Czech Republic,COICOP,COICOP,COICOP,NA,1,1,1,NA
DNK,Denmark,COICOP,COICOP,COICOP,NA,1,1,1,NA
DJI,Djibouti,na,NA,NA,NA,0,0,0,0
DMA,Dominica,COICOP,COICOP,COICOP,COICOP,1,1,1,1
DOM,Dominican Republic,COICOP,COICOP,COICOP,COICOP,1,1,1,1
ECU,Ecuador,COICOP,COICOP,COICOP,COICOP,1,1,1,1
EGY,"Egypt, Arab Rep.",COICOP,COICOP,COICOP,COICOP,1,1,1,1
SLV,El Salvador,COICOP,COICOP,COICOP,COICOP,1,1,1,1
GNQ,Equatorial Guinea,0,COICOP,COICOP,COICOP,0,1,1,1
ERI,Eritrea,0,0,0,0,0,0,0,0
EST,Estonia,COICOP,COICOP,COICOP,NA,1,1,1,NA
SWZ,Eswatini,na,0,0,0,0,0,0,0
ETH,Ethiopia,na,NA,NA,NA,0,0,0,0
FJI,Fiji,na,COICOP,COICOP,COICOP,0,1,1,1
FIN,Finland,COICOP,COICOP,COICOP,NA,1,1,1,NA
FRA,France,COICOP,COICOP,COICOP,NA,1,1,1,NA
GAB,Gabon,na,NA,NA,NA,0,0,0,0
GMB,"Gambia, The",na,NA,NA,NA,0,0,0,0
GEO,Georgia,COICOP,COICOP,COICOP,COICOP,1,1,1,1
DEU,Germany,COICOP,COICOP,COICOP,NA,1,1,1,NA
GHA,Ghana,COICOP,COICOP,COICOP,COICOP,1,1,1,1
GRC,Greece,COICOP,COICOP,COICOP,NA,1,1,1,NA
GRD,Grenada,na,NA,NA,NA,0,0,0,0
GTM,Guatemala,na,NA,NA,NA,0,0,0,0
GIN,Guinea,na,NA,NA,NA,0,0,0,0
GNB,Guinea-Bissau,na,NA,NA,NA,0,0,0,0
GUY,Guyana,na,NA,NA,NA,0,0,0,0
HTI,Haiti,COICOP,COICOP,COICOP,COICOP,1,1,1,1
HND,Honduras,COICOP,COICOP,COICOP,COICOP,1,1,1,1
HUN,Hungary,COICOP,COICOP,COICOP,NA,1,1,1,NA
ISL,Iceland,COICOP,COICOP,COICOP,NA,1,1,1,NA
