iso3c,country,EMPL_2016,EMPL_2017,EMPL_2018,SPI.D1.6.EMPL_2016,SPI.D1.6.EMPL_2017,SPI.D1.6.EMPL_2018
AFG,Afghanistan,na,NA,NA,0,0,0
ALB,Albania,ISCO 88,ISCO-88,ISCO-88,0,0,0
DZA,Algeria,na,NA,NA,0,0,0
AGO,Angola,na,NA,NA,0,0,0
ATG,Antigua and Barbuda,na,NA,NA,0,0,0
ARG,Argentina,na,NA,NA,0,0,0
ARM,Armenia,ICSE-93,ICSE-93,ICSE-93,1,1,1
AUS,Australia,ICSE-93,ICSE-93,ICSE-93,1,1,1
AUT,Austria,na,nace rev. 1,nace rev. 1,0,0,0
AZE,Azerbaijan,na,ICSE-93,ICSE-93,0,1,1
BHS,"Bahamas, The",ISCO 88,ISCO-88,ISCO-88,0,0,0
BHR,Bahrain,ISOC 1988,ISCO-88,ISCO-88,0,0,0
BGD,Bangladesh,na,ISCO-88,ISCO-88,0,0,0
BRB,Barbados,na,CLFSS,CLFSS,0,0,0
BLR,Belarus,na,OKRB 005-2011,OKRB 005-2011,0,0,0
BEL,Belgium,na,ISCO,ISCO,0,0,0
BLZ,Belize,na,NA,NA,0,0,0
BEN,Benin,na,NA,NA,0,0,0
BTN,Bhutan,na,NA,NA,0,0,0
BOL,Bolivia,na,NA,NA,0,0,0
BIH,Bosnia and Herzegovina,na,ISCO-88,ISCO-88,0,0,0
BWA,Botswana,ISCO-1988,ISCO-88,ISCO-88,0,0,0
BRA,Brazil,na,CBO Domiciliar,CBO Domiciliar,0,0,0
BRN,Brunei Darussalam,na,NA,NA,0,0,0
BGR,Bulgaria,ICSE-93,ICSE-93,ICSE-93,1,1,1
BFA,Burkina Faso,na,NA,NA,0,0,0
BDI,Burundi,na,NA,NA,0,0,0
CPV,Cabo Verde,na,NA,NA,0,0,0
KHM,Cambodia,na,NA,NA,0,0,0
CMR,Cameroon,na,NA,NA,0,0,0
CAN,Canada,NAICS,NAICS,NAICS,1,1,1
CAF,Central African Republic,na,ISCO-88,ISCO-88,0,0,0
TCD,Chad,na,NA,NA,0,0,0
CHL,Chile,na,NA,NA,0,0,0
CHN,China,na,NA,NA,0,0,0
COL,Colombia,na,NA,NA,0,0,0
COM,Comoros,na,NA,NA,0,0,0
COD,"Congo, Dem. Rep.",na,NA,NA,0,0,0
COG,"Congo, Rep.",na,NA,NA,0,0,0
CRI,Costa Rica,ISCO 88,ISCO-88,ISCO-88,0,0,0
CIV,Côte d'Ivoire,na,NA,NA,0,0,0
