iso3c,country,MONY_2016,MONY_2017,MONY_2018,SPI.D1.9.MONY_2016,SPI.D1.9.MONY_2017,SPI.D1.9.MONY_2018
AFG,Afghanistan,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ALB,Albania,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
DZA,Algeria,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
AGO,Angola,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ATG,Antigua and Barbuda,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ARG,Argentina,0,NM,NM,0,0,0
ARM,Armenia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
AUS,Australia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
AUT,Austria,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
AZE,Azerbaijan,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BHS,"Bahamas, The",0,NM,NM,0,0,0
BHR,Bahrain,0,NM,NM,0,0,0
BGD,Bangladesh,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BRB,Barbados,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BLR,Belarus,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BEL,Belgium,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BLZ,Belize,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BEN,Benin,0,MFSM 2000,MFSM 2000,0,1,1
BTN,Bhutan,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BOL,Bolivia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BIH,Bosnia and Herzegovina,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BWA,Botswana,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BRA,Brazil,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BRN,Brunei Darussalam,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BGR,Bulgaria,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
BFA,Burkina Faso,0,MFSM 2000,MFSM 2000,0,1,1
BDI,Burundi,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
CPV,Cabo Verde,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
KHM,Cambodia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
CMR,Cameroon,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
CAN,Canada,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
CAF,Central African Republic,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
TCD,Chad,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
CHL,Chile,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
CHN,China,0,NM,NM,0,0,0
COL,Colombia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
COM,Comoros,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
COD,"Congo, Dem. Rep.",MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
COG,"Congo, Rep.",MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
CRI,Costa Rica,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
CIV,Côte d'Ivoire,0,MFSM 2000,MFSM 2000,0,1,1
HRV,Croatia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
CYP,Cyprus,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
CZE,Czech Republic,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
DNK,Denmark,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
DJI,Djibouti,0,MFSMCG 2016,MFSMCG 2016,0,1,1
DMA,Dominica,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
DOM,Dominican Republic,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ECU,Ecuador,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
EGY,"Egypt, Arab Rep.",MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SLV,El Salvador,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
GNQ,Equatorial Guinea,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ERI,Eritrea,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
EST,Estonia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
SWZ,Eswatini,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
ETH,Ethiopia,0,NM,NM,0,0,0
FJI,Fiji,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
FIN,Finland,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
FRA,France,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
GAB,Gabon,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
GMB,"Gambia, The",MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
GEO,Georgia,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
DEU,Germany,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
GHA,Ghana,MFSM 2000,MFSM 2000,MFSM 2000,1,1,1
