iso3c,country,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018
AFG,Afghanistan,33.33333333333333,33.33333333333333,33.33333333333333
AGO,Angola,37.5,37.5,37.5
ALB,Albania,79.16666666666666,79.16666666666666,83.33333333333334
ARE,United Arab Emirates,50,58.333333333333336,58.333333333333336
ARG,Argentina,45.83333333333333,45.83333333333333,45.83333333333333
ARM,Armenia,79.16666666666666,83.33333333333334,87.5
ATG,Antigua and Barbuda,33.33333333333333,29.166666666666668,29.166666666666668
AUS,Australia,95.83333333333334,100,100
AUT,Austria,91.66666666666666,91.66666666666666,91.66666666666666
AZE,Azerbaijan,62.5,70.83333333333334,79.16666666666666
BDI,Burundi,33.33333333333333,33.33333333333333,41.66666666666667
BEL,Belgium,87.5,87.5,87.5
BEN,Benin,20.833333333333336,29.166666666666668,29.166666666666668
BFA,Burkina Faso,25,33.33333333333333,33.33333333333333
BGD,Bangladesh,33.33333333333333,25,25
BGR,Bulgaria,87.5,87.5,91.66666666666666
BHR,Bahrain,41.66666666666667,37.5,37.5
BHS,"Bahamas, The",33.33333333333333,25,37.5
BIH,Bosnia and Herzegovina,66.66666666666666,66.66666666666666,62.5
BLR,Belarus,83.33333333333334,79.16666666666666,83.33333333333334
BLZ,Belize,29.166666666666668,29.166666666666668,29.166666666666668
BOL,Bolivia,16.666666666666664,16.666666666666664,16.666666666666664
BRA,Brazil,54.166666666666664,54.166666666666664,70.83333333333334
BRB,Barbados,33.33333333333333,33.33333333333333,33.33333333333333
BRN,Brunei Darussalam,37.5,41.66666666666667,45.83333333333333
BTN,Bhutan,20.833333333333336,20.833333333333336,20.833333333333336
BWA,Botswana,29.166666666666668,33.33333333333333,33.33333333333333
CAF,Central African Republic,16.666666666666664,16.666666666666664,16.666666666666664
CAN,Canada,91.66666666666666,91.66666666666666,91.66666666666666
CHE,Switzerland,75,75,75
CHL,Chile,62.5,62.5,70.83333333333334
CHN,China,45.83333333333333,50,54.166666666666664
CIV,Côte d'Ivoire,16.666666666666664,25,29.166666666666668
CMR,Cameroon,33.33333333333333,33.33333333333333,33.33333333333333
COD,"Congo, Dem. Rep.",16.666666666666664,16.666666666666664,20.833333333333336
COG,"Congo, Rep.",29.166666666666668,20.833333333333336,20.833333333333336
COL,Colombia,50,50,45.83333333333333
COM,Comoros,20.833333333333336,20.833333333333336,25
CPV,Cabo Verde,33.33333333333333,33.33333333333333,29.166666666666668
CRI,Costa Rica,58.333333333333336,70.83333333333334,70.83333333333334
CYP,Cyprus,83.33333333333334,83.33333333333334,87.5
CZE,Czech Republic,83.33333333333334,87.5,87.5
DEU,Germany,87.5,87.5,87.5
DJI,Djibouti,8.333333333333332,16.666666666666664,20.833333333333336
DMA,Dominica,45.83333333333333,41.66666666666667,41.66666666666667
DNK,Denmark,83.33333333333334,83.33333333333334,83.33333333333334
