iso3c,country,POPU.CENSUS_2016,POPU.CENSUS_2017,POPU.CENSUS_2018,POPU.CENSUS_2019,SPI.D2.1.POPU_2016,SPI.D2.1.POPU_2017,SPI.D2.1.POPU_2018,SPI.D2.1.POPU_2019
AFG,Afghanistan,NA,NA,NA,NA,0,0,0,0
ALB,Albania,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
DZA,Algeria,"1998, 2008","1998, 2008","1998, 2008","1998, 2008",1,1,1,0.5
AGO,Angola,2014,2014,2014,2014,1,1,1,1
ATG,Antigua and Barbuda,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
ARG,Argentina,"2001, 2010","2001, 2010","2001, 2010","2001, 2010",1,1,1,1
ARM,Armenia,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
AZE,Azerbaijan,"1999, 2009, 2019","1999, 2009, 2019","1999, 2009, 2019","1999, 2009, 2019",1,1,1,1
BGD,Bangladesh,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
BLR,Belarus,"1999, 2009, 2019","1999, 2009, 2019","1999, 2009, 2019","1999, 2009, 2019",1,1,1,1
BLZ,Belize,"2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
BEN,Benin,"2002, 2013","2002, 2013","2002, 2013","2002, 2013",1,1,1,1
BTN,Bhutan,"2005, 2017","2005, 2017","2005, 2017","2005, 2017",0.5,0.5,1,1
BOL,Bolivia,"2001, 2012","2001, 2012","2001, 2012","2001, 2012",1,1,1,1
BIH,Bosnia and Herzegovina,2013,2013,2013,2013,1,1,1,1
BWA,Botswana,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
BRA,Brazil,"1996, 2000, 2010","1996, 2000, 2010","1996, 2000, 2010","1996, 2000, 2010",1,1,1,1
BGR,Bulgaria,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
BFA,Burkina Faso,2006,2006,2006,2006,1,0.5,0.5,0.5
BDI,Burundi,2008,2008,2008,2008,1,1,1,0.5
CPV,Cabo Verde,"2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
KHM,Cambodia,"2008, 2019","2008, 2019","2008, 2019","2008, 2019",1,1,1,0.5
CMR,Cameroon,2005,2005,2005,2005,0.5,0.5,0.5,0.5
CAF,Central African Republic,2003,2003,2003,2003,0.5,0.5,0.5,0.5
TCD,Chad,2009,2009,2009,2009,1,1,1,1
CHL,Chile,"2002, 2012, 2017","2002, 2012, 2017","2002, 2012, 2017","2002, 2012, 2017",1,1,1,1
CHN,China,"2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
COL,Colombia,"2006, 2018","2006, 2018","2006, 2018","2006, 2018",1,0.5,0.5,1
COM,Comoros,"2003, 2017","2003, 2017","2003, 2017","2003, 2017",0.5,0.5,1,1
COD,"Congo, Dem. Rep.",NA,NA,NA,NA,0,0,0,0
COG,"Congo, Rep.",2007,2007,2007,2007,1,1,0.5,0.5
CRI,Costa Rica,2011,2011,2011,2011,1,1,1,1
CIV,Cote d'Ivoire,"1998, 2014","1998, 2014","1998, 2014","1998, 2014",1,1,1,1
HRV,Croatia,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
DJI,Djibouti,2009,2009,2009,2009,1,1,1,1
DMA,Dominica,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
DOM,Dominican Republic,"2002, 2010","2002, 2010","2002, 2010","2002, 2010",1,1,1,1
ECU,Ecuador,"2001, 2010","2001, 2010","2001, 2010","2001, 2010",1,1,1,1
EGY,"Egypt, Arab Rep.","1996, 2006, 2017","1996, 2006, 2017","1996, 2006, 2017","1996, 2006, 2017",1,0.5,1,1
SLV,El Salvador,2007,2007,2007,2007,1,1,0.5,0.5
GNQ,Equatorial Guinea,"2002, 2015","2002, 2015","2002, 2015","2002, 2015",1,1,1,1
ERI,Eritrea,NA,NA,NA,NA,0,0,0,0
SWZ,Eswatini,"1997, 2007, 2017","1997, 2007, 2017","1997, 2007, 2017","1997, 2007, 2017",1,1,1,1
ETH,Ethiopia,2007,2007,2007,2007,1,1,0.5,0.5
FJI,Fiji,"1996, 2007, 2017","1996, 2007, 2017","1996, 2007, 2017","1996, 2007, 2017",1,1,1,1
GAB,Gabon,"2003, 2013","2003, 2013","2003, 2013","2003, 2013",1,1,1,1
GMB,"Gambia, The","2003, 2013","2003, 2013","2003, 2013","2003, 2013",1,1,1,1
GEO,Georgia,"2002, 2014","2002, 2014","2002, 2014","2002, 2014",1,1,1,1
GHA,Ghana,2010,2010,2010,2010,1,1,1,1
GRD,Grenada,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
GTM,Guatemala,"2002, 2018","2002, 2018","2002, 2018","2002, 2018",0.5,0.5,0.5,1
GIN,Guinea,2014,2014,2014,2014,1,1,1,1
GNB,Guinea-Bissau,2009,2009,2009,2009,1,1,1,1
GUY,Guyana,"2002, 2012","2002, 2012","2002, 2012","2002, 2012",1,1,1,1
HTI,Haiti,NA,NA,NA,NA,0,0,0,0
HND,Honduras,"2001, 2013","2001, 2013","2001, 2013","2001, 2013",1,1,1,1
IND,India,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
IDN,Indonesia,"2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
IRN,"Iran, Islamic Rep.","1996, 2006, 2011, 2016","1996, 2006, 2011, 2016","1996, 2006, 2011, 2016","1996, 2006, 2011, 2016",1,1,1,1
IRQ,Iraq,1997,1997,1997,1997,0.5,0.5,0,0
JAM,Jamaica,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
JOR,Jordan,"2004, 2015","2004, 2015","2004, 2015","2004, 2015",1,1,1,1
KAZ,Kazakhstan,"1999, 2009","1999, 2009","1999, 2009","1999, 2009",1,1,1,1
KEN,Kenya,"1999, 2009","1999, 2009","1999, 2009","1999, 2009",1,1,1,1
KIR,Kiribati,"2000, 2005, 2010, 2015","2000, 2005, 2010, 2015","2000, 2005, 2010, 2015","2000, 2005, 2010, 2015",1,1,1,1
XKX,Kosovo,"2002, 2011","2002, 2011","2002, 2011","2002, 2011",1,1,1,1
KGZ,Kyrgyz Republic,"1999, 2009","1999, 2009","1999, 2009","1999, 2009",1,1,1,1
LAO,Lao PDR,"2005, 2015","2005, 2015","2005, 2015","2005, 2015",1,1,1,1
LBN,Lebanon,NA,NA,NA,NA,0,0,0,0
LSO,Lesotho,"1996, 2001, 2006, 2016","1996, 2001, 2006, 2016","1996, 2001, 2006, 2016","1996, 2001, 2006, 2016",1,1,1,1
LBR,Liberia,2008,2008,2008,2008,1,1,1,0.5
LBY,Libya,2006,2006,2006,2006,1,0.5,0.5,0.5
MDG,Madagascar,2018,2018,2018,2018,0,0,0,1
MWI,Malawi,"1998, 2008, 2018","1998, 2008, 2018","1998, 2008, 2018","1998, 2008, 2018",1,1,1,1
MYS,Malaysia,"2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
MDV,Maldives,"2000, 2006, 2014","2000, 2006, 2014","2000, 2006, 2014","2000, 2006, 2014",1,1,1,1
MLI,Mali,"1998, 2009","1998, 2009","1998, 2009","1998, 2009",1,1,1,1
MHL,Marshall Islands,"1999, 2011","1999, 2011","1999, 2011","1999, 2011",1,1,1,1
MRT,Mauritania,"2000, 2013","2000, 2013","2000, 2013","2000, 2013",1,1,1,1
MUS,Mauritius,"2000, 2011","2000, 2011","2000, 2011","2000, 2011",1,1,1,1
MEX,Mexico,"2000, 2005, 2010","2000, 2005, 2010","2000, 2005, 2010","2000, 2005, 2010",1,1,1,1
FSM,"Micronesia, Fed. Sts.","2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
MDA,Moldova,"2004, 2014","2004, 2014","2004, 2014","2004, 2014",1,1,1,1
MNG,Mongolia,"2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
MNE,Montenegro,"2003, 2011","2003, 2011","2003, 2011","2003, 2011",1,1,1,1
MAR,Morocco,"2004, 2014","2004, 2014","2004, 2014","2004, 2014",1,1,1,1
MOZ,Mozambique,"1997, 2007, 2017","1997, 2007, 2017","1997, 2007, 2017","1997, 2007, 2017",1,1,1,1
MMR,Myanmar,2014,2014,2014,2014,1,1,1,1
NAM,Namibia,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
NRU,Nauru,"2002, 2012","2002, 2012","2002, 2012","2002, 2012",1,1,1,1
NPL,Nepal,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
NIC,Nicaragua,2005,2005,2005,2005,0.5,0.5,0.5,0.5
NER,Niger,"2001, 2012","2001, 2012","2001, 2012","2001, 2012",1,1,1,1
NGA,Nigeria,2006,2006,2006,2006,1,0.5,0.5,0.5
MKD,North Macedonia,2002,2002,2002,2002,0.5,0.5,0.5,0.5
PAK,Pakistan,"1998, 2017","1998, 2017","1998, 2017","1998, 2017",0.5,0.5,1,1
PLW,Palau,"2000, 2005, 2010, 2012, 2015","2000, 2005, 2010, 2012, 2015","2000, 2005, 2010, 2012, 2015","2000, 2005, 2010, 2012, 2015",1,1,1,1
PAN,Panama,"2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
PNG,Papua New Guinea,"2000, 2011","2000, 2011","2000, 2011","2000, 2011",1,1,1,1
PRY,Paraguay,"2002, 2012","2002, 2012","2002, 2012","2002, 2012",1,1,1,1
PER,Peru,"2005, 2007, 2017","2005, 2007, 2017","2005, 2007, 2017","2005, 2007, 2017",1,1,1,1
PHL,Philippines,"2000, 2007, 2010, 2015","2000, 2007, 2010, 2015","2000, 2007, 2010, 2015","2000, 2007, 2010, 2015",1,1,1,1
POL,Poland,"2002, 2011","2002, 2011","2002, 2011","2002, 2011",1,1,1,1
ROU,Romania,"2002, 2011","2002, 2011","2002, 2011","2002, 2011",1,1,1,1
RUS,Russian Federation,"2002, 2010","2002, 2010","2002, 2010","2002, 2010",1,1,1,1
RWA,Rwanda,"2002, 2012","2002, 2012","2002, 2012","2002, 2012",1,1,1,1
WSM,Samoa,"2001, 2006, 2011, 2016","2001, 2006, 2011, 2016","2001, 2006, 2011, 2016","2001, 2006, 2011, 2016",1,1,1,1
STP,Sao Tome and Principe,"2001, 2012","2001, 2012","2001, 2012","2001, 2012",1,1,1,1
SEN,Senegal,"2002, 2013","2002, 2013","2002, 2013","2002, 2013",1,1,1,1
SRB,Serbia,"2002, 2011","2002, 2011","2002, 2011","2002, 2011",1,1,1,1
SYC,Seychelles,"1997, 2002, 2010","1997, 2002, 2010","1997, 2002, 2010","1997, 2002, 2010",1,1,1,1
SLE,Sierra Leone,"2004, 2015","2004, 2015","2004, 2015","2004, 2015",1,1,1,1
SLB,Solomon Islands,"1999, 2009, 2019","1999, 2009, 2019","1999, 2009, 2019","1999, 2009, 2019",1,1,1,1
SOM,Somalia,NA,NA,NA,NA,0,0,0,0
ZAF,South Africa,"1996, 2001, 2011","1996, 2001, 2011","1996, 2001, 2011","1996, 2001, 2011",1,1,1,1
SSD,South Sudan,2008,2008,2008,2008,1,1,1,0.5
LKA,Sri Lanka,"2001, 2012","2001, 2012","2001, 2012","2001, 2012",1,1,1,1
KNA,St. Kitts and Nevis,"2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
LCA,St. Lucia,"2001, 2010","2001, 2010","2001, 2010","2001, 2010",1,1,1,1
VCT,St. Vincent and the Grenadines,"2001, 2012","2001, 2012","2001, 2012","2001, 2012",1,1,1,1
SDN,Sudan,2008,2008,2008,2008,1,1,1,0.5
SUR,Suriname,"2003, 2004, 2012","2003, 2004, 2012","2003, 2004, 2012","2003, 2004, 2012",1,1,1,1
SYR,Syrian Arab Republic,2004,2004,2004,2004,0.5,0.5,0.5,0.5
TJK,Tajikistan,"2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
TZA,Tanzania,"2002, 2012","2002, 2012","2002, 2012","2002, 2012",1,1,1,1
THA,Thailand,"2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
TLS,Timor-Leste,"2004, 2010, 2015","2004, 2010, 2015","2004, 2010, 2015","2004, 2010, 2015",1,1,1,1
TGO,Togo,2010,2010,2010,2010,1,1,1,1
TON,Tonga,"1996, 2006, 2016","1996, 2006, 2016","1996, 2006, 2016","1996, 2006, 2016",1,1,1,1
TTO,Trinidad and Tobago,"2000, 2011","2000, 2011","2000, 2011","2000, 2011",1,1,1,1
TUN,Tunisia,"2004, 2014","2004, 2014","2004, 2014","2004, 2014",1,1,1,1
TUR,Turkey,"2000, 2011","2000, 2011","2000, 2011","2000, 2011",1,1,1,1
TKM,Turkmenistan,2012,2012,2012,2012,1,1,1,1
TUV,Tuvalu,"2002, 2012","2002, 2012","2002, 2012","2002, 2012",1,1,1,1
UGA,Uganda,"2002, 2014","2002, 2014","2002, 2014","2002, 2014",1,1,1,1
UKR,Ukraine,2001,2001,2001,2001,0.5,0.5,0.5,0.5
URY,Uruguay,"1996, 2004, 2011","1996, 2004, 2011","1996, 2004, 2011","1996, 2004, 2011",1,1,1,1
UZB,Uzbekistan,NA,NA,NA,NA,0,0,0,0
VUT,Vanuatu,"1999, 2009, 2016","1999, 2009, 2016","1999, 2009, 2016","1999, 2009, 2016",1,1,1,1
VEN,"Venezuela, RB","2001, 2011","2001, 2011","2001, 2011","2001, 2011",1,1,1,1
VNM,Vietnam,"1999, 2009, 2019","1999, 2009, 2019","1999, 2009, 2019","1999, 2009, 2019",1,1,1,1
PSE,West Bank and Gaza,"1997, 2007, 2017","1997, 2007, 2017","1997, 2007, 2017","1997, 2007, 2017",1,1,1,1
YEM,"Yemen, Rep.",2004,2004,2004,2004,0.5,0.5,0.5,0.5
ZMB,Zambia,"2000, 2010","2000, 2010","2000, 2010","2000, 2010",1,1,1,1
ZWE,Zimbabwe,"2002, 2012","2002, 2012","2002, 2012","2002, 2012",1,1,1,1
