iso3c,country,HOUS.SURVEYS_2016,HOUS.SURVEYS_2017,HOUS.SURVEYS_2018,HOUS.SURVEYS_2019,SPI.D2.4.HOUS_2016,SPI.D2.4.HOUS_2017,SPI.D2.4.HOUS_2018,SPI.D2.4.HOUS_2019
AFG,Afghanistan,"2003, 2005, 2007, 2011, 2013, 2014, 2016, 2017, 2019","2003, 2005, 2007, 2011, 2013, 2014, 2016, 2017, 2019","2003, 2005, 2007, 2011, 2013, 2014, 2016, 2017, 2019","2003, 2005, 2007, 2011, 2013, 2014, 2016, 2017, 2019",1,1,1,1
ALB,Albania,"2002, 2003, 2004, 2005, 2006, 2008, 2009, 2012, 2014, 2015, 2016","2002, 2003, 2004, 2005, 2006, 2008, 2009, 2012, 2014, 2015, 2016","2002, 2003, 2004, 2005, 2006, 2008, 2009, 2012, 2014, 2015, 2016","2002, 2003, 2004, 2005, 2006, 2008, 2009, 2012, 2014, 2015, 2016",1,1,1,1
DZA,Algeria,NA,NA,NA,NA,0,0,0,0
AGO,Angola,"1990, 1999, 2000, 2005, 2008, 2009, 2018","1990, 1999, 2000, 2005, 2008, 2009, 2018","1990, 1999, 2000, 2005, 2008, 2009, 2018","1990, 1999, 2000, 2005, 2008, 2009, 2018",0.6,0.6,0.6,0.6
ATG,Antigua and Barbuda,2005,2005,2005,2005,0,0,0,0
ARG,Argentina,"1986, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","1986, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","1986, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","1986, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",1,1,1,1
ARM,Armenia,"1999, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","1999, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","1999, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","1999, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",1,1,1,1
AUS,Australia,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
AUT,Austria,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
AZE,Azerbaijan,"2001, 2002, 2003, 2004, 2005, 2008, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","2001, 2002, 2003, 2004, 2005, 2008, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","2001, 2002, 2003, 2004, 2005, 2008, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","2001, 2002, 2003, 2004, 2005, 2008, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",1,1,1,1
