iso3c,country,LABR.SURVEYS_2016,LABR.SURVEYS_2017,LABR.SURVEYS_2018,LABR.SURVEYS_2019,SPI.D2.6.LABR_2016,SPI.D2.6.LABR_2017,SPI.D2.6.LABR_2018,SPI.D2.6.LABR_2019
AFG,Afghanistan,2013,2013,2013,2013,0.3,0.3,0.3,0.3
ALB,Albania,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2017","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2017","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2017","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2017",1,1,1,1
DZA,Algeria,2012,2012,2012,2012,0.3,0.3,0.3,0.3
AGO,Angola,NA,NA,NA,NA,0,0,0,0
ATG,Antigua and Barbuda,NA,NA,NA,NA,0,0,0,0
ARG,Argentina,"2012, 2013, 2014, 2015, 2016, 2017","2012, 2013, 2014, 2015, 2016, 2017","2012, 2013, 2014, 2015, 2016, 2017","2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
ARM,Armenia,"2006, 2007, 2008, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2014, 2015, 2016, 2017","2006, 2007, 2008, 2014, 2015, 2016, 2017",1,1,1,1
AZE,Azerbaijan,"2010, 2011","2010, 2011","2010, 2011","2010, 2011",0.6,0.6,0.6,0.6
BGD,Bangladesh,"2001, 2002, 2004, 2006, 2009, 2010, 2013, 2015, 2016, 2017","2001, 2002, 2004, 2006, 2009, 2010, 2013, 2015, 2016, 2017","2001, 2002, 2004, 2006, 2009, 2010, 2013, 2015, 2016, 2017","2001, 2002, 2004, 2006, 2009, 2010, 2013, 2015, 2016, 2017",1,1,1,1
BLR,Belarus,"2016, 2017","2016, 2017","2016, 2017","2016, 2017",0,0.3,0.6,0.6
BLZ,Belize,"1998, 1999, 2007, 2012, 2013, 2014, 2015, 2016, 2017","1998, 1999, 2007, 2012, 2013, 2014, 2015, 2016, 2017","1998, 1999, 2007, 2012, 2013, 2014, 2015, 2016, 2017","1998, 1999, 2007, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
BEN,Benin,"2001, 2006, 2007, 2008, 2011","2001, 2006, 2007, 2008, 2011","2001, 2006, 2007, 2008, 2011","2001, 2006, 2007, 2008, 2011",1,1,0.6,0.3
BTN,Bhutan,"2009, 2010, 2011, 2012","2009, 2010, 2011, 2012","2009, 2010, 2011, 2012","2009, 2010, 2011, 2012",1,1,1,1
BOL,Bolivia,"2010, 2011","2010, 2011","2010, 2011","2010, 2011",0.6,0.6,0.6,0.6
BIH,Bosnia and Herzegovina,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",1,1,1,1
BWA,Botswana,"2004, 2006","2004, 2006","2004, 2006","2004, 2006",0.3,0,0,0
BRA,Brazil,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012","2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012","2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012","2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",1,1,1,1
BGR,Bulgaria,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013","2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013","2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013","2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013",1,1,1,1
BFA,Burkina Faso,"2005, 2006","2005, 2006","2005, 2006","2005, 2006",0.3,0,0,0
BDI,Burundi,2005,2005,2005,2005,0,0,0,0
CPV,Cabo Verde,"2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
KHM,Cambodia,"1999, 2000, 2001, 2011, 2012","1999, 2000, 2001, 2011, 2012","1999, 2000, 2001, 2011, 2012","1999, 2000, 2001, 2011, 2012",0.6,0.6,0.6,0.6
CMR,Cameroon,2010,2010,2010,2010,0.3,0.3,0.3,0.3
CAF,Central African Republic,NA,NA,NA,NA,0,0,0,0
TCD,Chad,NA,NA,NA,NA,0,0,0,0
CHL,Chile,"2011, 2012, 2013, 2014, 2015, 2016, 2017","2011, 2012, 2013, 2014, 2015, 2016, 2017","2011, 2012, 2013, 2014, 2015, 2016, 2017","2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
CHN,China,"2010, 2011","2010, 2011","2010, 2011","2010, 2011",0.6,0.6,0.6,0.6
COL,Colombia,"2010, 2011, 2012, 2013, 2014, 2015, 2016","2010, 2011, 2012, 2013, 2014, 2015, 2016","2010, 2011, 2012, 2013, 2014, 2015, 2016","2010, 2011, 2012, 2013, 2014, 2015, 2016",1,1,1,1
COM,Comoros,2014,2014,2014,2014,0.3,0.3,0.3,0.3
COD,"Congo, Dem. Rep.",2005,2005,2005,2005,0,0,0,0
COG,"Congo, Rep.",NA,NA,NA,NA,0,0,0,0
CRI,Costa Rica,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
NA,Côte d'Ivoire,"2004, 2005, 2013","2004, 2005, 2013","2004, 2005, 2013","2004, 2005, 2013",0.3,0.3,0.3,0.3
HRV,Croatia,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013","2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013","2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013","2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013",1,1,1,1
DJI,Djibouti,NA,NA,NA,NA,0,0,0,0
DMA,Dominica,NA,NA,NA,NA,0,0,0,0
DOM,Dominican Republic,"2000, 2001, 2002, 2003, 2004, 2005, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","2000, 2001, 2002, 2003, 2004, 2005, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","2000, 2001, 2002, 2003, 2004, 2005, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","2000, 2001, 2002, 2003, 2004, 2005, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",1,1,1,1
ECU,Ecuador,"1999, 2002, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","1999, 2002, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","1999, 2002, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","1999, 2002, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",1,1,1,1
