iso3c,country,HLTH.SURVEYS_2016,HLTH.SURVEYS_2017,HLTH.SURVEYS_2018,HLTH.SURVEYS_2019,SPI.D2.7.HLTH_2016,SPI.D2.7.HLTH_2017,SPI.D2.7.HLTH_2018,SPI.D2.7.HLTH_2019
AFG,Afghanistan,"2000, 2003, 2010, 2011, 2015, 2016","2000, 2003, 2010, 2011, 2015, 2016","2000, 2003, 2010, 2011, 2015, 2016","2000, 2003, 2010, 2011, 2015, 2016",1,1,1,1
ALB,Albania,"2000, 2004, 2005, 2008, 2009","2000, 2004, 2005, 2008, 2009","2000, 2004, 2005, 2008, 2009","2000, 2004, 2005, 2008, 2009",0.6,0.6,0.6,0.3
DZA,Algeria,"2000, 2006, 2013","2000, 2006, 2013","2000, 2006, 2013","2000, 2006, 2013",0.6,0.3,0.3,0.3
AGO,Angola,"2001, 2008, 2016","2001, 2008, 2016","2001, 2008, 2016","2001, 2008, 2016",0.3,0.6,0.6,0.3
ATG,Antigua and Barbuda,NA,NA,NA,NA,0,0,0,0
ARG,Argentina,2012,2012,2012,2012,0.3,0.3,0.3,0.3
ARM,Armenia,"2000, 2005, 2010, 2016","2000, 2005, 2010, 2016","2000, 2005, 2010, 2016","2000, 2005, 2010, 2016",0.3,0.6,0.6,0.6
AUS,Australia,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
AUT,Austria,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017","1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017",1,1,1,1
AZE,Azerbaijan,"2000, 2006","2000, 2006","2000, 2006","2000, 2006",0.3,0,0,0
