iso3c,country,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019
AFG,Afghanistan,30,30,30,30
AGO,Angola,43.75,40,40,40
ALB,Albania,53.75,53.75,57.49999999999999,53.75
ARG,Argentina,61.25000000000001,61.25000000000001,57.49999999999999,57.49999999999999
ARM,Armenia,61.25000000000001,61.25000000000001,61.25000000000001,57.49999999999999
ATG,Antigua and Barbuda,25,25,18.75,18.75
AZE,Azerbaijan,48.75,45,45,45
BDI,Burundi,32.5,31.25,36.25,30
BEN,Benin,62.5,57.49999999999999,57.49999999999999,47.5
BFA,Burkina Faso,60,42.5,33.75,38.75
BGD,Bangladesh,57.49999999999999,61.25000000000001,61.25000000000001,55.00000000000001
BGR,Bulgaria,62.5,62.5,62.5,62.5
BIH,Bosnia and Herzegovina,45,41.25,36.25,36.25
BLR,Belarus,28.749999999999996,32.5,36.25,36.25
BLZ,Belize,62.5,61.25000000000001,61.25000000000001,56.25
BOL,Bolivia,56.25,56.25,56.25,48.75
BRA,Brazil,62.5,56.25,62.5,62.5
BTN,Bhutan,47.5,47.5,53.75,53.75
BWA,Botswana,47.5,40,40,36.25
CAF,Central African Republic,17.5,13.750000000000002,13.750000000000002,13.750000000000002
CHL,Chile,57.49999999999999,62.5,56.25,56.25
CHN,China,45,45,45,45
CIV,Cote d'Ivoire,47.5,51.24999999999999,55.00000000000001,55.00000000000001
CMR,Cameroon,37.5,28.749999999999996,28.749999999999996,33.75
COD,"Congo, Dem. Rep.",28.749999999999996,23.75,23.75,23.75
COG,"Congo, Rep.",36.25,36.25,30,30
COL,Colombia,82.5,76.25,76.25,77.5
COM,Comoros,27.500000000000004,27.500000000000004,33.75,33.75
CPV,Cabo Verde,48.75,48.75,45,45
CRI,Costa Rica,57.49999999999999,61.25000000000001,66.25,70
DJI,Djibouti,23.75,20,25,25
DMA,Dominica,20,20,16.25,12.5
DOM,Dominican Republic,50,50,45,45
DZA,Algeria,42.5,38.75,38.75,36.25
ECU,Ecuador,68.75,68.75,68.75,68.75
EGY,"Egypt, Arab Rep.",57.49999999999999,51.24999999999999,57.49999999999999,53.75
ERI,Eritrea,0,0,0,0
ETH,Ethiopia,60,63.74999999999999,57.49999999999999,52.5
FJI,Fiji,41.25,45,45,40
FSM,"Micronesia, Fed. Sts.",20,28.749999999999996,28.749999999999996,28.749999999999996
GAB,Gabon,20,20,23.75,23.75
GEO,Georgia,53.75,53.75,53.75,57.49999999999999
GHA,Ghana,47.5,47.5,47.5,60
GIN,Guinea,30,33.75,30,35
GMB,"Gambia, The",43.75,43.75,43.75,48.75
GNB,Guinea-Bissau,28.749999999999996,23.75,23.75,32.5
GNQ,Equatorial Guinea,32.5,28.749999999999996,28.749999999999996,28.749999999999996
GRD,Grenada,28.749999999999996,28.749999999999996,25,28.749999999999996
GTM,Guatemala,53.75,48.75,48.75,55.00000000000001
GUY,Guyana,25,20,20,23.75
HND,Honduras,53.75,53.75,48.75,45
HRV,Croatia,62.5,62.5,62.5,62.5
HTI,Haiti,23.75,27.500000000000004,32.5,32.5
IDN,Indonesia,70,70,70,70
IND,India,82.5,82.5,82.5,77.5
IRN,"Iran, Islamic Rep.",50,50,50,50
IRQ,Iraq,21.25,13.750000000000002,11.249999999999998,15
JAM,Jamaica,53.75,53.75,42.5,38.75
JOR,Jordan,62.5,57.49999999999999,62.5,57.49999999999999
KAZ,Kazakhstan,62.5,57.49999999999999,51.24999999999999,51.24999999999999
KEN,Kenya,52.5,52.5,47.5,43.75
KGZ,Kyrgyz Republic,38.75,38.75,38.75,43.75
KHM,Cambodia,77.5,77.5,77.5,71.25
KIR,Kiribati,20,16.25,16.25,20
KNA,St. Kitts and Nevis,18.75,18.75,18.75,22.5
LAO,Lao PDR,60,50,58.75,55.00000000000001
LBN,Lebanon,27.500000000000004,23.75,20,20
LBR,Liberia,47.5,52.5,48.75,36.25
LBY,Libya,18.75,12.5,12.5,12.5
LCA,St. Lucia,45,48.75,38.75,38.75
LKA,Sri Lanka,66.25,66.25,66.25,66.25
LSO,Lesotho,60,60,61.25000000000001,62.5
MAR,Morocco,53.75,56.25,56.25,56.25
MDA,Moldova,53.75,53.75,53.75,53.75
MDG,Madagascar,26.25,21.25,21.25,33.75
MDV,Maldives,27.500000000000004,31.25,31.25,31.25
MEX,Mexico,73.75,77.5,80,85
MHL,Marshall Islands,12.5,12.5,12.5,12.5
MKD,North Macedonia,55.00000000000001,55.00000000000001,48.75,52.5
MLI,Mali,58.75,55.00000000000001,51.24999999999999,51.24999999999999
MMR,Myanmar,52.5,52.5,60,60
MNE,Montenegro,53.75,57.49999999999999,57.49999999999999,61.25000000000001
MNG,Mongolia,57.49999999999999,57.49999999999999,57.49999999999999,62.5
MOZ,Mozambique,52.5,52.5,52.5,48.75
MRT,Mauritania,36.25,36.25,35,35
MUS,Mauritius,62.5,62.5,62.5,62.5
MWI,Malawi,61.25000000000001,51.24999999999999,55.00000000000001,55.00000000000001
MYS,Malaysia,43.75,56.25,60,60
NAM,Namibia,48.75,48.75,48.75,48.75
NER,Niger,46.25,42.5,46.25,41.25
NGA,Nigeria,57.49999999999999,41.25,37.5,37.5
NIC,Nicaragua,30,30,38.75,38.75
NPL,Nepal,70,63.74999999999999,67.5,60
NRU,Nauru,20,20,16.25,16.25
PAK,Pakistan,51.24999999999999,47.5,57.49999999999999,57.49999999999999
PAN,Panama,53.75,53.75,53.75,53.75
PER,Peru,82.5,87.5,87.5,85
PHL,Philippines,86.25,90,100,90
PLW,Palau,32.5,32.5,28.749999999999996,28.749999999999996
PNG,Papua New Guinea,16.25,20,20,20
POL,Poland,65,75,70,70
PRY,Paraguay,66.25,73.75,73.75,67.5
PSE,West Bank and Gaza,90,90,90,90
ROU,Romania,65,75,70,70
RUS,Russian Federation,57.49999999999999,57.49999999999999,57.49999999999999,57.49999999999999
RWA,Rwanda,65,68.75,77.5,77.5
SDN,Sudan,31.25,31.25,31.25,37.5
SEN,Senegal,61.25000000000001,56.25,60,60
SLB,Solomon Islands,25,20,16.25,16.25
SLE,Sierra Leone,32.5,32.5,32.5,32.5
SLV,El Salvador,45,45,38.75,28.749999999999996
SOM,Somalia,3.75,0,0,0
SRB,Serbia,57.49999999999999,57.49999999999999,61.25000000000001,68.75
SSD,South Sudan,23.75,23.75,23.75,17.5
STP,Sao Tome and Principe,28.749999999999996,23.75,23.75,23.75
SUR,Suriname,36.25,32.5,36.25,33.75
SWZ,Eswatini,41.25,40,40,40
SYC,Seychelles,37.5,37.5,32.5,28.749999999999996
SYR,Syrian Arab Republic,30,26.25,26.25,22.5
TCD,Chad,23.75,23.75,23.75,27.500000000000004
TGO,Togo,45,45,57.49999999999999,57.49999999999999
THA,Thailand,73.75,77.5,77.5,73.75
TJK,Tajikistan,48.75,48.75,52.5,48.75
TKM,Turkmenistan,20,16.25,16.25,16.25
TLS,Timor-Leste,53.75,57.49999999999999,57.49999999999999,52.5
TON,Tonga,28.749999999999996,32.5,32.5,32.5
TTO,Trinidad and Tobago,30,22.5,22.5,22.5
TUN,Tunisia,46.25,42.5,42.5,46.25
TUR,Turkey,60,60,60,60
TUV,Tuvalu,16.25,16.25,16.25,16.25
TZA,Tanzania,72.5,67.5,61.25000000000001,61.25000000000001
UGA,Uganda,65,61.25000000000001,57.49999999999999,51.24999999999999
UKR,Ukraine,51.24999999999999,51.24999999999999,47.5,47.5
URY,Uruguay,66.25,66.25,66.25,60
UZB,Uzbekistan,3.75,3.75,7.5,12.5
VCT,St. Vincent and the Grenadines,22.5,22.5,22.5,22.5
VEN,"Venezuela, RB",32.5,32.5,28.749999999999996,22.5
VNM,Vietnam,87.5,82.5,82.5,82.5
VUT,Vanuatu,40,40,26.25,26.25
WSM,Samoa,43.75,43.75,47.5,47.5
XKX,Kosovo,45,45,45,45
YEM,"Yemen, Rep.",31.25,27.500000000000004,23.75,23.75
ZAF,South Africa,62.5,66.25,60,66.25
ZMB,Zambia,58.75,63.74999999999999,55.00000000000001,58.75
ZWE,Zimbabwe,65,65,70,70
