iso3c,country,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019
ABW,Aruba,19.41176470588235,17.647058823529413,17.647058823529413,15.294117647058824
AFG,Afghanistan,52.94117647058823,55.58823529411764,55.58823529411764,48.82352941176471
AGO,Angola,50.29411764705883,47.94117647058823,47.94117647058823,45.588235294117645
ALB,Albania,72.3529411764706,75.88235294117646,70,67.6470588235294
AND,Andorra,23.235294117647058,23.235294117647058,23.235294117647058,17.941176470588236
ARE,United Arab Emirates,36.470588235294116,36.470588235294116,38.8235294117647,36.470588235294116
ARG,Argentina,62.35294117647059,62.35294117647059,64.11764705882354,61.76470588235294
ARM,Armenia,85.29411764705883,83.52941176470588,85.29411764705883,82.94117647058823
ASM,American Samoa,17.647058823529413,17.647058823529413,17.647058823529413,15.294117647058824
ATG,Antigua and Barbuda,30.88235294117647,26.176470588235293,25.294117647058822,22.941176470588236
AUS,Australia,60.88235294117647,59.117647058823536,59.117647058823536,56.76470588235294
AUT,Austria,70,70,70,67.6470588235294
AZE,Azerbaijan,72.3529411764706,62.94117647058823,62.94117647058823,58.8235294117647
BDI,Burundi,47.94117647058823,47.05882352941177,46.470588235294116,44.11764705882353
BEL,Belgium,70,70,70,66.47058823529412
BEN,Benin,55.58823529411764,50,51.76470588235295,49.411764705882355
BFA,Burkina Faso,55.58823529411764,54.11764705882352,53.235294117647065,50.88235294117647
BGD,Bangladesh,70.88235294117646,72.6470588235294,75,67.94117647058823
BGR,Bulgaria,79.41176470588235,77.6470588235294,77.6470588235294,74.11764705882354
BHR,Bahrain,54.11764705882352,52.35294117647059,49.411764705882355,42.05882352941177
BHS,"Bahamas, The",41.76470588235294,41.76470588235294,40.88235294117647,34.411764705882355
BIH,Bosnia and Herzegovina,73.82352941176471,70.58823529411765,67.94117647058823,63.8235294117647
BLR,Belarus,66.47058823529412,66.47058823529412,67.05882352941177,64.70588235294117
BLZ,Belize,58.23529411764706,56.470588235294116,56.470588235294116,54.11764705882352
BMU,Bermuda,31.176470588235293,24.117647058823525,16.470588235294116,7.0588235294117645
BOL,Bolivia,57.94117647058823,55.58823529411764,54.70588235294118,50.88235294117647
BRA,Brazil,66.76470588235294,66.76470588235294,68.52941176470588,64.41176470588235
BRB,Barbados,36.76470588235294,33.8235294117647,29.999999999999996,23.823529411764707
BRN,Brunei Darussalam,44.705882352941174,46.470588235294116,48.82352941176471,45.294117647058826
BTN,Bhutan,50.588235294117645,55.294117647058826,51.470588235294116,46.76470588235294
BWA,Botswana,57.64705882352942,50,50,47.64705882352941
CAF,Central African Republic,27.05882352941176,27.05882352941176,27.05882352941176,24.705882352941178
CAN,Canada,65,63.23529411764706,63.23529411764706,57.64705882352942
CHE,Switzerland,66.47058823529412,68.23529411764706,68.23529411764706,65.88235294117646
CHI,Channel Islands,5.882352941176471,5.882352941176471,5.882352941176471,5.882352941176471
CHL,Chile,76.17647058823529,77.94117647058823,77.94117647058823,69.70588235294117
CHN,China,72.05882352941177,70.88235294117646,68.52941176470588,63.529411764705884
CIV,Cote d'Ivoire,61.76470588235294,61.76470588235294,57.64705882352942,51.76470588235295
CMR,Cameroon,57.64705882352942,53.529411764705884,54.11764705882352,50.88235294117647
COD,"Congo, Dem. Rep.",38.8235294117647,37.05882352941177,35.294117647058826,31.176470588235293
COG,"Congo, Rep.",49.70588235294117,45.588235294117645,42.94117647058823,40.588235294117645
COL,Colombia,72.3529411764706,70.88235294117646,71.76470588235294,67.6470588235294
