iso3c,country,SPI.OVRL.SCR_2016,SPI.OVRL.SCR_2017,SPI.OVRL.SCR_2018,SPI.OVRL.SCR_2019,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018,SPI.D1.MSC_2019,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
AFG,Afghanistan,38.44494047619047,39.14806547619047,42.250744047619044,43.24404761904762,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,37.5,37.5,37.5,32.5,54.37499999999999,57.1875,55.3125,50,28.57142857142857,28.57142857142857,42.857142857142854,57.14285714285714
AGO,Angola,34.765625,34.140625,44.854910714285715,45.926339285714285,37.5,37.5,37.5,37.5,50,50,50,42.5,51.5625,49.0625,49.0625,46.5625,0,0,42.857142857142854,57.14285714285714
ALB,Albania,77.93898809523809,78.40773809523809,81.45833333333334,76.5625,79.16666666666666,79.16666666666666,83.33333333333334,75,70,70,70,61.25000000000001,76.875,78.75,72.5,70,85.71428571428571,85.71428571428571,100,100
ARE,United Arab Emirates,41.026785714285715,43.11011904761905,43.73511904761905,NA,50,58.333333333333336,58.333333333333336,NA,32.5,32.5,32.5,NA,38.75,38.75,41.25,NA,42.857142857142854,42.857142857142854,42.857142857142854,NA
ARG,Argentina,62.12797619047619,61.19047619047619,61.65922619047619,66.14583333333334,45.83333333333333,45.83333333333333,45.83333333333333,45.83333333333333,65,61.25000000000001,61.25000000000001,55.00000000000001,66.25,66.25,68.125,63.74999999999999,71.42857142857143,71.42857142857143,71.42857142857143,100
ARM,Armenia,79.65773809523809,81.16815476190476,86.25,84.6875,79.16666666666666,83.33333333333334,87.5,87.5,65,68.75,68.75,65,88.75,86.875,88.75,86.25,85.71428571428571,85.71428571428571,100,100
ATG,Antigua and Barbuda,24.661458333333332,21.432291666666664,21.197916666666664,21.614583333333332,33.33333333333333,29.166666666666668,29.166666666666668,33.33333333333333,32.5,28.749999999999996,28.749999999999996,28.749999999999996,32.8125,27.8125,26.875,24.375,0,0,0,0
AUS,Australia,90.13020833333334,90.703125,90.703125,NA,95.83333333333334,100,100,NA,100,100,100,NA,64.6875,62.81250000000001,62.81250000000001,NA,100,100,100,NA
AUT,Austria,80.79613095238093,80.79613095238093,91.51041666666666,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,74.375,74.375,74.375,NA,57.14285714285714,57.14285714285714,100,NA
AZE,Azerbaijan,68.14732142857143,67.26190476190476,72.91666666666666,71.35416666666666,62.5,70.83333333333334,79.16666666666666,79.16666666666666,51.24999999999999,47.5,47.5,43.75,73.125,65,65,62.5,85.71428571428571,85.71428571428571,100,100
BDI,Burundi,46.313244047619044,43.891369047619044,51.889880952380956,54.8139880952381,33.33333333333333,33.33333333333333,41.66666666666667,41.66666666666667,60,51.24999999999999,61.25000000000001,48.75,49.0625,48.125,47.5,43.125,42.857142857142854,42.857142857142854,57.14285714285714,85.71428571428571
BEL,Belgium,79.75446428571428,79.75446428571428,86.89732142857143,NA,87.5,87.5,87.5,NA,100,100,100,NA,74.375,74.375,74.375,NA,57.14285714285714,57.14285714285714,85.71428571428571,NA
BEN,Benin,46.33556547619048,46.62202380952381,56.08630952380952,51.91964285714286,20.833333333333336,29.166666666666668,29.166666666666668,25,78.75,77.5,72.5,62.5,57.1875,51.24999999999999,51.24999999999999,48.75,28.57142857142857,28.57142857142857,71.42857142857143,71.42857142857143
BFA,Burkina Faso,48.604910714285715,44.360119047619044,46.75967261904762,45.19717261904762,25,33.33333333333333,33.33333333333333,33.33333333333333,73.75,50,46.25,42.5,52.81249999999999,51.24999999999999,50.31250000000001,47.8125,42.857142857142854,42.857142857142854,57.14285714285714,57.14285714285714
BGD,Bangladesh,48.99181547619047,49.25223214285714,51.886160714285715,57.77901785714286,33.33333333333333,25,25,25,65,70,66.25,66.25,69.0625,73.4375,73.4375,68.4375,28.57142857142857,28.57142857142857,42.857142857142854,71.42857142857143
BGR,Bulgaria,79.10714285714286,78.63839285714286,85.57291666666666,80.12648809523809,87.5,87.5,91.66666666666666,91.66666666666666,75,75,70,66.25,82.5,80.625,80.625,76.875,71.42857142857143,71.42857142857143,100,85.71428571428571
BHR,Bahrain,39.12202380952381,36.67410714285714,43.035714285714285,NA,41.66666666666667,37.5,37.5,NA,28.749999999999996,25,25,NA,57.49999999999999,55.625,52.5,NA,28.57142857142857,28.57142857142857,57.14285714285714,NA
BHS,"Bahamas, The",31.614583333333332,28.59375,45.770089285714285,NA,33.33333333333333,25,37.5,NA,48.75,45,45,NA,44.375,44.375,43.4375,NA,0,0,57.14285714285714,NA
