iso3c,country,SPI_2016,SPI_2017,SPI_2018,SPI_2019,SPI.D1.MSC_2016,SPI.D1.MSC_2017,SPI.D1.MSC_2018,SPI.D1.MSC_2019,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
AFG,Afghanistan,39.64285714285714,43.80952380952381,49.464285714285715,NA,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,30,30,30,30,66.66666666666667,83.33333333333333,91.66666666666667,NA,28.57142857142857,28.57142857142857,42.857142857142854,57.14285714285714
AGO,Angola,39.0625,38.125,47.69345238095239,NA,37.5,37.5,37.5,37.5,43.75,40,43.75,40,75,75,66.66666666666667,NA,0,0,42.857142857142854,57.14285714285714
ALB,Albania,76.42857142857143,75.49107142857143,80.10416666666667,NA,79.16666666666666,79.16666666666666,83.33333333333334,75,57.49999999999999,53.75,53.75,57.49999999999999,83.33333333333333,83.33333333333333,83.33333333333333,NA,85.71428571428571,85.71428571428571,100,100
ARE,United Arab Emirates,50.089285714285715,54.25595238095239,54.25595238095239,NA,50,58.333333333333336,58.333333333333336,NA,32.5,32.5,32.5,NA,75,83.33333333333333,83.33333333333333,NA,42.857142857142854,42.857142857142854,42.857142857142854,NA
ARG,Argentina,67.54464285714286,69.62797619047619,68.69047619047619,NA,45.83333333333333,45.83333333333333,45.83333333333333,45.83333333333333,61.25000000000001,61.25000000000001,57.49999999999999,57.49999999999999,91.66666666666667,100,100,NA,71.42857142857143,71.42857142857143,71.42857142857143,100
ARM,Armenia,77.57440476190476,78.61607142857143,85.3125,NA,79.16666666666666,83.33333333333334,87.5,87.5,53.75,53.75,53.75,50,91.66666666666667,91.66666666666667,100,NA,85.71428571428571,85.71428571428571,100,100
ATG,Antigua and Barbuda,32.1875,31.145833333333336,29.583333333333336,NA,33.33333333333333,29.166666666666668,29.166666666666668,33.33333333333333,28.749999999999996,28.749999999999996,22.5,22.5,66.66666666666667,66.66666666666667,66.66666666666667,NA,0,0,0,0
AUS,Australia,92.70833333333334,93.75,93.75,NA,95.83333333333334,100,100,NA,100,100,100,NA,75,75,75,NA,100,100,100,NA
AUT,Austria,83.03571428571428,83.03571428571428,93.75,NA,91.66666666666666,91.66666666666666,91.66666666666666,NA,100,100,100,NA,83.33333333333333,83.33333333333333,83.33333333333333,NA,57.14285714285714,57.14285714285714,100,NA
AZE,Azerbaijan,73.0952380952381,75.17857142857143,80.83333333333333,NA,62.5,70.83333333333334,79.16666666666666,79.16666666666666,52.5,52.5,52.5,52.5,91.66666666666667,91.66666666666667,91.66666666666667,NA,85.71428571428571,85.71428571428571,100,100
BDI,Burundi,50.089285714285715,45.81845238095238,50.639880952380956,NA,33.33333333333333,33.33333333333333,41.66666666666667,41.66666666666667,32.5,23.75,28.749999999999996,22.5,91.66666666666667,83.33333333333333,75,NA,42.857142857142854,42.857142857142854,57.14285714285714,85.71428571428571
