iso3c,country,date,SPI.D1.MSC,SPI.D1.1.SNAU,SPI.D1.2.NABY,SPI.D1.3.CNIN,SPI.D1.4.CPIBY,SPI.D1.5.HOUS,SPI.D1.6.EMPL,SPI.D1.7.CGOV,SPI.D1.8.FINA,SPI.D1.9.MONY,SPI.D1.10.IDDS,SPI.D1.11.CRVS,SPI.D1.12.GSBP,SPI.D2.CS,SPI.D2.1.POPU,SPI.D2.2.AGRI,SPI.D2.3.BIZZ,SPI.D2.4.HOUS,SPI.D2.5.AGRI,SPI.D2.6.LABR,SPI.D2.7.HLTH,SPI.D2.8.BIZZ,SPI.D3.AKI,SI.POV.NAHC,SH.DYN.MORT,SH.IMM.MEAS,SE.PRM.CMPT.ZS,SE.ADT.LITR.ZS,SH.H2O.BASW.ZS,SL.UEM.TOTL.NE.ZS,NV.IND.MANF.ZS,NE.GDI.TOTL.ZS,NY.GDP.DEFL.KD.ZG,BN.GSR.GNFS.CD,SN.ITK.DEFC.ZS,SPI.D4.DPO,SPI.D4.1.CALD,SPI.D4.2.NADA,SPI.D4.3.PORT,SPI.D4.4.TIME,SPI.D4.5.META,SPI.D4.6.USER,SPI.D4.7.GEOS,SPI
AFG,Afghanistan,2016,33.33333333333333,0.5,0,0,0,1,0,0.5,0.5,1,0.5,0,0,37.5,0,0,0,1,0,0,1,1,66.66666666666667,0,1,1,0,0,1,0,1,1,1,1,1,28.57142857142857,0,0,0,1,0,1,0,41.51785714285714
AGO,Angola,2016,37.5,0.5,0,1,0.5,1,0,0,0,1,0.5,0,0,50,1,1,0.5,0.6,0,0,0.3,0.6,75,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,40.625
ALB,Albania,2016,79.16666666666666,0.5,1,1,0.5,1,0,1,1,1,0.5,1,1,70,1,1,0,1,0,1,0.6,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,85.71428571428571,1,0,1,1,1,1,1,79.55357142857143
ARE,United Arab Emirates,2016,50,0.5,0.5,1,0.5,1,0,1,1,0,0.5,0,0,32.5,1,1,0,0.6,0,0,0,0,75,0,1,1,1,1,1,0,1,1,1,0,1,42.857142857142854,0,0,1,1,1,0,0,50.089285714285715
ARG,Argentina,2016,45.83333333333333,1,0,0.5,0,1,0,1,0,0,1,1,0,65,1,1,0,1,0.3,1,0.3,0.6,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,1,0,1,1,0,1,68.48214285714286
ARM,Armenia,2016,79.16666666666666,0.5,1,1,0.5,1,1,0,0.5,1,1,1,1,65,1,1,0,1,0.3,1,0.3,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,1,0,80.38690476190476
ATG,Antigua and Barbuda,2016,33.33333333333333,0.5,0.5,0.5,0,0,0,0,0,1,0.5,1,0,32.5,1,1,0,0.3,0,0,0,0.3,66.66666666666667,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,33.125
AUS,Australia,2016,95.83333333333334,1,1,1,1,1,1,1,0.5,1,1,1,1,100,1,1,1,1,1,1,1,1,75,0,1,1,0,0,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,92.70833333333334
AUT,Austria,2016,91.66666666666666,1,1,1,1,1,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,57.14285714285714,1,1,1,0,1,0,0,83.03571428571428
AZE,Azerbaijan,2016,62.5,0.5,0,1,1,1,0,0.5,0,1,0.5,1,1,51.24999999999999,1,1,0,0.6,0,0.6,0.3,0.6,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,85.71428571428571,1,0,1,1,1,1,1,72.7827380952381
BDI,Burundi,2016,33.33333333333333,0.5,0,0.5,0.5,1,0,0,0,1,0.5,0,0,60,1,1,0,1,0.6,0,0.6,0.6,91.66666666666667,1,1,1,1,1,1,1,1,1,1,1,0,42.857142857142854,1,1,0,0,1,0,0,56.964285714285715
BEL,Belgium,2016,87.5,1,1,1,0.5,1,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,75,0,1,1,0,0,1,1,1,1,1,1,1,57.14285714285714,1,0,1,1,1,0,0,79.91071428571428
BEN,Benin,2016,20.833333333333336,0,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0,78.75,1,1,1,1,0,1,1,0.3,83.33333333333333,1,1,1,1,0,1,0,1,1,1,1,1,28.57142857142857,0,1,0,0,1,0,0,52.87202380952381
BFA,Burkina Faso,2016,25,0.5,0,0.5,0.5,1,0,0,0,0,0.5,0,0,73.75,1,1,0,1,1,0.3,1,0.6,100,1,1,1,1,1,1,1,1,1,1,1,1,42.857142857142854,0,1,1,1,0,0,0,60.401785714285715
BGD,Bangladesh,2016,33.33333333333333,0.5,0.5,1,0.5,0,0,0,0,1,0.5,0,0,65,1,1,0,0.6,0,1,1,0.6,83.33333333333333,0,1,1,0,1,1,1,1,1,1,1,1,28.57142857142857,0,1,0,0,1,0,0,52.55952380952381
BGR,Bulgaria,2016,87.5,0.5,1,1,1,1,1,1,1,1,1,1,0,75,1,1,0,1,1,1,0,1,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,71.42857142857143,1,0,1,1,1,1,0,81.39880952380953
BHR,Bahrain,2016,41.66666666666667,0.5,0.5,0.5,0.5,1,0,0,0.5,0,0.5,1,0,28.749999999999996,1,1,0,0.3,0,0,0,0,66.66666666666667,0,1,1,1,0,1,0,1,1,1,1,0,28.57142857142857,0,0,1,1,0,0,0,41.41369047619048
BHS,"Bahamas, The",2016,33.33333333333333,0.5,0.5,1,0.5,0,0,0.5,0.5,0,0.5,0,0,48.75,1,1,0,0.6,0,1,0,0.3,75,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,39.27083333333333
BIH,Bosnia and Herzegovina,2016,66.66666666666666,0.5,1,1,0.5,1,0,1,0.5,1,0.5,1,0,70,1,1,0,1,0,1,1,0.6,91.66666666666667,1,1,1,0,1,1,1,1,1,1,1,1,28.57142857142857,1,0,0,0,1,0,0,64.22619047619047
BLR,Belarus,2016,83.33333333333334,0.5,1,1,1,1,0,1,0.5,1,1,1,1,48.75,1,1,0,1,0,0,0.3,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,57.14285714285714,1,0,1,0,1,1,0,70.22321428571428
BLZ,Belize,2016,29.166666666666668,0.5,0,0.5,0,1,0,0,0,1,0.5,0,0,56.25,1,1,0,0.6,0,1,0.6,0.3,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,42.857142857142854,1,0,0,1,0,0,1,52.901785714285715
BOL,Bolivia,2016,16.666666666666664,0,0,0.5,0,0,0,0,0,1,0.5,0,0,63.74999999999999,1,1,0,1,0.6,0.6,0.3,0.6,100,1,1,1,1,1,1,1,1,1,1,1,1,42.857142857142854,0,1,0,1,0,0,1,55.81845238095238
BRA,Brazil,2016,54.166666666666664,1,0,1,0.5,1,0,1,0,1,1,0,0,66.25,1,1,0,1,1,1,0,0.3,83.33333333333333,0,1,1,0,1,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,68.79464285714286
BRB,Barbados,2016,33.33333333333333,0.5,0,0.5,0,0,0,0,0.5,1,0.5,1,0,32.5,1,1,0,0,0,0,0.3,0.3,75,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,35.20833333333333
BRN,Brunei Darussalam,2016,37.5,0.5,0,0.5,0,1,0,0,0,1,0.5,1,0,36.25,1,1,0,0.3,0,0.6,0,0,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,57.14285714285714,1,0,1,1,1,0,0,53.55654761904761
BTN,Bhutan,2016,20.833333333333336,0.5,0,0,0,0,0,0.5,0,1,0.5,0,0,46.25,0.5,1,0,0.6,0,1,0.3,0.3,75,0,1,1,1,0,1,1,1,1,1,1,0,42.857142857142854,0,1,1,1,0,0,0,46.23511904761905
BWA,Botswana,2016,29.166666666666668,0.5,0.5,0,0,1,0,0,0,1,0.5,0,0,47.5,1,1,0,0.6,0,0.3,0.3,0.6,83.33333333333333,0,1,1,1,1,1,0,1,1,1,1,1,57.14285714285714,1,1,0,0,1,0,1,54.285714285714285
CAF,Central African Republic,2016,16.666666666666664,0,0,0.5,0,0,0,0,0,1,0.5,0,0,27.500000000000004,0.5,0.5,0,0.3,0,0,0.6,0.3,58.333333333333336,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,25.625
CAN,Canada,2016,91.66666666666666,1,1,1,0.5,1,1,1,0.5,1,1,1,1,100,1,1,1,1,1,1,1,1,75,0,1,1,0,0,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,1,0,88.09523809523809
CHE,Switzerland,2016,75,1,1,1,1,1,0,1,1,0,1,1,0,100,1,1,1,1,1,1,1,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,82.44047619047619
CHL,Chile,2016,62.5,0.5,0.5,0.5,0.5,1,0,0,0.5,1,1,1,1,66.25,1,1,0,1,0.3,1,0,1,100,1,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,75.04464285714286
CHN,China,2016,45.83333333333333,0.5,0,1,1,1,0,0.5,0.5,0,1,0,0,48.75,1,1,0,1,0,0.6,0,0.3,83.33333333333333,1,1,1,0,0,1,1,1,1,1,1,1,71.42857142857143,1,0,1,1,1,0,1,62.33630952380952
CMR,Cameroon,2016,33.33333333333333,0.5,0,1,0,1,0,0,0,1,0.5,0,0,43.75,0.5,0.5,0,0.6,0,0.3,1,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,28.57142857142857,0,1,0,1,0,0,0,49.33035714285714
COD,"Congo, Dem. Rep.",2016,16.666666666666664,0,0,0.5,0,0,0,0,0,1,0.5,0,0,28.749999999999996,0,0,0,0.3,0,0,1,1,66.66666666666667,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,28.020833333333332
COG,"Congo, Rep.",2016,29.166666666666668,0,0,0,0,1,0,1,0,1,0.5,0,0,45,1,1,0,0.3,0,0,1,0.3,66.66666666666667,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,35.208333333333336
COL,Colombia,2016,50,0.5,0,1,0.5,0,0,1,0,1,1,0,1,87.5,1,1,0,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,84.375
COM,Comoros,2016,20.833333333333336,0,0,0,0,1,0,0,0,1,0.5,0,0,23.75,0.5,0.5,0,0.3,0,0.3,0.3,0,75,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,29.895833333333336
CPV,Cabo Verde,2016,33.33333333333333,0.5,0.5,0,0,0,0,0.5,0,1,0.5,1,0,52.5,1,1,0,0.6,0,1,0,0.6,100,1,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,1,0,1,1,0,1,64.31547619047619
CRI,Costa Rica,2016,58.333333333333336,0.5,0,1,0.5,1,0,1,0,1,1,1,0,61.25000000000001,1,1,0,1,0,1,0.3,0.6,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,77.8125
CYP,Cyprus,2016,83.33333333333334,0.5,1,1,0.5,1,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,42.857142857142854,1,0,0,1,1,0,0,77.38095238095238
CZE,Czech Republic,2016,83.33333333333334,1,1,1,0.5,1,0,0.5,1,1,1,1,1,100,1,1,1,1,1,1,1,1,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,42.857142857142854,0,0,1,1,1,0,0,79.46428571428571
DEU,Germany,2016,87.5,1,1,1,0.5,1,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,85.56547619047619
DJI,Djibouti,2016,8.333333333333332,0,0,0,0,0,0,0,0.5,0,0.5,0,0,40,1,1,0,0.6,0,0,0.3,0.3,75,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,30.833333333333332
DMA,Dominica,2016,45.83333333333333,0.5,0.5,0.5,0.5,1,0,0,0,1,0.5,1,0,32.5,1,1,0,0.3,0,0,0,0.3,66.66666666666667,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,36.25
DNK,Denmark,2016,83.33333333333334,1,1,1,1,1,0,1,1,1,1,1,0,100,1,1,1,1,1,1,1,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,57.14285714285714,1,0,1,1,1,0,0,80.95238095238096
DOM,Dominican Republic,2016,54.166666666666664,1,0.5,1,0.5,1,0,1,0,1,0.5,0,0,66.25,1,1,0,1,0,1,1,0.3,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,57.14285714285714,0,1,1,1,1,0,0,67.30654761904762
DZA,Algeria,2016,25,0,0,0.5,0,1,0,0,0,1,0.5,0,0,52.5,1,1,1,0.3,0,0.3,0.6,0,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,14.285714285714285,0,0,1,0,0,0,0,43.7797619047619
ECU,Ecuador,2016,50,1,0.5,1,0,1,0,0,0.5,1,1,0,0,56.25,1,0.5,0,1,0,1,0,1,100,1,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,69.41964285714286
EGY,"Egypt, Arab Rep.",2016,66.66666666666666,0.5,0.5,1,0.5,1,0,0,0.5,1,1,1,1,65,1,1,0,1,0,1,0.6,0.6,100,1,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,75.77380952380952
ERI,Eritrea,2016,8.333333333333332,0,0,0,0,0,0,0,0,1,0,0,0,3.75,0,0,0,0,0,0,0,0.3,33.333333333333336,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.354166666666668
ESP,Spain,2016,87.5,1,1,1,0.5,1,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,91.66666666666667,0,1,1,1,1,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,1,0,91.2202380952381
EST,Estonia,2016,83.33333333333334,1,1,1,1,1,1,1,0,1,1,1,0,100,1,1,1,1,1,1,1,1,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,85.71428571428571,1,0,1,1,1,1,1,90.17857142857143
ETH,Ethiopia,2016,16.666666666666664,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0,82.5,1,1,0,1,1,1,0.6,1,91.66666666666667,1,1,1,1,0,1,1,1,1,1,1,1,14.285714285714285,0,1,0,0,0,0,0,51.2797619047619
FIN,Finland,2016,91.66666666666666,1,1,1,1,1,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,71.42857142857143,1,1,1,1,1,0,0,86.60714285714286
FJI,Fiji,2016,37.5,0.5,0,1,0.5,0,0,0,0,1,0.5,1,0,45,1,1,0,1,0,0.3,0,0.3,83.33333333333333,1,1,1,1,0,1,1,1,0,1,1,1,28.57142857142857,0,1,0,1,0,0,0,48.60119047619047
FRA,France,2016,91.66666666666666,1,1,1,1,1,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,75,0,1,1,0,0,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,1,0,88.09523809523809
FSM,"Micronesia, Fed. Sts.",2016,16.666666666666664,0.5,0,0,0,1,0,0,0,0,0.5,0,0,32.5,1,1,0,0.3,0,0,0,0.3,66.66666666666667,1,1,1,0,0,1,1,1,0,1,1,0,28.57142857142857,0,0,0,1,1,0,0,36.10119047619048
GAB,Gabon,2016,20.833333333333336,0.5,0,0.5,0,0,0,0,0,1,0.5,0,0,30,0.5,1,0,0,0,0.3,0.3,0.3,66.66666666666667,0,1,1,0,0,1,0,1,1,1,1,1,14.285714285714285,0,0,0,1,0,0,0,32.94642857142857
GBR,United Kingdom,2016,75,1,1,1,1,0,0,1,1,0,1,1,1,100,1,1,1,1,1,1,1,1,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,85.71428571428571,1,1,1,1,1,0,1,86.01190476190476
GEO,Georgia,2016,79.16666666666666,0.5,1,0.5,0.5,1,1,0.5,0.5,1,1,1,1,61.25000000000001,1,1,0,1,0.3,1,0,0.6,100,1,1,1,1,1,1,1,1,1,1,1,1,71.42857142857143,1,1,0,1,1,0,1,77.96130952380952
GHA,Ghana,2016,41.66666666666667,0.5,0.5,1,0.5,1,0,0,0,1,0.5,0,0,61.25000000000001,1,1,0,1,0,0.3,1,0.6,83.33333333333333,0,1,1,1,0,1,1,1,1,1,1,1,42.857142857142854,1,1,0,0,0,1,0,57.276785714285715
GIN,Guinea,2016,8.333333333333332,0.5,0,0,0,0,0,0,0,0,0.5,0,0,33.75,1,0.5,0,0.6,0,0,0.3,0.3,83.33333333333333,0,1,1,1,1,1,0,1,1,1,1,1,14.285714285714285,0,1,0,0,0,0,0,34.925595238095234
GMB,"Gambia, The",2016,25,0.5,0,0.5,0,0,0,0.5,0,1,0.5,0,0,61.25000000000001,1,1,0,1,0.3,0.3,1,0.3,91.66666666666667,1,1,1,1,1,1,0,1,1,1,1,1,14.285714285714285,0,1,0,0,0,0,0,48.05059523809524
GNB,Guinea-Bissau,2016,12.5,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,45,1,1,0,0.3,0,0,1,0.3,75,0,1,1,0,1,1,0,1,1,1,1,1,14.285714285714285,0,1,0,0,0,0,0,36.69642857142857
GNQ,Equatorial Guinea,2016,16.666666666666664,0,0.5,0,0.5,0,0,0,0,1,0,0,0,28.749999999999996,1,1,0,0,0,0,0.3,0,58.333333333333336,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,25.9375
