iso3c,country,HLTH.SURVEYS_2016,HLTH.SURVEYS_2017,HLTH.SURVEYS_2018,HLTH.SURVEYS_2019,SPI.D2.7.HLTH_2016,SPI.D2.7.HLTH_2017,SPI.D2.7.HLTH_2018,SPI.D2.7.HLTH_2019
AFG,Afghanistan,"1997, 2000, 2003, 2010, 2015","1997, 2000, 2003, 2010, 2015","1997, 2000, 2003, 2010, 2015","1997, 2000, 2003, 2010, 2015",0.6,0.6,0.6,0.6
ALB,Albania,"2000, 2005, 2008, 2017","2000, 2005, 2008, 2017","2000, 2005, 2008, 2017","2000, 2005, 2008, 2017",0.3,0.3,0.6,0.3
DZA,Algeria,"1995, 2000, 2006, 2012, 2018","1995, 2000, 2006, 2012, 2018","1995, 2000, 2006, 2012, 2018","1995, 2000, 2006, 2012, 2018",0.6,0.3,0.3,0.6
AGO,Angola,"1996, 2001, 2015","1996, 2001, 2015","1996, 2001, 2015","1996, 2001, 2015",0.3,0.3,0.3,0.3
ATG,Antigua and Barbuda,NA,NA,NA,NA,0,0,0,0
ARG,Argentina,"2011, 2019","2011, 2019","2011, 2019","2011, 2019",0.3,0.3,0.3,0.3
ARM,Armenia,"2000, 2005, 2010, 2015","2000, 2005, 2010, 2015","2000, 2005, 2010, 2015","2000, 2005, 2010, 2015",0.6,0.6,0.6,0.6
AZE,Azerbaijan,"2000, 2006","2000, 2006","2000, 2006","2000, 2006",0.3,0,0,0
BGD,Bangladesh,"1993, 1994, 1995, 1997, 2000, 2001, 2003, 2004, 2006, 2007, 2011, 2012, 2014, 2017, 2019","1993, 1994, 1995, 1997, 2000, 2001, 2003, 2004, 2006, 2007, 2011, 2012, 2014, 2017, 2019","1993, 1994, 1995, 1997, 2000, 2001, 2003, 2004, 2006, 2007, 2011, 2012, 2014, 2017, 2019","1993, 1994, 1995, 1997, 2000, 2001, 2003, 2004, 2006, 2007, 2011, 2012, 2014, 2017, 2019",1,1,1,1
BLR,Belarus,"2005, 2012, 2019","2005, 2012, 2019","2005, 2012, 2019","2005, 2012, 2019",0.3,0.3,0.3,0.3
BLZ,Belize,"1999, 2006, 2011, 2015","1999, 2006, 2011, 2015","1999, 2006, 2011, 2015","1999, 2006, 2011, 2015",1,0.6,0.6,0.6
BEN,Benin,"1996, 2001, 2006, 2011, 2014, 2017","1996, 2001, 2006, 2011, 2014, 2017","1996, 2001, 2006, 2011, 2014, 2017","1996, 2001, 2006, 2011, 2014, 2017",1,0.6,1,1
BTN,Bhutan,2010,2010,2010,2010,0.3,0.3,0.3,0.3
BOL,Bolivia,"1989, 1994, 1996, 1998, 2000, 2003, 2008","1989, 1994, 1996, 1998, 2000, 2003, 2008","1989, 1994, 1996, 1998, 2000, 2003, 2008","1989, 1994, 1996, 1998, 2000, 2003, 2008",0.3,0.3,0.3,0
BIH,Bosnia and Herzegovina,"2000, 2003, 2006, 2011","2000, 2003, 2006, 2011","2000, 2003, 2006, 2011","2000, 2003, 2006, 2011",0.6,0.3,0.3,0.3
BWA,Botswana,"2000, 2008","2000, 2008","2000, 2008","2000, 2008",0.3,0.3,0.3,0
BRA,Brazil,"1986, 1991, 1996, 2003","1986, 1991, 1996, 2003","1986, 1991, 1996, 2003","1986, 1991, 1996, 2003",0,0,0,0
BGR,Bulgaria,NA,NA,NA,NA,0,0,0,0
BFA,Burkina Faso,"1993, 1996, 1999, 2003, 2006, 2010","1993, 1996, 1999, 2003, 2006, 2010","1993, 1996, 1999, 2003, 2006, 2010","1993, 1996, 1999, 2003, 2006, 2010",0.6,0.3,0.3,0.3
BDI,Burundi,"1987, 1996, 2000, 2005, 2010, 2016","1987, 1996, 2000, 2005, 2010, 2016","1987, 1996, 2000, 2005, 2010, 2016","1987, 1996, 2000, 2005, 2010, 2016",0.3,0.6,0.6,0.6
CPV,Cabo Verde,2005,2005,2005,2005,0,0,0,0
KHM,Cambodia,"1998, 2000, 2005, 2010, 2014","1998, 2000, 2005, 2010, 2014","1998, 2000, 2005, 2010, 2014","1998, 2000, 2005, 2010, 2014",0.6,0.6,0.6,0.6
CMR,Cameroon,"1991, 1998, 2000, 2004, 2006, 2011, 2014, 2018","1991, 1998, 2000, 2004, 2006, 2011, 2014, 2018","1991, 1998, 2000, 2004, 2006, 2011, 2014, 2018","1991, 1998, 2000, 2004, 2006, 2011, 2014, 2018",1,0.6,0.6,1
CAF,Central African Republic,"1995, 1996, 2000, 2006, 2010, 2018","1995, 1996, 2000, 2006, 2010, 2018","1995, 1996, 2000, 2006, 2010, 2018","1995, 1996, 2000, 2006, 2010, 2018",0.6,0.3,0.3,0.6
TCD,Chad,"1997, 2000, 2003, 2004, 2010, 2014, 2019","1997, 2000, 2003, 2004, 2010, 2014, 2019","1997, 2000, 2003, 2004, 2010, 2014, 2019","1997, 2000, 2003, 2004, 2010, 2014, 2019",0.6,0.6,0.6,0.6
CHL,Chile,NA,NA,NA,NA,0,0,0,0
CHN,China,1995,1995,1995,1995,0,0,0,0
COL,Colombia,"1986, 1990, 1995, 2000, 2005, 2010, 2015","1986, 1990, 1995, 2000, 2005, 2010, 2015","1986, 1990, 1995, 2000, 2005, 2010, 2015","1986, 1990, 1995, 2000, 2005, 2010, 2015",0.6,0.6,0.6,0.6
COM,Comoros,"1996, 2000, 2012","1996, 2000, 2012","1996, 2000, 2012","1996, 2000, 2012",0.3,0.3,0.3,0.3
COD,"Congo, Dem. Rep.","1995, 2001, 2007, 2010, 2013, 2017","1995, 2001, 2007, 2010, 2013, 2017","1995, 2001, 2007, 2010, 2013, 2017","1995, 2001, 2007, 2010, 2013, 2017",1,1,1,1
COG,"Congo, Rep.","2003, 2005, 2011, 2014","2003, 2005, 2011, 2014","2003, 2005, 2011, 2014","2003, 2005, 2011, 2014",0.6,0.6,0.6,0.6
CRI,Costa Rica,"2011, 2018","2011, 2018","2011, 2018","2011, 2018",0.3,0.3,0.3,0.6
CIV,Cote d'Ivoire,"1994, 1996, 1999, 2000, 2003, 2006, 2012, 2016","1994, 1996, 1999, 2000, 2003, 2006, 2012, 2016","1994, 1996, 1999, 2000, 2003, 2006, 2012, 2016","1994, 1996, 1999, 2000, 2003, 2006, 2012, 2016",0.6,0.6,0.6,0.6
HRV,Croatia,1996,1996,1996,1996,0,0,0,0
DJI,Djibouti,2006,2006,2006,2006,0.3,0,0,0
DMA,Dominica,NA,NA,NA,NA,0,0,0,0
DOM,Dominican Republic,"1986, 1991, 1996, 1999, 2000, 2002, 2003, 2007, 2013, 2014, 2019","1986, 1991, 1996, 1999, 2000, 2002, 2003, 2007, 2013, 2014, 2019","1986, 1991, 1996, 1999, 2000, 2002, 2003, 2007, 2013, 2014, 2019","1986, 1991, 1996, 1999, 2000, 2002, 2003, 2007, 2013, 2014, 2019",1,1,0.6,0.6
ECU,Ecuador,"1987, 2003","1987, 2003","1987, 2003","1987, 2003",0,0,0,0
EGY,"Egypt, Arab Rep.","1988, 1992, 1996, 2000, 2005, 2008, 2014","1988, 1992, 1996, 2000, 2005, 2008, 2014","1988, 1992, 1996, 2000, 2005, 2008, 2014","1988, 1992, 1996, 2000, 2005, 2008, 2014",0.6,0.6,0.6,0.3
SLV,El Salvador,"1985, 2008, 2014","1985, 2008, 2014","1985, 2008, 2014","1985, 2008, 2014",0.6,0.6,0.6,0.3
GNQ,Equatorial Guinea,"2000, 2011","2000, 2011","2000, 2011","2000, 2011",0.3,0.3,0.3,0.3
ERI,Eritrea,2002,2002,2002,2002,0,0,0,0
SWZ,Eswatini,"1995, 2000, 2003, 2006, 2010, 2014","1995, 2000, 2003, 2006, 2010, 2014","1995, 2000, 2003, 2006, 2010, 2014","1995, 2000, 2003, 2006, 2010, 2014",1,0.6,0.6,0.6
ETH,Ethiopia,"1995, 2000, 2003, 2005, 2011, 2016","1995, 2000, 2003, 2005, 2011, 2016","1995, 2000, 2003, 2005, 2011, 2016","1995, 2000, 2003, 2005, 2011, 2016",0.3,0.6,0.6,0.6
FJI,Fiji,NA,NA,NA,NA,0,0,0,0
GAB,Gabon,"1996, 2000, 2012, 2019","1996, 2000, 2012, 2019","1996, 2000, 2012, 2019","1996, 2000, 2012, 2019",0.3,0.3,0.3,0.3
GMB,"Gambia, The","1996, 2000, 2005, 2010, 2013, 2018, 2019","1996, 2000, 2005, 2010, 2013, 2018, 2019","1996, 2000, 2005, 2010, 2013, 2018, 2019","1996, 2000, 2005, 2010, 2013, 2018, 2019",0.6,0.6,0.6,1
GEO,Georgia,"1999, 2003, 2005, 2018","1999, 2003, 2005, 2018","1999, 2003, 2005, 2018","1999, 2003, 2005, 2018",0,0,0,0.3
GHA,Ghana,"1988, 1994, 1995, 1999, 2003, 2006, 2008, 2011, 2014, 2017","1988, 1994, 1995, 1999, 2003, 2006, 2008, 2011, 2014, 2017","1988, 1994, 1995, 1999, 2003, 2006, 2008, 2011, 2014, 2017","1988, 1994, 1995, 1999, 2003, 2006, 2008, 2011, 2014, 2017",1,1,1,1
GRD,Grenada,NA,NA,NA,NA,0,0,0,0
GTM,Guatemala,"1987, 1995, 2003, 2014","1987, 1995, 2003, 2014","1987, 1995, 2003, 2014","1987, 1995, 2003, 2014",0.3,0.3,0.3,0.3
GIN,Guinea,"1996, 1999, 2005, 2012, 2016, 2018","1996, 1999, 2005, 2012, 2016, 2018","1996, 1999, 2005, 2012, 2016, 2018","1996, 1999, 2005, 2012, 2016, 2018",0.3,0.6,0.6,1
GNB,Guinea-Bissau,"1996, 2002, 2006, 2010, 2014, 2018","1996, 2002, 2006, 2010, 2014, 2018","1996, 2002, 2006, 2010, 2014, 2018","1996, 2002, 2006, 2010, 2014, 2018",1,0.6,0.6,1
GUY,Guyana,"2000, 2006, 2009, 2014, 2019","2000, 2006, 2009, 2014, 2019","2000, 2006, 2009, 2014, 2019","2000, 2006, 2009, 2014, 2019",1,0.6,0.6,0.6
HTI,Haiti,"1995, 2000, 2005, 2012, 2016","1995, 2000, 2005, 2012, 2016","1995, 2000, 2005, 2012, 2016","1995, 2000, 2005, 2012, 2016",0.3,0.6,0.6,0.6
HND,Honduras,"2005, 2011, 2019","2005, 2011, 2019","2005, 2011, 2019","2005, 2011, 2019",0.3,0.3,0.3,0.3
IND,India,"1993, 1996, 1999, 2000, 2003, 2005, 2015, 2019","1993, 1996, 1999, 2000, 2003, 2005, 2015, 2019","1993, 1996, 1999, 2000, 2003, 2005, 2015, 2019","1993, 1996, 1999, 2000, 2003, 2005, 2015, 2019",0.3,0.3,0.3,0.3
IDN,Indonesia,"1987, 1991, 1994, 1996, 1997, 2000, 2002, 2007, 2012, 2017","1987, 1991, 1994, 1996, 1997, 2000, 2002, 2007, 2012, 2017","1987, 1991, 1994, 1996, 1997, 2000, 2002, 2007, 2012, 2017","1987, 1991, 1994, 1996, 1997, 2000, 2002, 2007, 2012, 2017",0.6,0.6,0.6,0.6
IRN,"Iran, Islamic Rep.","1995, 1997, 2000","1995, 1997, 2000","1995, 1997, 2000","1995, 1997, 2000",0,0,0,0
IRQ,Iraq,"1996, 2000, 2006, 2011, 2018","1996, 2000, 2006, 2011, 2018","1996, 2000, 2006, 2011, 2018","1996, 2000, 2006, 2011, 2018",0.6,0.3,0.3,0.6
JAM,Jamaica,"2005, 2011","2005, 2011","2005, 2011","2005, 2011",0.3,0.3,0.3,0.3
JOR,Jordan,"1990, 1997, 2002, 2007, 2009, 2012, 2017","1990, 1997, 2002, 2007, 2009, 2012, 2017","1990, 1997, 2002, 2007, 2009, 2012, 2017","1990, 1997, 2002, 2007, 2009, 2012, 2017",1,1,1,1
KAZ,Kazakhstan,"1995, 1999, 2003, 2006, 2010, 2015","1995, 1999, 2003, 2006, 2010, 2015","1995, 1999, 2003, 2006, 2010, 2015","1995, 1999, 2003, 2006, 2010, 2015",1,0.6,0.6,0.6
KEN,Kenya,"1989, 1993, 1998, 2000, 2003, 2007, 2008, 2014","1989, 1993, 1998, 2000, 2003, 2007, 2008, 2014","1989, 1993, 1998, 2000, 2003, 2007, 2008, 2014","1989, 1993, 1998, 2000, 2003, 2007, 2008, 2014",1,1,0.6,0.3
KIR,Kiribati,"2014, 2018","2014, 2018","2014, 2018","2014, 2018",0.3,0.3,0.3,0.6
XKX,Kosovo,"2013, 2019","2013, 2019","2013, 2019","2013, 2019",0.3,0.3,0.3,0.3
