iso3c,country,SPI.D2.CS_2016,SPI.D2.CS_2017,SPI.D2.CS_2018,SPI.D2.CS_2019
AFG,Afghanistan,12.5,12.5,12.5,12.5
AGO,Angola,25,25,25,25
ALB,Albania,50,50,50,50
ARG,Argentina,50,50,50,50
ARM,Armenia,50,50,50,50
ATG,Antigua and Barbuda,25,25,12.5,12.5
AZE,Azerbaijan,37.5,37.5,37.5,37.5
BDI,Burundi,25,12.5,25,12.5
BEN,Benin,62.5,50,50,37.5
BFA,Burkina Faso,37.5,25,12.5,25
BGD,Bangladesh,50,50,50,37.5
BGR,Bulgaria,62.5,62.5,62.5,62.5
BIH,Bosnia and Herzegovina,37.5,37.5,25,25
BLR,Belarus,25,25,25,25
BLZ,Belize,62.5,50,50,37.5
BOL,Bolivia,37.5,37.5,37.5,37.5
BRA,Brazil,62.5,50,62.5,62.5
BTN,Bhutan,37.5,37.5,50,50
BWA,Botswana,25,25,25,25
CAF,Central African Republic,0,0,0,0
CHL,Chile,50,62.5,50,50
CHN,China,37.5,37.5,37.5,37.5
CIV,Cote d'Ivoire,25,25,25,25
CMR,Cameroon,12.5,0,0,12.5
COD,"Congo, Dem. Rep.",25,12.5,12.5,12.5
COG,"Congo, Rep.",25,25,12.5,12.5
COL,Colombia,75,62.5,62.5,62.5
COM,Comoros,0,0,12.5,12.5
CPV,Cabo Verde,37.5,37.5,37.5,37.5
CRI,Costa Rica,50,50,62.5,62.5
DJI,Djibouti,12.5,12.5,25,25
DMA,Dominica,12.5,12.5,12.5,12.5
DOM,Dominican Republic,50,50,37.5,37.5
DZA,Algeria,25,25,25,12.5
ECU,Ecuador,62.5,62.5,62.5,62.5
EGY,"Egypt, Arab Rep.",50,37.5,50,50
ERI,Eritrea,0,0,0,0
ETH,Ethiopia,50,50,37.5,25
FJI,Fiji,37.5,37.5,37.5,25
FSM,"Micronesia, Fed. Sts.",12.5,25,25,25
GAB,Gabon,12.5,12.5,12.5,12.5
GEO,Georgia,50,50,50,50
GHA,Ghana,37.5,37.5,37.5,50
GIN,Guinea,12.5,12.5,12.5,25
GMB,"Gambia, The",25,25,25,37.5
GNB,Guinea-Bissau,25,12.5,12.5,25
GNQ,Equatorial Guinea,25,25,25,25
GRD,Grenada,25,25,25,25
GTM,Guatemala,37.5,25,25,37.5
GUY,Guyana,25,12.5,12.5,12.5
HND,Honduras,50,50,37.5,37.5
HRV,Croatia,62.5,62.5,62.5,62.5
HTI,Haiti,12.5,12.5,25,25
IDN,Indonesia,62.5,62.5,62.5,62.5
IND,India,75,75,75,62.5
IRN,"Iran, Islamic Rep.",50,50,50,50
IRQ,Iraq,0,0,0,0
JAM,Jamaica,50,50,25,25
JOR,Jordan,62.5,50,62.5,50
KAZ,Kazakhstan,62.5,50,37.5,37.5
KEN,Kenya,37.5,37.5,25,25
KGZ,Kyrgyz Republic,25,25,25,37.5
KHM,Cambodia,62.5,62.5,62.5,50
KIR,Kiribati,12.5,12.5,12.5,12.5
KNA,St. Kitts and Nevis,12.5,12.5,12.5,12.5
LAO,Lao PDR,37.5,25,37.5,37.5
LBN,Lebanon,12.5,12.5,12.5,12.5
LBR,Liberia,25,37.5,37.5,12.5
LBY,Libya,12.5,0,0,0
LCA,St. Lucia,37.5,37.5,25,25
LKA,Sri Lanka,62.5,62.5,62.5,62.5
LSO,Lesotho,37.5,37.5,50,62.5
MAR,Morocco,37.5,50,50,50
MDA,Moldova,50,50,50,50
MDG,Madagascar,12.5,0,0,12.5
MDV,Maldives,12.5,12.5,12.5,12.5
MEX,Mexico,62.5,62.5,62.5,75
MHL,Marshall Islands,12.5,12.5,12.5,12.5
MKD,North Macedonia,37.5,37.5,25,25
MLI,Mali,37.5,37.5,37.5,37.5
MMR,Myanmar,37.5,37.5,37.5,37.5
MNE,Montenegro,50,50,50,50
MNG,Mongolia,50,50,50,62.5
MOZ,Mozambique,37.5,37.5,37.5,37.5
MRT,Mauritania,25,25,12.5,12.5
MUS,Mauritius,62.5,62.5,62.5,62.5
MWI,Malawi,50,37.5,37.5,37.5
MYS,Malaysia,37.5,50,50,50
NAM,Namibia,37.5,37.5,37.5,37.5
NER,Niger,25,25,25,12.5
NGA,Nigeria,50,25,25,25
NIC,Nicaragua,12.5,12.5,25,25
NPL,Nepal,62.5,50,50,50
NRU,Nauru,12.5,12.5,12.5,12.5
PAK,Pakistan,37.5,37.5,50,50
PAN,Panama,50,50,50,50
PER,Peru,75,87.5,87.5,75
PHL,Philippines,75,75,100,75
PLW,Palau,25,25,25,25
PNG,Papua New Guinea,12.5,12.5,12.5,12.5
POL,Poland,50,75,62.5,62.5
PRY,Paraguay,62.5,62.5,62.5,50
PSE,West Bank and Gaza,75,75,75,75
ROU,Romania,50,75,62.5,62.5
RUS,Russian Federation,50,50,50,50
RWA,Rwanda,50,50,62.5,62.5
SDN,Sudan,12.5,12.5,12.5,12.5
SEN,Senegal,50,37.5,37.5,37.5
SLB,Solomon Islands,25,12.5,12.5,12.5
SLE,Sierra Leone,25,25,25,25
SLV,El Salvador,37.5,37.5,25,12.5
SOM,Somalia,0,0,0,0
SRB,Serbia,50,50,50,50
SSD,South Sudan,12.5,12.5,12.5,0
STP,Sao Tome and Principe,25,12.5,12.5,12.5
SUR,Suriname,25,25,25,12.5
SWZ,Eswatini,37.5,25,25,25
SYC,Seychelles,37.5,37.5,25,25
SYR,Syrian Arab Republic,12.5,12.5,12.5,12.5
TCD,Chad,12.5,12.5,12.5,12.5
TGO,Togo,37.5,37.5,50,50
THA,Thailand,62.5,62.5,62.5,62.5
TJK,Tajikistan,37.5,37.5,37.5,37.5
TKM,Turkmenistan,12.5,12.5,12.5,12.5
TLS,Timor-Leste,50,50,50,37.5
TON,Tonga,25,25,25,25
TTO,Trinidad and Tobago,12.5,12.5,12.5,12.5
TUN,Tunisia,25,25,25,25
TUR,Turkey,50,50,50,50
TUV,Tuvalu,12.5,12.5,12.5,12.5
TZA,Tanzania,50,37.5,25,25
UGA,Uganda,50,50,50,37.5
UKR,Ukraine,37.5,37.5,37.5,37.5
URY,Uruguay,62.5,62.5,62.5,50
UZB,Uzbekistan,0,0,0,12.5
