REF_AREA,INDICATOR,SEX,SERIES_NAME,SERIES_YEAR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,SERIES_CATEGORY,SERIES_TYPE,STD_ERR,REF_DATE,AGE_GROUP_OF_WOMEN,TIME_SINCE_FIRST_BIRTH,INTERVAL,SERIES_METHOD,LOWER_BOUND,UPPER_BOUND,MODEL,date,country,D3.CHLD.MORT
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2013-07,67.41573374,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2013.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,67.41573374
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2010-07,83.29626269,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2010.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,83.29626269
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2007-07,88.34922577,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2007.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,88.34922577
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2004-07,103.4748776,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2004.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,103.4748776
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,2001-07,120.6914995,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,2001.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,120.6914995
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,1998-07,116.9496451,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,1998.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,116.9496451
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,1995-07,139.5783667,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,1995.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,139.5783667
Afghanistan,Under-five mortality rate,Total,Demographic and Health Survey (NN adjusted) 2015 (Direct),2015,1992-07,160.2172965,Included in IGME,Deaths per 1000 live births,DHS,Direct,NA,1992.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2015,Afghanistan,160.2172965
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2013-01,43.09,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.3,2013,NA,NA,2,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,43.09
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2010-07,50.6,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.36,2010.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,50.6
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2007-07,62.8,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.3,2007.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,62.8
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2004-07,62.51,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.33,2004.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,62.51
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,2001-07,72.78,Included in IGME,Deaths per 1000 live births,DHS,Direct,4.88,2001.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,72.78
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,1998-07,92.73,Included in IGME,Deaths per 1000 live births,DHS,Direct,5.78,1998.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,92.73
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,1995-07,105.1,Included in IGME,Deaths per 1000 live births,DHS,Direct,6.26,1995.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,105.1
Bangladesh,Under-five mortality rate,Total,Demographic and Health Survey 2014 (Direct),2014,1992-07,133.24,Included in IGME,Deaths per 1000 live births,DHS,Direct,8.34,1992.5,NA,NA,3,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Bangladesh,133.24
Benin,Under-five mortality rate,Total,Multiple Indicator Cluster Survey 2014 (Direct),2014,2011-07,111.6494,Included in IGME,Deaths per 1000 live births,MICS,Direct,5.191659,2011.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Benin,111.6494
Benin,Under-five mortality rate,Total,Multiple Indicator Cluster Survey 2014 (Direct),2014,2006-07,110.7753,Included in IGME,Deaths per 1000 live births,MICS,Direct,5.420389,2006.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Benin,110.7753
Benin,Under-five mortality rate,Total,Multiple Indicator Cluster Survey 2014 (Direct),2014,2001-07,120.1408,Included in IGME,Deaths per 1000 live births,MICS,Direct,6.735381,2001.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Benin,120.1408
Benin,Under-five mortality rate,Total,Multiple Indicator Cluster Survey 2014 (Direct),2014,1996-07,139.1834,Included in IGME,Deaths per 1000 live births,MICS,Direct,9.077627,1996.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Benin,139.1834
Benin,Under-five mortality rate,Total,Multiple Indicator Cluster Survey 2014 (Direct),2014,1991-07,158.9618,Included in IGME,Deaths per 1000 live births,MICS,Direct,17.79823,1991.5,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2014,Benin,158.9618
Bolivia (Plurinational State of),Under-five mortality rate,Total,Demographic and Health Survey 2016 (Direct),2016,2014-01,28.58182,Included in IGME,Deaths per 1000 live births,NDHS,Direct,3.055482,2014,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Bolivia (Plurinational State of),28.58182
Bolivia (Plurinational State of),Under-five mortality rate,Total,Demographic and Health Survey 2016 (Direct),2016,2009-01,30.17089,Included in IGME,Deaths per 1000 live births,NDHS,Direct,3.305176,2009,NA,NA,5,Survey/Census with Full Birth Histories,NA,NA,NA,2016,Bolivia (Plurinational State of),30.17089
