iso3c,country,SPI.D3.AKI_2016,SPI.D3.AKI_2017,SPI.D3.AKI_2018,SPI.D3.AKI_2019
ABW,Aruba,13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667
AFG,Afghanistan,40,40,40,33.333333333333336
AGO,Angola,40,40,40,33.333333333333336
ALB,Albania,73.33333333333333,73.33333333333333,66.66666666666667,60
AND,Andorra,23.333333333333332,23.333333333333332,23.333333333333332,13.333333333333334
ARE,United Arab Emirates,26.666666666666668,26.666666666666668,33.333333333333336,26.666666666666668
ARG,Argentina,60,60,60,53.333333333333336
ARM,Armenia,80,80,80,73.33333333333333
ASM,American Samoa,20,20,20,13.333333333333334
ATG,Antigua and Barbuda,23.333333333333332,20,20,13.333333333333334
AUS,Australia,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664
AUT,Austria,66.66666666666667,66.66666666666667,66.66666666666667,60
AZE,Azerbaijan,63.333333333333336,56.666666666666664,56.666666666666664,50
BDI,Burundi,33.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668
BEL,Belgium,66.66666666666667,66.66666666666667,66.66666666666667,56.666666666666664
BEN,Benin,40,36.666666666666664,36.666666666666664,30
BFA,Burkina Faso,40,40,40,33.333333333333336
BGD,Bangladesh,53.333333333333336,60,60,46.666666666666664
BGR,Bulgaria,73.33333333333333,73.33333333333333,73.33333333333333,63.333333333333336
BHR,Bahrain,46.666666666666664,46.666666666666664,43.333333333333336,30
BHS,"Bahamas, The",36.666666666666664,36.666666666666664,36.666666666666664,23.333333333333332
BIH,Bosnia and Herzegovina,70,63.333333333333336,63.333333333333336,56.666666666666664
BLR,Belarus,66.66666666666667,66.66666666666667,63.333333333333336,56.666666666666664
BLZ,Belize,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664
BMU,Bermuda,26.666666666666668,13.333333333333334,6.666666666666667,0
BOL,Bolivia,46.666666666666664,46.666666666666664,46.666666666666664,40
BRA,Brazil,63.333333333333336,63.333333333333336,63.333333333333336,56.666666666666664
BRB,Barbados,30,26.666666666666668,23.333333333333332,13.333333333333334
BRN,Brunei Darussalam,40,40,46.666666666666664,36.666666666666664
BTN,Bhutan,46.666666666666664,50,46.666666666666664,33.333333333333336
BWA,Botswana,50,43.333333333333336,43.333333333333336,36.666666666666664
CAF,Central African Republic,20,20,20,13.333333333333334
CAN,Canada,60,60,60,46.666666666666664
CHE,Switzerland,66.66666666666667,66.66666666666667,66.66666666666667,60
CHI,Channel Islands,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667
CHL,Chile,70,70,70,56.666666666666664
CHN,China,63.333333333333336,60,60,53.333333333333336
CIV,Cote d'Ivoire,50,50,50,33.333333333333336
CMR,Cameroon,43.333333333333336,43.333333333333336,40,33.333333333333336
COD,"Congo, Dem. Rep.",26.666666666666668,26.666666666666668,26.666666666666668,20
COG,"Congo, Rep.",33.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668
COL,Colombia,66.66666666666667,66.66666666666667,66.66666666666667,60
COM,Comoros,26.666666666666668,26.666666666666668,20,13.333333333333334
CPV,Cabo Verde,53.333333333333336,50,53.333333333333336,46.666666666666664
CRI,Costa Rica,80,80,80,70
CUB,Cuba,36.666666666666664,36.666666666666664,36.666666666666664,23.333333333333332
CUW,Curacao,26.666666666666668,26.666666666666668,20,13.333333333333334
CYM,Cayman Islands,20,20,20,6.666666666666667
CYP,Cyprus,56.666666666666664,56.666666666666664,56.666666666666664,50
CZE,Czech Republic,66.66666666666667,66.66666666666667,66.66666666666667,60
DEU,Germany,66.66666666666667,66.66666666666667,66.66666666666667,53.333333333333336
DJI,Djibouti,33.333333333333336,36.666666666666664,33.333333333333336,26.666666666666668
DMA,Dominica,23.333333333333332,23.333333333333332,23.333333333333332,13.333333333333334
DNK,Denmark,66.66666666666667,66.66666666666667,66.66666666666667,56.666666666666664
DOM,Dominican Republic,56.666666666666664,56.666666666666664,56.666666666666664,50
DZA,Algeria,46.666666666666664,46.666666666666664,40,30
ECU,Ecuador,73.33333333333333,73.33333333333333,73.33333333333333,66.66666666666667
EGY,"Egypt, Arab Rep.",53.333333333333336,46.666666666666664,46.666666666666664,40
ERI,Eritrea,6.666666666666667,6.666666666666667,6.666666666666667,0
ESP,Spain,66.66666666666667,66.66666666666667,66.66666666666667,60
EST,Estonia,66.66666666666667,63.333333333333336,63.333333333333336,56.666666666666664
ETH,Ethiopia,43.333333333333336,40,40,33.333333333333336
FIN,Finland,66.66666666666667,66.66666666666667,66.66666666666667,60
FJI,Fiji,43.333333333333336,43.333333333333336,30,16.666666666666668
FRA,France,66.66666666666667,66.66666666666667,66.66666666666667,60
FRO,Faroe Islands,20,20,20,6.666666666666667
FSM,"Micronesia, Fed. Sts.",13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667
GAB,Gabon,33.333333333333336,33.333333333333336,33.333333333333336,13.333333333333334
GBR,United Kingdom,56.666666666666664,56.666666666666664,56.666666666666664,50
GEO,Georgia,80,80,80,73.33333333333333
GHA,Ghana,53.333333333333336,60,56.666666666666664,43.333333333333336
GIB,Gibraltar,13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667
