iso3c,country,GEOS_2016,GEOS_2017,GEOS_2018,GEOS_2019,SPI.D4.7.GEOS_2016,SPI.D4.7.GEOS_2017,SPI.D4.7.GEOS_2018,SPI.D4.7.GEOS_2019
AFG,Afghanistan,NA,NA,0,1,0,0,0,1
ALB,Albania,1,1,1,1,1,1,1,1
DZA,Algeria,0,NA,0,0,0,0,0,0
AGO,Angola,NA,NA,0,0,0,0,0,0
ATG,Antigua and Barbuda,NA,NA,0,0,0,0,0,0
ARG,Argentina,1,1,1,1,1,1,1,1
ARM,Armenia,NA,NA,1,1,0,0,1,1
AUS,Australia,1,1,1,NA,1,1,1,NA
AUT,Austria,NA,NA,1,NA,0,0,1,NA
AZE,Azerbaijan,1,1,1,1,1,1,1,1
BHS,"Bahamas, The",NA,NA,0,NA,0,0,0,NA
BHR,Bahrain,NA,NA,0,NA,0,0,0,NA
BGD,Bangladesh,NA,NA,0,1,0,0,0,1
BRB,Barbados,NA,NA,0,NA,0,0,0,NA
BLR,Belarus,NA,NA,0,0,0,0,0,0
BEL,Belgium,NA,NA,0,NA,0,0,0,NA
BLZ,Belize,1,1,1,1,1,1,1,1
BEN,Benin,NA,NA,0,0,0,0,0,0
BTN,Bhutan,NA,NA,0,1,0,0,0,1
BOL,Bolivia,1,1,1,1,1,1,1,1
BIH,Bosnia and Herzegovina,NA,NA,0,0,0,0,0,0
BWA,Botswana,1,1,1,1,1,1,1,1
BRA,Brazil,NA,NA,1,1,0,0,1,1
BRN,Brunei Darussalam,NA,NA,0,NA,0,0,0,NA
BGR,Bulgaria,NA,NA,1,0,0,0,1,0
BFA,Burkina Faso,0,NA,0,0,0,0,0,0
BDI,Burundi,NA,NA,0,1,0,0,0,1
CPV,Cabo Verde,1,1,1,1,1,1,1,1
KHM,Cambodia,NA,NA,0,0,0,0,0,0
CMR,Cameroon,NA,NA,0,0,0,0,0,0
CAN,Canada,NA,NA,1,NA,0,0,1,NA
CAF,Central African Republic,0,NA,0,0,0,0,0,0
TCD,Chad,NA,NA,0,0,0,0,0,0
CHL,Chile,NA,NA,1,1,0,0,1,1
CHN,China,1,1,1,1,1,1,1,1
COL,Colombia,1,1,1,1,1,1,1,1
COM,Comoros,NA,NA,0,0,0,0,0,0
COD,"Congo, Dem. Rep.",NA,NA,0,0,0,0,0,0
COG,"Congo, Rep.",NA,NA,0,0,0,0,0,0
