iso3c,country,SPI.D4.DPO_2016,SPI.D4.DPO_2017,SPI.D4.DPO_2018,SPI.D4.DPO_2019
AFG,Afghanistan,28.57142857142857,28.57142857142857,42.857142857142854,57.14285714285714
AGO,Angola,0,0,42.857142857142854,57.14285714285714
ALB,Albania,85.71428571428571,85.71428571428571,100,100
ARE,United Arab Emirates,42.857142857142854,42.857142857142854,42.857142857142854,NA
ARG,Argentina,71.42857142857143,71.42857142857143,71.42857142857143,100
ARM,Armenia,85.71428571428571,85.71428571428571,100,100
ATG,Antigua and Barbuda,0,0,0,0
AUS,Australia,100,100,100,NA
AUT,Austria,57.14285714285714,57.14285714285714,100,NA
AZE,Azerbaijan,85.71428571428571,85.71428571428571,100,100
BDI,Burundi,42.857142857142854,42.857142857142854,57.14285714285714,85.71428571428571
BEL,Belgium,57.14285714285714,57.14285714285714,85.71428571428571,NA
BEN,Benin,28.57142857142857,28.57142857142857,71.42857142857143,71.42857142857143
BFA,Burkina Faso,42.857142857142854,42.857142857142854,57.14285714285714,57.14285714285714
BGD,Bangladesh,28.57142857142857,28.57142857142857,42.857142857142854,71.42857142857143
BGR,Bulgaria,71.42857142857143,71.42857142857143,100,85.71428571428571
BHR,Bahrain,28.57142857142857,28.57142857142857,57.14285714285714,NA
BHS,"Bahamas, The",0,0,57.14285714285714,NA
BIH,Bosnia and Herzegovina,28.57142857142857,28.57142857142857,71.42857142857143,85.71428571428571
BLR,Belarus,57.14285714285714,57.14285714285714,85.71428571428571,85.71428571428571
BLZ,Belize,42.857142857142854,42.857142857142854,85.71428571428571,85.71428571428571
BOL,Bolivia,42.857142857142854,42.857142857142854,57.14285714285714,85.71428571428571
BRA,Brazil,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
BRB,Barbados,0,0,0,NA
BRN,Brunei Darussalam,57.14285714285714,57.14285714285714,57.14285714285714,NA
BTN,Bhutan,42.857142857142854,42.857142857142854,42.857142857142854,71.42857142857143
BWA,Botswana,57.14285714285714,57.14285714285714,85.71428571428571,85.71428571428571
CAF,Central African Republic,0,0,14.285714285714285,14.285714285714285
CAN,Canada,85.71428571428571,85.71428571428571,100,NA
CHE,Switzerland,71.42857142857143,71.42857142857143,85.71428571428571,NA
CHL,Chile,71.42857142857143,71.42857142857143,100,100
CHN,China,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143
CIV,Cote d'Ivoire,28.57142857142857,28.57142857142857,57.14285714285714,57.14285714285714
CMR,Cameroon,28.57142857142857,28.57142857142857,28.57142857142857,42.857142857142854
COD,"Congo, Dem. Rep.",0,0,14.285714285714285,14.285714285714285
COG,"Congo, Rep.",0,0,14.285714285714285,14.285714285714285
COL,Colombia,100,100,100,100
COM,Comoros,0,0,28.57142857142857,42.857142857142854
CPV,Cabo Verde,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
CRI,Costa Rica,100,100,100,100
CYP,Cyprus,42.857142857142854,42.857142857142854,71.42857142857143,NA
CZE,Czech Republic,42.857142857142854,42.857142857142854,100,NA
DEU,Germany,71.42857142857143,71.42857142857143,100,NA
DJI,Djibouti,0,0,28.57142857142857,28.57142857142857
DMA,Dominica,0,0,0,0
DNK,Denmark,57.14285714285714,57.14285714285714,71.42857142857143,NA
DOM,Dominican Republic,57.14285714285714,57.14285714285714,71.42857142857143,57.14285714285714
DZA,Algeria,14.285714285714285,14.285714285714285,57.14285714285714,57.14285714285714
ECU,Ecuador,71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
EGY,"Egypt, Arab Rep.",71.42857142857143,71.42857142857143,85.71428571428571,85.71428571428571
ERI,Eritrea,0,0,0,0
ESP,Spain,85.71428571428571,85.71428571428571,85.71428571428571,NA
EST,Estonia,85.71428571428571,85.71428571428571,100,NA
ETH,Ethiopia,14.285714285714285,14.285714285714285,57.14285714285714,57.14285714285714
FIN,Finland,71.42857142857143,71.42857142857143,100,NA
FJI,Fiji,28.57142857142857,28.57142857142857,71.42857142857143,85.71428571428571
FRA,France,85.71428571428571,85.71428571428571,100,NA
FSM,"Micronesia, Fed. Sts.",28.57142857142857,28.57142857142857,42.857142857142854,42.857142857142854
GAB,Gabon,14.285714285714285,14.285714285714285,14.285714285714285,28.57142857142857
GBR,United Kingdom,85.71428571428571,85.71428571428571,100,NA
GEO,Georgia,71.42857142857143,71.42857142857143,71.42857142857143,85.71428571428571
GHA,Ghana,42.857142857142854,42.857142857142854,85.71428571428571,85.71428571428571
GIN,Guinea,14.285714285714285,14.285714285714285,71.42857142857143,71.42857142857143
GMB,"Gambia, The",14.285714285714285,14.285714285714285,42.857142857142854,0
GNB,Guinea-Bissau,14.285714285714285,14.285714285714285,28.57142857142857,14.285714285714285
GNQ,Equatorial Guinea,0,0,14.285714285714285,42.857142857142854
GRC,Greece,57.14285714285714,57.14285714285714,100,NA
GRD,Grenada,0,0,14.285714285714285,42.857142857142854
GTM,Guatemala,28.57142857142857,28.57142857142857,42.857142857142854,57.14285714285714
GUY,Guyana,0,0,28.57142857142857,42.857142857142854
HND,Honduras,28.57142857142857,28.57142857142857,71.42857142857143,71.42857142857143
HRV,Croatia,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571
HTI,Haiti,14.285714285714285,14.285714285714285,42.857142857142854,28.57142857142857
HUN,Hungary,100,100,100,NA
IDN,Indonesia,71.42857142857143,71.42857142857143,100,100
IND,India,57.14285714285714,57.14285714285714,85.71428571428571,85.71428571428571
IRL,Ireland,71.42857142857143,71.42857142857143,85.71428571428571,NA
IRN,"Iran, Islamic Rep.",28.57142857142857,28.57142857142857,42.857142857142854,42.857142857142854
IRQ,Iraq,0,0,0,42.857142857142854
ISL,Iceland,57.14285714285714,57.14285714285714,85.71428571428571,NA
ISR,Israel,71.42857142857143,71.42857142857143,71.42857142857143,NA
ITA,Italy,71.42857142857143,71.42857142857143,85.71428571428571,NA
JAM,Jamaica,57.14285714285714,57.14285714285714,71.42857142857143,85.71428571428571
JOR,Jordan,57.14285714285714,57.14285714285714,71.42857142857143,100
JPN,Japan,42.857142857142854,42.857142857142854,85.71428571428571,NA
KAZ,Kazakhstan,57.14285714285714,57.14285714285714,71.42857142857143,71.42857142857143
KEN,Kenya,14.285714285714285,14.285714285714285,57.14285714285714,71.42857142857143
KGZ,Kyrgyz Republic,57.14285714285714,57.14285714285714,71.42857142857143,71.42857142857143
KHM,Cambodia,42.857142857142854,42.857142857142854,57.14285714285714,57.14285714285714
KIR,Kiribati,0,0,0,0
KNA,St. Kitts and Nevis,0,0,0,28.57142857142857
KOR,"Korea, Rep.",57.14285714285714,57.14285714285714,85.71428571428571,NA
KWT,Kuwait,14.285714285714285,14.285714285714285,42.857142857142854,NA
LAO,Lao PDR,14.285714285714285,14.285714285714285,71.42857142857143,71.42857142857143
