country,iso3c,date,SPI.D1.MSC,SPI.D1.1.SNAU,SPI.D1.2.NABY,SPI.D1.3.CNIN,SPI.D1.4.CPIBY,SPI.D1.5.HOUS,SPI.D1.6.EMPL,SPI.D1.7.CGOV,SPI.D1.8.FINA,SPI.D1.9.MONY,SPI.D1.10.IDDS,SPI.D1.11.CRVS,SPI.D1.12.GSBP,SPI.D2.CS,SPI.D2.1.POPU,SPI.D2.2.AGRI,SPI.D2.3.BIZZ,SPI.D2.4.HOUS,SPI.D2.5.AGRI,SPI.D2.6.LABR,SPI.D2.7.HLTH,SPI.D2.8.BIZZ,SPI.D3.AKI,SPI.D3.POV,SPI.D3.FIES,SPI.D3.CHLD.MORT,SPI.D3.SE.LPV.PRIM.BMP,SPI.D3.MMRT,SPI.D3.SH.H2O.SMDW.ZS,SPI.D3.ELEC,SPI.D3.SL.UEM.TOTL.NE.ZS,SPI.D3.NV.IND.MANF.ZS,SPI.D3.SI.SPR.PC40.ZG,SPI.D3.ER.H2O.FWST.ZS,SPI.D3.EG.FEC.RNEW.ZS,SPI.D3.NE.CON.PRVT.CN,SPI.D3.QUART.GDP,SPI.D3.DT.TDS.DPPF.XP.ZS,SPI.D4.DPO,SPI.D4.1.CALD,SPI.D4.2.NADA,SPI.D4.3.PORT,SPI.D4.4.TIME,SPI.D4.5.META,SPI.D4.6.USER,SPI.D4.7.GEOS,SPI.OVRL.SCR,iso2c,capital,long,lat,regionID,region_iso2c,region,adminID,admin_iso2c,admin,incomeID,income_iso2c,income,lendingID,lending_iso2c,lending,countryname,SPI.FREQ.D3.CHLD.MORT,SPI.QUAL.D3.CHLD.MORT,SPI.FREQ.D3.MMRT,SPI.QUAL.D3.MMRT,SPI.FREQ.D3.DT.TDS.DPPF.XP.ZS,SPI.QUAL.D3.DT.TDS.DPPF.XP.ZS,population
Afghanistan,AFG,2016,33.3333333333333,0.5,0,0,0,1,0,0.5,0.5,1,0.5,0,0,12.5,0,0,0,1,0,0,0,0,40,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,28.5714285714286,0,0,0,1,0,1,0,28.6011904761905,AF,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,NA,0,0,0,0,1,1,35383128
Angola,AGO,2016,37.5,0.5,0,1,0.5,1,0,0,0,1,0.5,0,0,25,1,0,1,0,0,0,0,0,40,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,25.625,AO,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,Angola,0,0,0,0,1,1,28842484
Albania,ALB,2016,79.1666666666667,0.5,1,1,0.5,1,0,1,1,1,0.5,1,1,50,1,1,0,1,0,1,0,0,73.3333333333333,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,85.7142857142857,1,0,1,1,1,1,1,72.0535714285714,AL,Tirane,19.8172,41.3317,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Albania,1,1,0,0,1,1,2876101
United Arab Emirates,ARE,2016,50,0.5,0.5,1,0.5,1,0,1,1,0,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6666666666667,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,42.8571428571429,0,0,1,1,1,0,0,NA,AE,Abu Dhabi,54.3705,24.4764,MEA,ZQ,Middle East & North Africa,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,NA,1,1,0,0,0,0,9360980
Argentina,ARG,2016,45.8333333333333,1,0,0.5,0,1,0,1,0,0,1,1,0,50,1,1,0,1,0,1,0,0,60,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,71.4285714285714,1,1,0,1,1,0,1,56.8154761904762,AR,Buenos Aires,-58.4173,-34.6118,LCN,ZJ,Latin America & Caribbean ,LAC,XJ,Latin America & Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,NA,1,1,1,1,NA,NA,43590368
Armenia,ARM,2016,79.1666666666667,0.5,1,1,0.5,1,1,0,0.5,1,1,1,1,50,1,1,0,1,0,1,0,0,80,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,85.7142857142857,1,1,1,1,1,1,0,73.7202380952381,AM,Yerevan,44.509,40.1596,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Armenia,1,1,1,1,1,1,2936146
Antigua and Barbuda,ATG,2016,33.3333333333333,0.5,0.5,0.5,0,0,0,0,0,1,0.5,1,0,25,1,1,0,0,0,0,0,0,23.3333333333333,0,0,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.4166666666667,AG,Saint John's,-61.8456,17.1175,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,IBD,XF,IBRD,NA,0,1,1,1,0,0,94527
Australia,AUS,2016,95.8333333333333,1,1,1,1,1,1,1,0.5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3333333333333,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,100,1,1,1,1,1,1,1,NA,AU,Canberra,149.129,-35.282,EAS,Z4,East Asia & Pacific,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,Australia,1,1,1,1,0,0,24190907
Austria,AUT,2016,91.6666666666667,1,1,1,1,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,57.1428571428571,1,1,1,0,1,0,0,NA,AT,Vienna,16.3798,48.2201,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,Austria,1,1,1,1,0,0,8736668
Azerbaijan,AZE,2016,62.5,0.5,0,1,1,1,0,0.5,0,1,0.5,1,1,37.5,1,1,0,1,0,0,0,0,63.3333333333333,0,0,0.5,0,1,1,1,1,1,0,0,1,1,1,1,85.7142857142857,1,0,1,1,1,1,1,62.2619047619048,AZ,Baku,49.8932,40.3834,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Azerbaijan,0,1,1,1,1,1,9757812
Burundi,BDI,2016,33.3333333333333,0.5,0,0.5,0.5,1,0,0,0,1,0.5,0,0,25,1,0,0,1,0,0,0,0,33.3333333333333,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,42.8571428571429,1,1,0,0,1,0,0,33.6309523809524,BI,Bujumbura,29.3639,-3.3784,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Burundi,0,0,0,0,1,1,10487998
Belgium,BEL,2016,87.5,1,1,1,0.5,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,57.1428571428571,1,0,1,1,1,0,0,NA,BE,Brussels,4.36761,50.8371,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,Belgium,1,1,1,1,0,0,11331422
Benin,BEN,2016,20.8333333333333,0,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0,62.5,1,0,1,1,0,1,1,0,40,0.5,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,28.5714285714286,0,1,0,0,1,0,0,37.9761904761905,BJ,Porto-Novo,2.6323,6.4779,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Benin,1,0,0,0,1,1,10872067
Burkina Faso,BFA,2016,25,0.5,0,0.5,0.5,1,0,0,0,0,0.5,0,0,37.5,1,1,0,1,0,0,0,0,40,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,42.8571428571429,0,1,1,1,0,0,0,36.3392857142857,BF,Ouagadougou,-1.53395,12.3605,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,Burkina Faso,0,0,0,0,1,1,18646378
Bangladesh,BGD,2016,33.3333333333333,0.5,0.5,1,0.5,0,0,0,0,1,0.5,0,0,50,1,1,0,0,0,1,1,0,53.3333333333333,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,28.5714285714286,0,1,0,0,1,0,0,41.3095238095238,BD,Dhaka,90.4113,23.7055,SAS,8S,South Asia,SAS,8S,South Asia,LMC,XN,Lower middle income,IDX,XI,IDA,Bangladesh,1,1,0,0,NA,NA,157970840
Bulgaria,BGR,2016,87.5,0.5,1,1,1,1,1,1,1,1,1,1,0,62.5,1,1,0,1,1,1,0,0,73.3333333333333,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,71.4285714285714,1,0,1,1,1,1,0,73.6904761904762,BG,Sofia,23.3238,42.7105,ECS,Z7,Europe & Central Asia,ECA,7E,Europe & Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,Bulgaria,1,1,1,1,1,1,7127822
Bahrain,BHR,2016,41.6666666666667,0.5,0.5,0.5,0.5,1,0,0,0.5,0,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6666666666667,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,28.5714285714286,0,0,1,1,0,0,0,NA,BH,Manama,50.5354,26.1921,MEA,ZQ,Middle East & North Africa,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,NA,1,1,1,1,0,0,1425791
